Image URL,Credit,Caption,Alt text
/Disability/autism gold.png,Blackholemojis,autism,"a person with a flat, neutral expression but with happy “rays” around them, and a gold infinity sign in front of them."
/Disability/autism red.png,Blackholemojis,autism,"a person with a flat, neutral expression but with happy “rays” around them, and a red infinity sign in front of them."
../autism crows.png,Crows,autism,a gold infinity symbol.
aac is my special interest rc.png,Bear,AAC is my special interest,"A yellow person with a happy expression on their face and three speech bubbles coming from them. Inside the speech bubble from top to bottom is a phone AAC setup with a yellow exclamation mark beside it, a tablet AAC setup, and someone using an AAC device."
/Disability/autism spectrum.png,M,autism spectrum,"a color spectrum wheel with the neurodiversity symbol (Lilac Hadar, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons) on top of it."
/description/allistic.png,M,allistic,a golden infinity sign with a red 'x' behind it.
autism acceptance and awareness month fractals 1.png,Fractals,autism acceptance and awareness month,a drawing of a calendar with a large gold infinity symbol symbol in the centre. It has a red coloured heading section which reads “April”.
apples are my special interest rc.png,Bear,apples are my special interest,"A yellow person with a happy expression on their face and three speech bubbles coming from them. Inside the speech bubble from top to bottom is an apple tree, three apples which are red and two different shades of green, and an apple slice."
/Disability/autism flag stellar neon.png,StellarSymbols & Neon,autism flag,"A flag used to represent Autism, which includes 5 horizontal stripes in these colors and order: Red, Orange, Yellow (thick stripe), light green, green, and  white infinity sign that is in the yellow stripe."
autism acceptance and awareness month fractals 2.png,Fractals,autism acceptance and awareness month,a drawing of a calendar with a large gold infinity symbol symbol in the centre. It has a red coloured heading section with gibberish text.
/Disability/autism is a disability chrome.png,cytochrome-sea,autism is a disability,a rainbow infinity with an arrow pointing to a disability flag and a green check mark
/description/autistic.png,M,autistic,a gold infinity symbol.
autism is not a disease fractals.png,Fractals,autism is not a disease,a drawing of a gold infinity symbol and a squishy purple. virus-like thing with a does not equals sign between them.
dogs are my special interest tonto.png,Tonto,dogs are my special interest,An emoji yellow person with a rainbow infinity sign on their chest and a big smile. They have hearts over their head and are talking about dogs.
autistic burnout chrome.png,cytochrome-sea,autistic burnout,image of a rainbow infinity sign on fire with smoke coming off of it
autism levels ot.png,Ottertime,autism levels,"a red infinity sign. Below that in decending diagonal order is a indigo block with a dark indigo 3 inside, a purple block with a dark purple 2 inside, and a pink block with a hot pink 1 inside."
i am neutral about my autism fractals.png,Fractals,I am neutral about my autism,A drawing of a yellow person pointing at themself. From their head is a pale yellow thought bubble and in it is a yellow equal symbol with an arrow pointing to an autism infinity symbol.
autistic regression chrome.png,cytochrome-sea,autistic regression,image of a rainbow arrow pointing from a shiny red ball to a red clump of mush next to a rainbow infinity sign
autistic communication fractals.png,Fractals,autistic communication,"a drawing of 4 modes of communication with a gold infinity symbol over them. In the top left corner is a speech bubble with gibberish text, in the top right is two purple hands signing something nonspecific, in the bottom left is a paper and pen with gibberish text and in the bottom right is an AAC device with buttons in yellow, purple and greys"
i don't know how i feel about my autism fractals 1.png,Fractals,I don't know how I feel about my autism,A drawing of a dark blue person pointing at themself. From their head is a pale purple thought bubble and in it is a purple question mark with an arrow pointing to an autism infinity symbol.
/Phrases/cats are my special interest budget.png,Bear,cats are my special interest,"a yellow person happily talking. Next to them are three speech bubbles with various breeds of cats in them. in the top bubble above them is an orange tabby tail, the biggest bubble has a grey cat bust, and the last bubble has half the face of a siamese and its whiskers."
/Phrases/cooking is my spin.png,Rae,cooking is my special interest,"a yellow face looking delightedly up at a pan of ambiguous food. There’s also a heart next to the face and a red infinity sign, showing that it’s an autistic special interest."
i don't know how i feel about my autism fractals 2.png,Fractals,I don't know how I feel about my autism,A drawing of a dark purple person pointing at themself. From their head is a pale purple thought bubble and in it is a purple question mark with an arrow pointing to an autism infinity symbol.
i am mixed about my autism fractals 1.png,Fractals,I am mixed about my autism,A drawing of a dark blue person pointing at themself. From their head is a thought bubble in a mix of pale colours and in it is scribbled mess in a mix of colours with an arrow pointing to an autism infinity symbol.
i dislike my autism fractals 1.png,Fractals,I dislike my autism,A drawing of a red person pointing at themself. From their head is a light red thought bubble and in it is a red downward arrow with an arrow pointing to an autism infinity symbol.
i love my autism vixen.png,Vixen,I love my autism,a rainbow infinity symbol with a red heart next to it.
i am mixed about my autism fractals 2.png,Fractals,I am mixed about my autism,A drawing of a person coloured in a mix of colours pointing at themself. From their head is a thought bubble in a mix of pale colours and in it is scribbled mess in a mix of colours with an arrow pointing to an autism infinity symbol.
i dislike my autism fractals 2.png,Fractals,I dislike my autism,A drawing of a dark blue person pointing at themself. From their head is a pale red thought bubble and in it is a red downward symbol with an arrow pointing to an autism infinity symbol.
/Phrases/i'm autistic m.png,M,I'm Autistic,"a yellow figure looking up at a gold infinity sign and smiling. they have pointed ears, straight dark brown hair, glasses, and stubble. their smile is lopsided, and they're wearing a dark green tshirt, silver clip-on earrings, and an AAC device with a shoulder strap."
i am neutral about my autism fractals 2.png,Fractals,I am neutral about my autism,A drawing of a dark blue person pointing at themself. From their head is a pale yellow thought bubble and in it is a yellow equals sign with an arrow pointing to an autism infinity symbol.
i dislike my autism vixen.png,Vixen,I dislike my autism,a rainbow infinity symbol with a blue thumbs down next to it.
i'm neutral about my autism vixen.png,Vixen,I'm neutral about my autism,a rainbow infinity symbol with a yellow sideways thumbs next to it.
