Image URL,Credit,Caption,Alt text
attraction bh.png,Blackholemojis,attraction,"two hands held near each other, connected by a grey blob, with a grey circle above them."
attract chrome.png,cytochrome-sea,attract,image of a horshehose magnet with lightning coming off of it.
alterous attraction bh.png,Blackholemojis,alterous attraction,"two clasped hands with a yellow, grey, pink, and red blob connecting them, and a fluid shape above the hands."
aesthetic attraction bh.png,Blackholemojis,aesthetic attraction,"two hands held near each other, connected by a rainbow blob, with a rainbow disk above them."
empathetic attraction bh.png,Blackholemojis,empathetic attraction,"a pair of hands held close to each other, with a yellow and purple blob connecting them. The purple is a gradient coming up from the bottom. Above this is two people with purple hearts on their chests to represent shared emotion."
familial attraction bh.png,Blackholemojis,familal attraction,"two hands held near each other, with a leafy green blob connecting them. Above is a symbol of two people, and a tree between them."
attraction to fictional characters chrome.png,cytochrome-sea,attraction to fictional characters,"image of an arrow pointing from the symbol for fictional character, which is an arrow pointing from a book, a video and a film camera to a pink dog, to the symbol for attraction, which is a horshehose magnet with lightning coming off of it."
platonic attraction bh.png,Blackholemojis,platonic attraction,"two hands held near each other, connected by a yellow blob, with a yellow rose above them."
romance favorable chrome.png,cytochrome-sea,romance favorable,image of a green happy face next to a green heart
romance averse chrome.png,cytochrome-sea,romance averse,image of a sad orange face next to an orange heart
queerplatonic attraction bh.png,Blackholemojis,queerplatonic attraction,"two hands held near each other, connected by a yellow, pink, white, grey, and black blob, and a multicolored rose with the same color petals above them."
romance repulsed chrome.png,cytochrome-sea,romance repulsed,image of a disgusted red face next to a red heart
sensual attraction bh.png,Blackholemojis,sensual attraction,"two hands held near each other, connected by a blob which is colored in a gradient of human skin tones. Above the hands is a smoke-like shape and four dots, which are colored in the same way."
romance indifferent chrome.png,cytochrome-sea,romance indifferent,image of a yellow flat face next to a yellow heart
romantic attraction bh.png,Blackholemojis,romantic attraction,"two hands held near each other, connected by a red blob, and a red rose above them."
sex favorable chrome.png,cytochrome-sea,sex favorable,image of a nongraphic symbol for sex next to a happy green face
romance oscillating chrome.png,cytochrome-sea,romance oscillating,"image of a half smiley half frowny face next to a heart, they both have a red orange yellow green gradient"
sex indifferent chrome.png,cytochrome-sea,sex indifferent,image of a nongraphic symbol for sex next to a blank yellow face
sex repulsed chrome.png,cytochrome-sea,sex repulsed,image of a nongraphic symbol for sex next to a disgusted red face
sex averse chrome.png,cytochrome-sea,sex averse,image of a non graphic symbol for sex next to a sad orange face
sex oscillating chrome.png,cytochrome-sea,sex oscillating,"image of a face with a squiggly mouth and a nongraphic sex symbol, both things have a red orange yellow green gradient"
sympathetic attraction bh.png,Blackholemojis,sympathetic attraction,"a pair of hands held close to each other, with a yellow and purple blob connecting them. The purple is a gradient coming from the left, to show emotion one person has. Above this is two people, one has a purple heart on their chest, and the other is wrapping an arm around them to comfort them."
sexual attraction bh.png,Blackholemojis,sexual attraction,"two hands held near each other, connected by an orange blob, and an orange flame above them."
social attraction bh.png,Blackholemojis,social attraction,"two hands held near each other, with a yellow and orange blob connecting them. Above is a symbol of two people next to each other."
