Image URL,Credit,Caption,Alt text
medicine crows.png,Crows,medicine,"an orange pill bottle, a pill packet, and some capsule medication."
medicine bh.png,Blackholemojis,medicine,"a mortar and pestle, and a capsule pill"
antibiotic.png,Rae,antibiotic,a pill with an arrow pointing to a wiggly green bacteria. the bacteria is crossed out in red.
adderall molecule ot.png,Ottertime,adderall,an orange diagram of the molecular structure for adderall
adderall pillbottle ot.png,Ottertime,adderall,a pill bottle with an orange diagram of the molecular structure of Adderall on its label
birth control koda 1.png,Koda,birth control,"two rectangles both white, top left one has the words “birth control”  ontop of a light blue label and “91 tablets” in black. the second rectangle says “birth control” in black at top and then “sun-sat” in black with corresponding rows of blue pills under the days"
/Supports/adhd medication plum.png,Plum,ADHD medication,"A drawing of an orange prescription bottle with the ADHD butterfly symbol - A rainbow-colored, stylized depiction of a butterfly with the wings drawn with a single stroke to resemble an infinity symbol - on the label. Text on the label is replaced with scribbles."
/Supports/bedtime meds.png,Petri,bedtime meds,an orange pill bottle in front of a yellow crescent moon.
heart medication chrome.png,Chrome,heart medication,pill bottle with heart on it
antiviral rae.png,Rae,antiviral,"a magenta ball with light pink spikes all over it, crossed out by a red x"
epipen esrah.png,Esrah,epi-pen,"ageneric yellow, orange, white, and blue epi-pen."
ibuprofen legless rat.png,legless rat,ibuprofen,A red circular medicine tablet in the top left next to a clear bottle filled with red pills with a blue label and lid
birth control koda 2.png,Koda,birth control,"two rectangles both white, top left one has the words “birth control”  ontop of a light blue label and “31 tablets” in black. the second rectangle says “birth control” in black at top and then “sun-sat” in black with corresponding rows of blue pills under the days"
estrogen leo.png,Vincent,estrogen,a vial with a white wrapper on it. the wrapper has the letter e and the molecular structure of estrogen on it
leucovorin m.png,M,leucovorin,"molecular structure of folic acid, the benzene rings coloured in orange. below it is a silver rectangle with three rows of five orange circles, representing pills in a sheet."
doxycycline vincent.png,Vincent,doxycycline,A blue turquoise capsule with “CY” on one side and “186” on the other side.
lidocaine vincent.png,Vincent,lidocaine,The chemical makeup of Lidocaine (C14H22N2O).
medicinal mouthwash rae.png,Rae,medicinal mouthwash,a bottle of mouthwash with a capsule pill image on the label
/Medical/hrt vixen.png,Vixen,hormone replacement therapy,"a hormone injection bottle with a yellow cap, a blue and white hormone gel bottle, a white hormone patch, and a white and some blue pills are all standing side by side."
medication bottle koda 2.png,Koda,medication bottle,"a orange bottle with a off white lid which has 5 lines on it to indicate the texture on medication bottles, there is a blank off white label on the front."
melatonin petri.png,Petri,melatonin,A drawing of a black container with a green lid. It has a large white label which contains a pink and white pill next to a yellow crescent moon.
medication bottle koda 1.png,Koda,medication bottle,"a orange bottle with a off white lid which has 5 lines on it to indicate the texture on medication bottles, there is a blank off white label on the front. the bottle has subtle highlights on the right side."
narcan naloxone levi 1.png,Levi,narcan / naloxone,"a drawing of a white naloxone nasal spray injector with the words 'Nalozone Nasal Spray , 4 mg' on the front."
/Supports/morning meds.png,Petri,morning meds,an orange pill bottle in front of a yellow sun.
probiotic.png,Rae,probiotic,a pill with an arrow pointing to a wiggly green bacteria. the bacteria is next to a green up arrow and plus sign.
narcan naloxone levi 2.png,Levi,narcan / naloxone,a drawing of a white naloxone nasal spray injector with no words on the front.
ssri m.png,M,SSRI,"molecular structure of serotonin acid, the benzene rings coloured in blue. a yellow arrow points up from it to a red 'X'. above the red 'X' is a green circle."
testosterone gel pandora.png,pandora's box,testosterone gel,a semi grey packet of testosterone gel. There is a red line on the left and a dashed cutting line with tiny scissors next to it on the right.
penicillin bh.png,Blackholemojis,penicillin,"the molecular symbol for penicillin, done in green. Next to it is a bacteria with a red exclamation point next to it."
testosterone leo.png,Vincent,testosterone,a vial with a white wrapper on it. the wrapper has the letter t and the molecular structure of testosterone on it
prozac legless rat.png,legless rat,prozac,"a pill bottle with the chemical makeup of prozac on the label. To the left are three capsule pills  (white and blue, orange and green, white and green) stacked vertically"
vitamin d pill legless rat.png,legless rat,vitamin D pill,"An orange gell medicine tablet, a green gel medicine tablet, and a light orange cicular medical tablet stacked vertically to the left of a pill bottle with a label. The label has a sun with the letter D written on it"
