Image URL,Credit,Caption,Alt text
not sugar.png,Nubs,alternative sweetener,A light orange rectangle with purple text in the center that reads 'Not Sugar' and 'zero calorie sweetner' below in a smaller text
cumin.png,Neon,cumin,a small blue bowl of cumin with a white outline.
cloves.png,Neon,cloves,Two cloves one resting on top of the other.
basil.png,Neon,basil,A cutting of a basil plant with a white outline
cinnamon.png,Neon,cinnamon,two cinnamon sticks stacked on one another with a white outline.
garlic.png,Neon,garlic,a garlic bulb with a white outline.
chilli powder.png,Neon,chilli powder,a small blue bowl of Chilli powder with a white outline.
ginger bh.png,Blackholemojis,ginger,a whole ginger root.
garlic salt.png,Plum,garlic salt,A drawing of a bottle of garlic salt. It is a clear bottle full of light beige powder with a green cap and a sticker with a picture of a head of garlic and a salt shaker.
ginger.png,Neon,ginger,a piece of ginger root with a white outline.
nutmeg.png,Neon,nutmeg,"three nutmeg seeds, one being cut in half, with a white outline."
ketchup k9.png,K9,ketchup,a red ketchup bottle.
pepper.png,Neon,pepper,a half full pepper shaker
pepper 1 koda.png,Koda,pepper,a see through glass with a dark grey outline and a medium grey lid that has 2 holes in it. the glass is filled with pepper and has a capital P on the front in dark grey and outlined in white
oregano.png,Neon,oregano,two oregano plants with white outlines.
salt 1 koda.png,Koda,salt,a see through glass with a dark grey outline and a medium grey lid that has 3 holes in it. the glass is filled with salt and has a capital S on the front in white and outlined in a light grey
pepper 2 koda.png,Koda,pepper,a see through glass with a dark grey outline and a medium grey lid that has 2 holes in it. the glass is filled with pepper and has a capital P on the front in dark grey and outlined in black
paprika.png,Neon,paprika,a small blue bowl of paprika with a white outline.
salt 2 koda.png,Koda,salt,a see through glass with a dark grey outline and a medium grey lid that has 3 holes in it. the glass is filled with salt and has a capital S on the front in white and outlined in black
sage m.png,M,sage,a sprig of sage
sesame seeds.png,Neon,sesame seeds,a small blue bowl of sesame seeds.
turmeric.png,Neon,turmeric,A spice bottle filled with turmeric. It has a black lid and a black label with gold detailing and 'Turmeric' written in the same gold color.
salt.png,Neon,salt,a half full salt shaker
sugar cube.png,Nubs,sugar cube,A white cube with light blue outlines and light gray shading. There is a light gray stippling overlay for texture.
spices.png,Neon,spices,"a light blue bowl with red powdered spices in it. it is in front of two genergic plastic spice bottles, one is taller and filled with light brown powder and the other is smaller and filled with white powder."
