Image URL,Credit,Caption,Alt text
/Supports/afo brace 2.png,Neon,AFO brace,a white AFO brace facing to the right.
/Supports/afo brace 3.png,Neon,AFO brace,an AFO brace facing to the right. it's patterned with light blue flowers with green leaves and stems.
/Supports/afo brace 1.png,Neon,AFO brace,a blue AFO (ankle-foot orthosis) brace facing to the right.
/Supports/afo brace 5.png,Neon,AFO brace,an AFO brace facing to the left. it has a black outside and patterned blue inside.
afo shark print neon.png,Neon,AFO (shark print),a blue AFO brace with a shark pattern.
/Supports/afo brace 4.png,Neon,AFO brace,"an AFO brace facing to the left. it has a black outside and patterned blue inside, and stars on the side."
/Supports/cervical collar 2.png,M,cervical collar,"an adjustable cervical collar with blue highlights, shown on a plain light brown bust of a person"
/Supports/cervical collar.png,M,cervical collar,"an adjustable cervical collar with blue highlights, shown on a plain bust of a person"
/Supports/cervical collar 1.png,M,cervical collar,"an adjustable cervical collar with blue highlights, shown on a plain dark brown bust of a person"
compression knee sleeve neon.png,Neon,compression knee sleeve,"A cartoony drawing of a yellow person’s bent knee, wearing a blue compression sleeve with a hole for the kneecap."
/Supports/KAFO r.png,M,KAFO (Knee Ankle Foot Orthosis),A light blue right Knee Ankle Foot Orthosis (KAFO).
/Supports/cervical collar 3.png,M,cervical collar,"an adjustable cervical collar with blue highlights, shown on a plain brown bust of a person"
/Supports/KAFO l.png,M,KAFO (Knee Ankle Foot Orthosis),A light blue left Knee Ankle Foot Orthosis (KAFO).
wrist brace bh.png,Blackholemojis,wrist brace,"A grey-blue wrist brace, pictured at an angle."
/Supports/knee brace gg.png,Gleepglorpian,knee brace,A black knee brace on a white (the color) knee.
padded fabric ankle brace bh.png,Blackholemojis,padded fabric ankle brace,A padded fabric ankle brace drawn in muted purple.
/Supports/wrist brace 3 arsoncrows.png,Crows,wrist brace,a yellow hand with a beige wrist brace on
rigid ankle brace bh.png,Blackholemojis,rigid ankle brace,A rigid ankle brace drawn in muted purple.
padded fabric knee brace bh.png,Blackholemojis,padded fabric knee brace,A padded fabric knee brace drawn in muted purple.
wrist in plaster cast plum.png,Plum,wrist in plaster cast,A drawing of a yellow human forearm with a blue plaster cast wrapped around it to immobilize the wrist.
rigid kafo knee brace bh.png,Blackholemojis,rigid KAFO knee brace,A rigid KAFO knee brace drawn in muted purple.
/Supports/wrist brace 2 arsoncrows.png,Crows,wrist brace,a yellow hand with a black wrist brace on
wrist splint bh.png,Blackholemojis,wrist splint,"A beige plastic wrist splint, pictured at an angle."
/Supports/SMO.png,M,SMO (Supra Malleolar Orthoses),"a plain, very pale blue SMO brace with black straps."
wrist brace neon.png,Neon,wrist brace,"A cartoony drawing of a yellow person’s wrist and hand, they are wearing a blue wrist brace that has 2 straps, one at the top near the palm of the hand and one at the bottom."
/Supports/wrist brace 1 arsoncrows.png,Crows,wrist brace,a yellow hand with a short black wrist brace on
