Image URL,Credit,Caption,Alt text
language.png,M,language,"A white speech bubble with lines in it, in front of purple and green sheets of paper with words on them, with a mouth with bright pink lips behind it."
linguistics.png,M,linguistics,"A white speech bubble with lines in it, in front of blue and pink sheets of paper with words on them, with a mouth with bright pink lips behind it."
acronym plum.png,Plum,acronym,"Three square blocks representing words: A green one with a circle inside, an orange one with a triangle inside, and a blue one with a rectangle inside. Red lines go from these and merge into another block made of pieces taken from the leftmost side of each other block, representing an acronym. Red triangles emphasize it."
adverb.png,Nubs,adverb,An orange circle
article.png,Nubs,article,A light blue triangle
adjective.png,Nubs,adjective,A dark blue triangle
analogy dusty.png,Dusty,analogy,A green person punching a blue person next to a wavy equals sign. Beneath it is a green circle crashing into a blue square.
aleph bet fg.png,Froggygolem,aleph bet,black handwritten Hebrew letters scattered around.
analytic language processing.png,Esrah,analytic language processing,"a speech bubble with color blocks quoted and representing words. One block is purple, two are green, and three are orange, to show different words being processed as a whole broken into of smaller parts."
allegory dusty.png,Dusty,allegory,A green person punching a blue person next to a wavy equals sign. Beneath it is a book with a blue square and a green circle on the cover.
auslan.png,M,Auslan,"An AUSLAN 'A' with one yellow and one green hand, above the shape of Australia in blue."
ASL.png,CC,American Sign Language,"three brown hands with purple nail polish spell out A-S-L in American Sign Language, with the flag of the United States of America underneath"
american english.png,CC,American English,"A speech bubble in yellow shows a greeting in the English language, with the flag of the United States of America shown underneath it."
british english.png,CC,British English,"A speech bubble in yellow shows a greeting in the English language, with the flag of the United Kingdom shown underneath it."
arabic.png,CC,Arabic,"A speech bubble in yellow shows a greeting in the Arabic language, with the flag of the Arab League shown underneath it."
australian english cc wolf.png,"CC, adapted by Wolf",Australian English,"A yellow speech bubble reading 'Hello!' over the Australian flag, which has the Union Jack in the upper left corner, a large white star underneath that, and five white stars arranged in a constellation to the right, all on a blue background."
brazilian portugese.png,CC,Brazilian Portuguese,"A speech bubble in yellow shows a greeting in the Portugeuese language, with the flag of Brazil shown underneath it."
body language sparrow.png,Rory,body language,"a drawing of a yellow person. Different sections of their body are emphasized with textboxes to the side as labels for general areas. The head has a green textbox to the side, the upper arm has a pink text box to the side, the lower leg has a yellow textbox to the side, and the middle arm has a blue textbox to the side."
bangla.png,CC,Bangla,"A speech bubble in yellow shows a greeting in the Bangla language, with the flag of Bangladesh shown underneath it."
calque m.png,M,calque,"Two speech bubbles. One is very pale blue, one is very pale red. The blue one has two blue circles, connected by a purple line. The red one has two red circles, connected by a purple line. A curved green arrow points from the circled in the blue speech bubble to the circles in the red speech bubble."
chinese.png,CC,Chinese,"A speech bubble in yellow shows a greeting in the Chinese language, with the flag of China shown underneath it."
armenian alphabet dtcd.png,dtcd,Armenian alphabet,"three letters from the Armenian alphabet, one in red, one in green, and one in blue, all with white outlines."
cipher.png,M,cipher,An ornate ceaser cipher disk.
code pheonix 1.png,Pheonix,code,"Above an elongated rainbow capital N shaped line in the center of the image is a grey and black squiggly line, below it are alternating purple squares and blue circles. The image has dark line art."
bouba and kiki.png,M,bouba and kiki,"the 'bouba' and 'kiki' shapes, coloured light purple within the outlines."
digraph m.png,M,digraph,"a blue rectangle and a red rectangle, with an arrow pointing from them to a speech bubble containing a single purple square."
code pheonix 2.png,Pheonix,code,"Above an elongated rainbow capital N shaped line in the center of the image is a grey and white squiggly line, below it are alternating purple squares and blue circles. The image has light line art."
canadian english cc rylan.png,"Rylan, adapted from CC",Canadian English,a Canadian flag with a yellow speech bubble saying 'hello!' above it
empty words m.png,M,empty words,"A speech bubble with an upturned cup, a little water being emptied from it, in it"
contraction plum.png,Plum,contraction,"A long rectangle colored a pastel mix of swirling blue and green. Inside of it is a green square with a circle design, a black plus sign (+), and a half of a broken blue square with a triangle design."
canadian french cc rylan.png,"Rylan, adapted from CC",Canadian French,a Canadian flag with a yellow speech bubble saying 'bonjour!' above it
esperanto.png,CC,Esperanto,"A speech bubble in yellow shows a greeting in the Esperanto conlang, with the Esperanto flag underneath it."
danish.png,CC,Danish,"A speech bubble in yellow shows a greeting in the Danish language, with the flag of Denmark shown underneath it."
