Image URL,Credit,Caption,Alt text
substance chrome.png,cytochrome-sea,substance,a red ball with an arrow pointing from it to a dopamine molecule with hearts around it
substance use chrome.png,cytochrome-sea,substance use,a blue dog eating a red ball with an arrow pointing to a dopamine molecule
bad trip vixen.png,Vixen,bad trip,"A crayon styled drawing of a simplified cat-like creature with a yellow color scheme and green fading over its face, there is colours flashing around the cat, The cat has wide, spiraled eyes, with a pink nose and small, wavy mouth. To the left of the cat, there is a simple psilocybin mushroom shape and a red, zigzag arrow pointing downwards."
addiction bh.png,Blackholemojis,addiction,a circular image of a figure standing on a sandy island surrounded by choppy waves. The border is two curved lines with arrows
alcoholic petri.png,Petri,alcoholic,"A drawing of an emoji yellow head holding up and drinking from a brown glass alcohol bottle. Above them are two thought bubbles. One contains a rectangular dark green bottle of alcohol, and the other contains a triangular alcohol glass with light green alcohol in it, as well as salt and lime on the rim."
Bong.png,Petri,bong,a digitally drawn image of a bong. it is light blue and somewhat transparent.
Blunt.png,Petri,blunt,A digitally drawn image of a blunt.
bad high vixen.png,Vixen,bad high,"A crayon styled drawing of a simplified cat-like creature with a yellow color scheme and green fading over its face, The cat has wide, spiraled eyes, with a pink nose and small, wavy mouth. To the left of the cat, there is a simple marijuana leaf shape and a red, zigzag arrow pointing downwards."
bowl petri.png,Petri,bowl,"A drawing of a glass bong bowl, which is a small bowl with a tube at the base."
blunt chan.png,Chan,blunt,"a simple drawing of a brown blunt with an orange burning tip. the tip has a curl of smoke coming out of the end. above the blunt, there is a green cannabis leaf."
Bong moreopaque.png,Petri,bong,a digitally drawn image of a bong. it is light blue and slightly transparent.
caffeine bh.png,Blackholemojis,caffeine,a brown caffeine molecule.
bong chan.png,Chan,bong,"a simple drawing of a light blue, flat-bottomed glass bong with stem and bowl included. there are white highlights on the bowl, stem, and body of the bong. there is a small amount of water in the bottom, and a curl of light gray smoke coming from the bowl."
Cannabis pipe.png,Petri,cannabis pipe,A digitally drawn image of a blue cannabis pipe.
caffeine rae.png,Rae,caffeine,"symbol of three caffeinated foods. a mug of steaming coffee, a mug of tea with a light green teabag, and a chocolate bar peeking out of a dark blue wrapper."
bowl pink.png,Lady,bowl,a pink round marijuana pipe that is empty
caffeine shot.png,Neon,caffeine shot,"A drawing of a caffiene shot with a white border. It is a bottle with a red cap and a yellow, blue, and black label. Text on the label says '6 Hours of energy', 'N3ON', 'Caffiene shot', and '2 Fl oz'."
CBD.png,Petri,CBD,"A drawing of a blue-green cannabis leaf. In the bottom right corner is a blue-green circle, with a red arrow pointing down next to it."
cannabis leaf.png,Petri,cannabis leaf,A digitally drawn image of a green cannabis leaf.
dispensary petri 2.png,Petri,dispensary,A drawing of a green building with shiny glass doors and a big window. There is a sign above the doors with a cannabis leaf on it. there are three green dollar signs on the window.
cigarette.png,Tonto,cigarette,a lit cigarette.
cannabis vape pen petri.png,Petri,cannabis vape pen,A drawing of a blue cannabis vape pen at an angle. It is long and thin. The cartridge in it has orange contents.
gas vixen.png,Vixen,gas,a crayon styled drawing of a plastic bad. The bag is white and has a blue band around the top. The bag is filled with a green substance. There is a green arrow pointing up on the right side of the bag.
cotton mouth petri.png,Petri,cotton mouth,A drawing of a head of cotton next to a mouth sticking its tongue out.
CBD vape cartridge.png,Petri,CBD vape cartridge,A drawing of a metallic vape cartridge. In front of it is a blue-green cannabis leaf. There is a blue-green circle to the bottom right of the leaf with a red arrow next to it pointing down.
high lady.png,Lady,high,"yellow person, with an open mouth that is smiling and two red arrows pointing up, and a cartoon weed leaf beneath that"
dispensary petri 3.png,Petri,dispensary,A drawing of a green building with shiny glass doors and a big window. There is a sign above the doors with a cannabis leaf on it. there are three pink dollar signs on the window.
cocaine m.png,M,cocaine,A ziploc bag about half full of white powder
Hit bong.png,Petri,hit bong,"a softly lined image of a person lighting a bong, represented by a floating head and hands holding a bong. their mouth is open as they hold the mouthpiece next to it and they're holding a lighter next to the bowl of the bong."
Dispensary.png,Petri,dispensary,A digitally drawn image of a light green store with a large white sign. There is a cannabis leaf on the sign.
dispensary petri 1.png,Petri,dispensary,A drawing of a green building with shiny glass doors and a big window. There is a sign above the doors with a cannabis leaf on it.
