Image URL,Credit,Caption,Alt text
allicorn.png,M,alicorn,a cream-colored rearing horse with wings on its sides and a horn on its forehead.
ampithere chrome.png,cytochrome-sea,ampithere,a teal amphithere with a feathered tail and blue wings and mane
banshee chrome.png,cytochrome-sea,bean-síghe,"an AAC symbol of a sad bean-síghe. she has a gaunt face, gray skin, red eyes from crying, muted orange hair, and wraps a tattered gray cloak around her shoulders."
alicorn chrome.png,cytochrome-sea,alicorn,a lavender alicorn with a violet tail wings and mane and a yellow horn. it is rearing up on it s hind legs
Arthuriana.png,M,Arthuriana,a sword partly stuck into a dark grey stone. There are gold sparkles around it. The sword has bronze- or gold-colored hilt and a red gem in the pommel.
bigfoot chrome.png,cytochrome-sea,bigfoot,a brown bigfoot walking
centaur 1 m.png,M,centaur,"a centaur facing the left, with warm brown skin, black long curly hair and and black tail, and dark brown coat."
centaur 2 m.png,M,centaur,"a centaur facing the left, with light brown skin, auburn long curly hair and and auburn tail, and brown coat."
cefusa m.png,M,cefusa,"a drawing of a light grey, thin cefusa facing the right. it is a creature depicted in some medieval bestiaries, with a dog-like body and head and human-like hands and feet."
chimera chrome.png,cytochrome-sea,chimera,"image of a chimera with a golden lion head, a gray goat head and a green snake tail"
elf 2.png,M,elf,"An elf with light brown skin, straight black hair, and a neutral expression, wearing a red tunic, brown leather archery quiver, and gold circlet with a red gem."
changeling.png,M,changeling,"a peacefully sleeping baby with pale skin and round ears swaddled in white cloth, with an arrow pointing from them to a screaming baby with green skin and pointed ears swaddled in white cloth."
cryptid.png,Esrah,cryptid,a black blob shaped figure with white eyes peeking out from behind a tree.
elf 5.png,M,elf,"An elf with cream skin, straight blonde hair, and a neutral expression, wearing a blue tunic, brown leather archery quiver, and grey circlet with a blue gem."
cockatrice chrome.png,cytochrome-sea,cockatrice,image of a cockatrice
/Sports-Games/ttrpg/Dragon_2.png,Petri,dragon,"A drawing of a green dragon with wings, light green horns, and red eyes."
ghost rover.png,Rover,ghost,a tandard sheet ghost shape with a little smile
dragon m.png,M,dragon,a green Western dragon with two wings and four legs.
elf 1.png,M,elf,"An elf with green skin, straight very dark blue hair, and a neutral expression, wearing a green tunic, brown leather archery quiver, and gold circlet with a cyan gem."
grecian sphynx chrome.png,cytochrome-sea,Grecian sphynx,image of a golden sphynx with a light brown face and dark long hair and beige wings.
drake chrome.png,cytochrome-sea,drake,"an orange drake, a dragon without wings"
elf 4.png,M,elf,"An elf with light, desaturated brown skin, straight grey hair, and a neutral expression, wearing a green tunic, brown leather archery quiver, and silver circlet with a green gem."
green man.png,M,green man,"a depiction of the fokloric green man, a bearded face made out of dark green leaves with twigs at the top."
el chupacabra chrome.png,cytochrome-sea,el chupacabra,"a green chupacabra with pointy ears, a dog snout, spines along its back and claws. he is muted green with yellow and red eyes"
ghost rae.png,Rae,ghost,a pale green ghost with dark purple eyes and mouth
hydra chrome.png,cytochrome-sea,hydra,a yellow hydra with three heads
elf 3.png,M,elf,"An elf with brown skin, straight grey hair, and a neutral expression, wearing a green tunic, brown leather archery quiver, and silver circlet with a green gem."
kitsune chrome.png,cytochrome-sea,kitsune,a red fox with nine tails
icthyocentaur chrome.png,cytochrome-sea,icthyocentaur,a friendly looking icthyocentaur with medium brown human skin and long dark brown hair. the horse part of their body is gray and the fish tail is teal.
faun m.png,M,faun,a lounging faun playing the panpipes.
jackalope chrome.png,cytochrome-sea,jackalope,a tan jackalope with white antlers
marfa lights chrome.png,cytochrome-sea,marfa lights,a desert at night with balls of glowing light hovering in it
giant rae.png,Rae,giant,a smiling stick figure standing next to a skyscraper. The stick figure is quite a lot taller.
/Time/holidays/mari lwyd m.png,M,Mari Lwyd,"A Mari Lwyd facing the right. She's a horse skull propped on a grey metal pole, a white sheet covering her back. She's wearing a wreath of red and white flowers, with red and green ribbons hanging from it. There are also two dangling bells."
merfolk esrah.png,Esrah,merfolk,"three merfolk, all with different features and traits. They have fish tails and webbed hands"
gryphon chrome.png,cytochrome-sea,gryphon,a yellow gryphon with its wings outstretched
mermaid esrah.png,Esrah,mermaid,"a mid-sized mermaid with a venus symbol next to her. she has green hair, hands, chest, and tail."
merperson esrah.png,Esrah,merperson,a small merperson with the alchemic/nonbinary symbol next to them.
jackalope.png,M,jackalope,a jackrabbit with antlers.
mothman chrome.png,cytochrome-sea,mothman,a grey mothman with red eyes
