Image URL,Credit,Caption,Alt text
abrahamic religions folder chrome.png,cytochrome-sea,Abrahamic religions folder,"cyan paw with a cross, crescent moon and star and star of david"
hindu folder petri 3.png,Petri,hindu folder,"A hollow blue folder with thick lines, containing the Aum symbol in red"
hindu folder petri 1.png,Petri,hindu folder,"A hollow blue folder with thick lines, containing the Aum symbol in black"
judaism folder petri 1a.png,Petri,Judaism folder,A hollow blue folder with thick lineart. It contains a large Magen David with dark blue lineart and a light blue fill.
hindu folder petri 4.png,Petri,Hindu folder,"A hollow blue folder with thin lines, containing the Aum symbol in red"
hindu folder petri 2.png,Petri,hindu folder,"A hollow blue folder with thin lines, containing the Aum symbol in black"
judaism folder.png,Ani,Judaism folder,A black square with a blue Magen David in the center
judaism folder petri.png,Petri,Judaism folder,a drawing of a hollow blue folder with a light blue Magen David inside.
judaism phrases folder petri 1.png,Petri,Judaism phrases folder,A hollow blue folder with thick lineart. It contains a large white speech bubble with a dark blue magen David in it.
judaism folder petri 2a.png,Petri,Judaism folder,A hollow blue folder with thick lineart. It contains a large Magen David with black lineart and a dark blue fill.
Judaism Folder 2 Thick Petri.png.png,Petri,Judaism Folder,"A hollow blue folder with thick lineart. It contains a large, golden temple menorah with six straight arms"
judaism phrases folder petri 2.png,Petri,Judaism phrases folder,A hollow blue folder with thin lineart. It contains a large white speech bubble with a dark blue magen David in it.
judaism folder petri 3a.png,Petri,Judaism folder,A hollow blue folder with thick lineart. It contains a large Magen David completely in black.
Judaism folder 2 thin Petri.png,Petri,Judaism Folder,"A hollow blue folder with thin lineart. It contains a large, golden temple menorah with six straight arms"
Judaism folder 3 thin Petri.png,Petri,Judaism Folder,A hollow blue folder with thin lineart. It contains the Hebrew word chai done in dark blue.
judaism folder petri 3b.png,Petri,Judaism folder,A hollow blue folder with thin lineart. It contains a large Magen David completely in black.
Judaism folder 3 thick Petri.png,Petri,Judaism Folder,A hollow blue folder with thick lineart. It contains the Hebrew word chai done in dark blue.
religions folder chrome.png,cytochrome-sea,religions folder,"cyan paw with a cross, star of david, mjolnir, ohm, wiccan pentagram and crescent and star"
norse paganism asatru folder chrome.png,cytochrome-sea,Norse paganism / asatru folder,a cyan paw with a valknut on it
religion folder t.png,Tonto,religion folder,"a cross, magen david, star and crescent and tao symbol. they're inside a teal folder that has green and orange folder tabs behind it."
