Image URL,Credit,Caption,Alt text
black cat budget.png,Bear,black cat,"A simple black cat head with off-white whiskers, a small lighter color triangle is above the nose."
black cat gp fg.png,"Gillipop, adapted from froggygolem",black cat,black silhouette of a cat lying down with its head up and tail curved below
airplane ears chrome.png,cytochrome-sea,airplane ears,a white airplane next to a gray cat ear.
black solid cat crows.png,Crows,black solid cat,a fluffy black cat.
calico gp fg.png,"Gillipop, adapted from froggygolem",calico,silhouette of a cat lying down with its head up and tail curved below. it's white with big orange and black splotches
bicolor gp fg.png,"Gillipop, adapted from froggygolem",bicolor,"green silhouette of a cat lying down with its head up and tail curved below, with three big dark splotches"
cat1.png,Petri,cat,"A drawing of a fluffy grey tabby cat, sitting facing the left"
calico cat crows.png,Crows,calico cat,a fluffy calico cat.
cat loaf 4 smolmoss.png,Smolmoss,cat loaf,A white cat with closed eyes loafing
cat loaf 1 smolmoss.png,Smolmoss,cat loaf,A black cat with closed eyes loafing
cat loaf 3 smolmoss.png,Smolmoss,cat loaf,An orange cat with closed eyes loafing
grey tuxedo cat crows.png,Crows,grey tuxedo cat,"a fluffy dark grey cat with a light grey muzzle, chest, and paws."
cat loaf 2 smolmoss.png,Smolmoss,cat loaf,A calico cat with closed eyes loafing
classic tabby gp fg.png,"Gillipop, adapted from froggygolem",classic tabby,green silhouette of a cat lying down with its head up and tail curved below. it has swirly stripes
indoor cat.png,Rae,indoor cat,"An orange cat with heterochromia stands inside, in a room with a purple carpet and beige walls. There’s a door and window visible."
orange tabby gp fg.png,"Gillipop, adapted from froggygolem",orange tabby,orange silhouette of a cat lying down with its head up and tail curved below. it has swirly stripes
colorpoint gp fg.png,"Gillipop, adapted from froggygolem",colorpoint,"green silhouette of a cat lying down with its head up and tail curved below. the tail, ears and place where the muzzle would be are dark"
mackerel tabby gp fg.png,"Gillipop, adapted from froggygolem",mackerel tabby,green silhouette of a cat lying down with its head up and tail curved below. it has stripes
solid gp fg.png,"Gillipop, adapted from froggygolem",solid,green silhouette of a cat lying down with its head up and tail curved below
colour point siamese cat arsoncrows.png,Crows,colour point / siamese cat,"a drawing of a white cat with a black tail, paws, tail, and around its eyes"
orange cat budget.png,Bear,orange cat,A simple orange tabby cat head with off-white whiskers
spotted tabby gp fg.png,"Gillipop, adapted from froggygolem",spotted tabby,green silhouette of a cat lying down with its head up and tail curved below. it has dark spots and a few stripes
cat fg.png,froggygolem,cat,yellow silhouette of a cat lying down with its head up and tail curved below.
sphynx cat rae.png,Rae,sphynx cat,"a simply drawn, wrinkly pink sphynx cat"
tabbico gp fg.png,"Gillipop, adapted from froggygolem",tabbico,calico silhouette of a cat lying down with its head up and tail curved below. it has stripes on the black and orange parts like a classic tabby with swirly stripes
brown tabby cat budget.png,Bear,brown tabby cat,"A simple brown cat head with off-white whiskers, a cream color triangle above the nose with darker stripes"
tabby gp fg.png,"Gillipop, adapted from froggygolem",tabby,"silhouette of a cat lying down with its head up and tail curved below. it's divided into four parts: a brown ticked tabby, a cream spotted tabby, a gray mackerel tabby and an orange classic tabby"
tricolor gp fg.png,"Gillipop, adapted from froggygolem",tricolor,green silhouette of a cat lying down with its head up and tail curved below. it has splotches in a darker and medium-dark color
ticked tabby gp fg.png,"Gillipop, adapted from froggygolem",ticked tabby,"green silhouette of a cat lying down with its head up and tail curved below. it has dark blurry stripes, as if viewed from behind frosted glass"
tortoiseshell gp fg.png,"Gillipop, adapted from froggygolem",tortoiseshell,silhouette of a cat lying down with its head up and tail curved below. it's black with big orange splotches
white cat budget.png,Bear,white cat,A simple all white cat head with off-white whiskers
turkish van cat arsoncrows.png,Crows,turkish van cat,"a drawing of a white cat with an orange tail and ears, and an orange spot over one of its eyes"
tuxedo cat arsoncrows.png,Crows,tuxedo cat,"a drawing of a black cat with a white muzzle, chest, and paws"
white solid cat crows.png,Crows,white solid cat,a fluffy white cat
white cat gp fg.png,"Gillipop, adapted from froggygolem",white cat,white silhouette of a cat lying down with its head up and tail curved below.
unique coat pattern gp fg.png,"Gillipop, adapted from froggygolem",unique coat pattern,silhouette of a cat lying down with its head up and tail curved below. it's rainbow with a white swirly pattern overlayed
outdoor cat.png,Rae,outdoor cat,"A white cat with blue eyes stands outside in the grass."
