Image URL,Credit,Caption,Alt text
academate petri.png,Petri,academate,A drawing of an emoji yellow head in front of a pink book.
alcoholism holder petri 2.png,Petri,alcoholism holder,"A drawing of an emoji yellow person, depicted as a blank head and two hands. In their hands is a thought bubble, which contains a brown bottle of alcohol with a green label. There are dark green emphasis lines around the bottle, loosely outlining its shape. There is a large green ampersand on the person's head."
alter gp 1.png,Gillipop,alter,three overlapping figures in the colors of the white orange and black system flag.
adaptive.png,CC,adaptive origin,A set of 3 cloud-shaped red blobs.
alter cc.png,CC,alter,"a dark skinned person stands and stares at the camera with a slight smile. they have a purple outfit, purple eyes, and light pinkish purple curly hair. a blue arrow next to them points to a brain, one half with the same color as their hair, and the other half a darker pink color, the brain stem being a shade between them. there's a purple ampersand on the bottom right of the symbol."
alter gp 2.png,Gillipop,alter,three overlapping figures in the colors of the black blue green and yellow system flag
alcoholism holder petri 1.png,Petri,alcoholism holder,"A drawing of an emoji yellow person, depicted as a blank head and two hands. In their hands is a thought bubble, which contains a brown bottle of alcohol with a green label. There are dark green emphasis lines around the bottle, loosely outlining its shape."
apparently normal part vixen.png,Vixen,Apparently Normal Part,"a cartoonish yellow rabbit with a large head, long ears, and a simple body. on the face there are overlapping circles in the shades green and pink, and The creature is outlined in pink and green."
alter gp 3.png,Gillipop,alter,"three overlapping figures in the colors of the kenochoric plural flag (three shades of purple, light green and yellow)"
blend blendy meabh.png,Méabh,blend / blendy,: A drawing of a person made up of blue and yellow stitched together parts. they have one blue and one orange eye. the blue eye has a star shaped pupil.
blurry crows.png,Crows,blurry,"A greyish-blue person looking distressed and confused, their pupils are spirals with a static effect in them."
alter with a different condition.png,Vixen,alter with a different disorder / condition,"two stylized drawings of animal-like figures facing forward. The figure on the left has large, pointed ears and a blue triangle on its face, while the figure on the right has rounded ears and a red rectangle on its face. A green squiggly arrow above the two figures points from left to right."
caregiver caretaker vixen.png,Vixen,caregiver / caretaker,"a cute, yellow stylized bunny creature, it has a pink exclamation mark on its face and is holding a pink heart,  It has a simple, cartoonish design with a textured appearance."
Caretaker.png,Petri,caretaker,"An abstract drawing of an emoji yellow person with their arms around a green circle, as though looking at a hug from above."
blurry chrome.png,cytochrome-sea,blurry,a helm with a grey cloud behind it and multicolored question marks in the cloud
check front.png,M,check front,A magnifying glass partly in front of a turquoise and blue ampersand in a white circle.
cofront2.png,Plum,co-front,"A drawing of brain. There are two people in the front of the brain, one yellow and one teal."
Charge.png,Petri,charge,A drawing of a person's head underneath some pink curtains.
cofront1.png,Plum,co-front,"A drawing of brain with several people inside it. There are two people in the front of the brain, one yellow and one teal."
crowded front k9.png,K9,crowded front,"a drawing of 7 people.
person 1 is colored in yellow-orange, covering their face with their hands. there's a shadow covering a majority of their face with no facial features visible.
person 2 is a tall beige-grey person behind the first person with a neutral expression and a hand on the previous person's shoulder, with dark grey wings where their ears would be.
person 3 is behind the second with a light yellow face peeking out with two large, wide eyes staring at the viewer.
person 4 is to the left of the image colored in white with teal blush and an open, speaking mouth.
person 5 is in the bottom left corner, colored as a desaturated maroon, with only a small smile visible and a hand holding onto the border of the image.
person 6 is light blue, squished into the bottom right corner with a nervous or upset expression, curled with their knees to the chest.
person 7 is a purple arm with a hand doing a thumbs up poking out from the right side"
check simply plural.png,M,check Simply Plural,A magnifying glass partly in front of a yellow and pink ampersand in a white circle.
created.png,CC,created origin,A set of 3 green rectangles.
different alters have different opinions tonto.png,Tonto,different alters have different opinions,"2 people , 1 is a yellow person with a blue star in their chest & next to them there is a purple demon person with a spiral on their chest .  In the middle there is an equal sign & under it there are 2 speech bubbles with a purple spiral & a blue star , resembling different opinions ."
co conscious chrome.png,cytochrome-sea,co-conscious,a purple fox in a orange life jacket looking through a spyglass. a yellow fox is next to it at a helm wearing a captains hat
fictive fictroject m.png,M,fictive / fictroject,"open book with purple cover. Arrow points from it to a purple circle with a person in it. Behind the circle are other circles with different colours, representing other system members."
disordered system wolf.png,Wolf,disordered system,A thick black and sign under a dark gray cloud of tangled lines.
