Image URL,Credit,Caption,Alt text
air hug smolmoss 1.png,Smolmoss,air hug,An emoji yellow figure hugging a second figure. the second figure is partly transparent. both figures have closed happy eyes.
boop 1.png,Nubs,boop,a purple circle with a black skeleton paw on it.
attack.png,M,attack,a sword with motion lines that show it's being swung to the right
air hug smolmoss 2.png,Smolmoss,air hug,An emoji yellow figure hugging a second figure. the second figure is partly transparent. both figures have closed sad eyes.
bow 2.png,Tonto,bow,"an emoji yellow person bowing at the waist, viewed from the side. one hand is on their chest."
baby shower m.png,M,baby shower,"a curled up, sleeping baby wearing a light purple onsie, hat and socks. above them is a raining cloud."
betray pheonix 1.png,Pheonix,betray,"A blue and purple figure stand close together in a hug, but the purple figure holds an arm up behind the blue figures back with a dagger in its hand. The image has dark line art, and the purple figure has a sharper body than the blue figure."
buy pheonix.png,Pheonix,buy,yellow hand holding money towards a yellow hand holding a blue gift-wrapped box
boop 2.png,Nubs,boop,"a small, purple-gradient circle with a black skeleton paw on it."
betray pheonix 2.png,Pheonix,betray,"A blue and purple figure stand close together in a hug, but the purple figure holds an arm up behind the blue figures back with a dagger in its hand. The image has light line art, and the purple figure has a sharper body than the blue figure."
divorce m.png,M,divorce,a gold ring broken in half. over it is a heart broken in two
bow 3.png,Tonto,bow,"an emoji yellow person bowing at the waist, viewed from the side."
bow 1.png,Tonto,bow,"an emoji yellow person bowing at the waist, viewed from the side. one hand is on their chest, and a red arrow above them shows the path of the bowing movement."
head bonk leo 2.png,Vincent,head bonk,"two yellow heads hitting together, smiling. a red heart is above them."
boycott esrah.png,Esrah,boycott,"a crossed out circle. Inside it is a symbol of cash and coins being exchanged for an orange package, with arrows pointing from one to the other."
breakup.png,M,break up,"two red hearts that have split apart, with jagged lines between them and sveral shards."
hire m 2.png,M,hire,"three gold circles, representing coins, above two hands in a handshake. the hand on the left is light blue, and the hand on the right is purple. below the handshake is a green arrow pointing to the right."
cheat pheonix 1.png,Pheonix,cheat,"A blue equal arm balance scale is tipped to the right. The left pan is purple, the right red, and the beam they hang from grades from blue to red. A brown hand  with yellow line art resting the tip of one finger against the scale is responsible for this tip. Red Emphasis triangles sit around the hand. The image has light line art"
cradling baby evan.png,Evan,cradling baby,"a yellow figure dressed in light blue, holding and rocking a baby swaddled in pastel blue"
hug gg.png,Gleepglorpian,hug,two slightly chubby emoji yellow figures hugging.
cheat pheonix 2.png,Pheonix,cheat,"A blue equal arm balance scale is tipped to the right. The left pan is purple, the right red, and the beam they hang from grades from blue to red. A yellow hand  resting the tip of one finger against the scale is responsible for this tip. Red Emphasis triangles  sit around the hand. The image has dark line art"
cuddle chrome.png,cytochrome-sea,cuddle,a blue dog cuddling a grey wolf plushie
hug rover 1.png,Rover,hug,"two emoji yellow figures embracing, in a side view. one's head is tucked against the other's neck, and there were little pink hearts around it."
cradle m.png,M,cradle,"a light purple figure holding a dark blue shape in its arms. to one side of its head is a pink heart, to the right are two yellow emphasis lines"
defenestrate m.png,M,defenestrate,"a thin yellow figure wearing a shirt, slacks and shoes having been thrown out of a shattered window"
hug rover 2.png,Rover,hug,"two emoji yellow figures embracing, viewed from behind.  one person has their arms around the other, smiling with closed eyes and blushing."
dabke.png,Kit,dabke,"three yellow people dancing dabke, a form of line dance."
divorce talksense.png,TalkSense,divorce,a gold ring with a red lightning bolt through it. on the left is a 'man' glyph and on the right is a 'woman' glyph. green arrows below both indicate that they are moving in opposite directions apart from each other.
feed pheonix 1.png,Pheonix,feed,A yellow hand sits above a blue bowl with a pile of something purple in it. The purple pile is spattered with dots indicating texture. Between the hand and the bowl is a trail of purple circles of various sizes. The image has dark line art.
