Image URL,Credit,Caption,Alt text
afikomen.png,froggygolem,afikomen,a piece of light brown speckled broken square matzah wrapped in a light gray napkin. The napkin is decorated with the word afikomen in Hebrew in multicolor letters and some multicolor stars and dots.
Am Yisrael Chai English Ani.png,Ani,Am Yisrael Chai,Am Yisrael Chai written in blue text
am yisrael chai Hebrew Ani.png,Ani,Am Yisrael Chai (Hebrew),Am Yisrael Chari written in Hebrew. The text is blue and reads עַם יִשְׂרָאֵל חַי
Ashkenazi Judaism fg.png,froggygolem,Ashkenazi Judaism,a gold temple menorah above a gray house with an orange aleph on it
/Objects/food/apples and honey.png,M,apples and honey,"a pot of honey with a drizzler in it. behind it is a red apple, and in front of it are two pieces of cut apple."
aron kodesh.png,Ani,aron kodesh/holy ark,A drawing of a simple holy ark. It looks like a light brown closest with a dark brown door. Above the door is a pink Magen David and above that are two gray slates of stone
beit din petri.png,Petri,beit din,"a drawing of three featureless yellow busts, arranged in a somewhat triangular shape with blue lines between them. the person at the top wears tallit and a blue kippah, the person on the left wears tallit, and the person on the right wears tefillin."
charoset.png,froggygolem,charoset,"three pyramidal mounds of haroset, light warm brown with red and brown bits and pieces in, all on a white plate."
born jew petri 1.png,Petri,born Jew,"a drawing of a baby swaddled in a light blue blanket and wearing a light blue hat. next to them is a white circle containing a Star of David, with an arrow pointing from the circle to the baby."
burning chametz.png,Ani,burning chametz,"A drawing of some bread, bagels, and wheat that has fire over it"
conservative judaism fg.png,froggygolem,Conservative Judaism,a gold temple menorah above seven stacked tan bricksx
born jew petri 2.png,Petri,born Jew,"a drawing of a baby swaddled in a light blue blanket and wearing a light blue kippah. next to them is a white circle containing a Star of David, with an arrow pointing from the circle to the baby."
challah with cover.png,Petri,challah (with cover),"A drawing of two pieces of challah next to each other, both partially covered wth a plain blue cloth."
family purity 1.png,Ani,family purity,A very simple drawing of three brown people made of a rectangle for the body and a circle for the head. There are two larger people representing adults and a smaller one to represent a child. Around them is a glowing yellow roughly circular shape
challah.png,Petri,challah,A drawing of two pieces of challah next to each other.
chuppah.png,M,chuppah,a chuppah.
family purity 4.png,Ani,family purity,A simple drawing of two people made of rectangles for the body and a circle for the head. The one to the left is a very light green and has a cane next to them. The person on the right is dark green. Around them is a yellow glowing roughly circular shape
clip kippah from front.png,Petri,clip kippah from front,A drawing of a plain yellow person wearing a pink kippah with their head tilted forward. They have one hand near their head holding a pink triangular clip by the kippah. To the side of them is a large pink triangular clip with a green arrow pointing from it to the one the person is holding.
family purity 3.png,Ani,family purity,A simple drawing of three people made of a rectangle for the body and a circle for a head. There are two larger red ones to represent adults and a small green one to represent a kid. Around them is a yellow glowing roughly circular shape
find the afikomen.png,froggygolem,find the afikomen,A piece of light brown speckled broken square matzah wrapped in a light gray napkin. The napkin is decorated with the word afikomen in Hebrew in multicolor letters and some multicolor stars and dots. There is a black handled magnifying glass over the top and the lens is semi transparent white so the part of the afikomen visible beneath is lighter tinted.
/Religion/dreidel.png,M,dreidel,a wood driedel painted blue with shin and hay visible.
jew abstract comet.png,Comet,Jew (abstract),a blue magen david
jew ot.png,Ottertime,Jew,"three people, a yellow person wearing a red kippah, one white person, and one lavender person wearing a purple hijab, standing side by side. Above the yellow person is a blue Star of David, with an arrow pointing from the Star of David to the yellow person, showing they are Jewish"
dreidel tonto.png,Tonto,dreidel,a spinning wood driedel with hay and nun visible.
