Image URL,Credit,Caption,Alt text
time m.png,M,time,"a tall, thin hourglass"
15 minutes rae.png,Rae,15 minutes,a dark blue digital clock with a green : 15 display
time pheonix 1.png,Pheonix,time,an off white clock surrounded by red sparkles. The image has dark line art.
time crows.png,Crows,time,an hourglass.
after fg.png,froggygolem,after,an orange arrow points to the left hand darker orange circle of two which sit above a light orange semicircle and are connected by dashed line of tiny triangles.
time pheonix 2.png,Pheonix,time,a dark grey clock surrounded by red sparkles. The image has light line art
afternoon 2 pheonix.png,Pheonix,afternoon,a sun with an orange to yellow gradient sits above a brown line. Below the brown line is a purple arrow pointing down.
always pheonix.png,Pheonix,always,"a purple arrow makes a circle, its ends are on the right side and it is traveling clockwise. The circular space created by the arrow is a transparent clock face. The ticks are purple and the hands are black. Everything has a white outline"
after pheonix.png,Pheonix,after,A dark grey circle sits to the right of an off white clock. A curved purple arrow points from the circle to the left of the clock.
afternoon pheonix.png,Pheonix,afternoon,"a purple arrow sitting below a sun points to a brown bar. The arrow grades from purple to light blue, and the sun has a slight grade from orange to yellow"
am pheonix.png,Pheonix,A.M.,an image representing a sunrise sits on the face of a clock. The background of the clock is gradient orange to yellow. The hands roughly read 2:05.
again pheonix.png,Pheonix,again,A circular green arrow pointing up at its end. The arrow travels counter clockwise.
ago pheonix.png,Pheonix,ago,A clock with a curvy blue arrow coming from it pointing left.
april tcc.png,TCC,April,"A simple, stylized representation of a calendar page. The main section of the calendar is a light gray square with the letters 'APR' printed in large, bold, black font, indicating the month of April. Above this, there is a horizontal maroon header. Behind the front page, there are two additional pages slightly offset to the right and down."
already fg.png,froggygolem,already,an orange clock face with a line above that goes left then down ending midway and capped off by a u.
autumn vixen.png,Vixen,Autumn,an orange pumpkin with a brown stem and a curly green vine coming off of it.
august tcc.png,TCC,August,"A simple, stylized representation of a calendar page. The main section of the calendar is a light gray square with the letters 'AUG' printed in large, bold, black font, indicating the month of August. Above this, there is a horizontal maroon header. Behind the front page, there are two additional pages slightly offset to the right and down."
anytime pheonix.png,Pheonix,anytime,"A clock face with numbers, no hands, and a blue rim has 5 blue arrows radiating from its center pointing out."
awhile fractals 1.png,Fractals,awhile,"a winding line that starts in the top left corner, with a circle at its start, the line is thick at the start and gets smaller as it progresses. It ends in the bottom left corner with an arrow. As is progresses the colour changes, it has greens, blues, and purples."
bce wolf.png,Wolf,BCE (Before Common Era),"A large location pin with a simple clock, which is above and to the right of a horizontal black line with arrows on both sides, indicating a timeline. Under this line on the left is a large green arrow with a vertical line on the right side."
before pheonix.png,Pheonix,before,A dark grey circle sits to the left of an off white clock. A curved blue arrow points from the circle to the right of the clock.
awhile fractals 2.png,Fractals,awhile,"a winding line that starts in the top left corner, with a circle at the start, the line is thick at the start and gets smaller as it progresses. It ends in the bottom left corner with an arrow. It is a turquoise blue."
birthday ottertime 2.png,OtterTime,birthday,"a fluffy yellow person with orange eyes wearing a blue and purple party hat. it looks happy. Next to it is a vanilla cake with vanilla frosting, sprinkles that are pink purple blue and green, and a colorful candle"
ce wolf.png,Wolf,CE (Common Era),"A large location pin with a simple clock, which is above and to the left of a horizontal black line with arrows on both sides, indicating a timeline. Under this line on the right is a large green arrow with a vertical line on the left side."
before fg.png,froggygolem,before,an arrow points to the left hand darker blue circle of two which sit above a light blue semicircle and are connected by dashed line of tiny triangles.
break.png,CC,break,"a young person with a red shirt is sat down with their eyes closed and a smile on their face. to the viewers left, from top to bottom, there is a clock with a section highlighted showing a 15 minute period, a pink heart, and a green charger-battery symbol."
daily zaza.png,Zaza,daily,a stylized red calendar with a green cross over every day
