Image URL,Credit,Caption,Alt text
bigot.png,Petri,bigot,A drawing of a person angrily sticking their tongue out. Drawn on their head is a green circle with a large X drawn over it.
bigotry.png,Petri,bigotry,A drawing of a thought bubble containing a green circle with a large X drawn over it.
ableism petri.png,Petri,ableism,A drawing of a thought bubble containing the active wheelchair symbol with a large X drawn over it.
xenophobe.png,Petri,xenophobe,a drawing of a person sticking their tongue out with an angry expression. drawn in their head is a red circle and a blue square with a large X drawn over them.
xenophobia.png,Petri,xenophobia,A drawing of a thought bubble containing a red circle and a blue square flag with a large X drawn over them
ableist_petri.png,Petri,ableist,a digitally drawn emoji of a person sticking their tongue out with an angry expression. drawn in their head is the active wheelchair symbol with a large X drawn over it
demonisation 1.png,M,demonisation,"A person with brown skin looking sadly up at a speech bubble coming from somewhere else. the speech bubble has a picture of them, but with added red horns and frowning, in it."
demonisation 2.png,M,demonisation,"A person with light brown skin looking sadly up at a speech bubble coming from somewhere else. the speech bubble has a picture of them, but with added red horns and frowning, in it."
ableist dogwhistle ottertime.png,Ottertime,ableist dogwhistle,"ID: a tan dog with brown spots blowing a whistle, which has a spiky speech bubble coming out of it. Inside the speech bubble is the disability sun with the colors of the disability flag having a red X over it."
demonize.png,Esrah,demonize,"the face of an average person with no hair and mid-toned skin, and red arrows pointing from them to the face of a purple demon version of them. The demon version has pointy ears, fangs, and horns, and is grinning."
antiziganism petri 2.png,Petri,antiziganism,A drawing of a thought bubble containing the Rromani flag with a large X over it.
aphobe petri.png,Petri,aphobe,A drawing of someone angrily sticking their tongue out. Drawn on their head is the aspec flag with a large X over it.
able-bodied superiority.png,Esrah,able-bodied superiority,A red blob on a lower pedestal and a purple blob on a higher pedestal. The red blob uses a wheelchair and is outlined in bronze. The purple blob does not use a wheelchair and is outlined in yellow with sparkles around it.
dsd m.png,M,DSD (Disorder of Sexual Development),"shapes resembling the letters 'D S D,' each 'letter' broken into two pieces.  For each 'letter,' one piece is blue and one is pink. This represents 'broken' binary sexual chromosomes and presentation."
dehumanizing bh.png,Blackholemojis,dehumanizing / dehumanising,A person looking up and to the left at a speech bubble with a disapproving expression. The speech bubble has a silhouette of a human on it and a red X over it.
ageism petri.png,Petri,ageism,A drawing of a thought bubble containing a clock with a large X drawn over it
dsd quotes m.png,M,"""DSD"" (""Disorder of Sexual Development"")","shapes resembling the letters 'D S D,' each 'letter' broken into two pieces.  For each 'letter,' one piece is blue and one is pink. This represents 'broken' binary sexual chromosomes and presentation. there are black quote marks in the top left and bottom right corners."
demonisation 3.png,M,demonisation,"A person with light skin looking sadly up at a speech bubble coming from somewhere else. the speech bubble has a picture of them, but with added red horns and frowning, in it."
ageist petri.png,Petri,ageist,A digitally drawn emoji of a person sticking their tongue out with an angry expression. Drawn in their head is a clock with a large X drawn over it.
prejudice.png,Esrah,prejudice,"a purple person looking at a red person. The red person looks confused. The purple person has their hands clasped and looks scared, and is thinking of an explosion."
anti plural 3.png,CC,anti-plural,"A muted-yellow figure is looking to the side with their tongue sticking out. A thought bubble is connected to their head, showing the Emmengard's Plural Rings crossed out with a red X."
anti plural 1.png,CC,anti-plural,"A muted-yellow figure is looking to the side with their tongue sticking out. A thought bubble is connected to their head, showing a purple ampersand that is crossed out with a red X."
Anti Masculism Rae.png,Rae,Anti Masculism,a blue male sign with a red No symbol around it
