Image URL,Credit,Caption,Alt text
bro esrah.png,Esrah,bro,"two people standing shoulder to shoulder. One has sunset colored sunglasses, and is smiling and crossing their arms. An arrow is pointing to them as the 'bro.' The other has one hand on the first's shoulder, and is making the 'rock on' sign with their hand."
dude esrah.png,Esrah,dude,"a person wearing sunset colored sunglasses, smiling and crossing their arms."
loverenby.png,Ani,loverenby,A very simple drawing of a yellow person with a heart on their chest. The heart is outlined in pink and colored blue. Inside of the heart is the symbol for non binary it is a circle that is connected to an asterisk above it
cariad.png,M,cariad,a welsh love spoon with a pinkish purple heart behind it.
loverboy.png,Ani,loverboy,A very simple drawing of a light blue person with a pink heart drawn on their chest. Inside of the heart is a drawing of the symbol for boy which is a circle with an arrow coming out of it.
soulmate.png,M,soulmate,"a lavender figure and light blue figure, each with a red heart in front of them. the hearts are connected together, forming one shape."
good boy meowing.png,meowing-emojis,good boy,a blue mars symbol with a pink heart and a thumbs-up.
loverview.png,Ani,loverview,A very simple drawing of a green person with an off white heart on their chest. The person and heart are outlined in black and inside the heart there is a symbol that is a blocky eye with a round iris and two lines going outwards from underneath it.
sweetheart.png,M,sweetheart,"a heart shape. It has a dark brown base like chocolate, white frosting on the edges, a pink top, and multicoloured sprinkles."
lovergirl.png,Ani,lovergirl,A very simple drawing of a pink person with a blue heart on their chest. Inside of the heart is the symbol for girl which looks like a circle with a cross coming out of the bottom of it
