Image URL,Credit,Caption,Alt text
atomic.png,M,atomic,a simple model of an atom with a purple bracket on the right side of it.
antimatter m.png,M,antimatter,a somewhat spiky black shape with three small white round shapes in it.
amplitude crows.png,Crows,amplitude,One oscillation ( section ) of a wave with an arrow going from a dotted line to the highest point of the wave.
bottom quark.png,Ani,bottom quark,an orange circle with a B in the middle of it.
charm quark.png,Ani,charm quark,an orange circle with a C in the middle of it.
down quark.png,Ani,down quark,an orange circle with a down arrow in the middle of it.
diffusion leaf.png,Leaf,diffusion,"a big group of dots, the top left corner of dots is green and the rest are blue, there is two green arrows starting on the green dots and pointing into the rest of the blue dots"
entropy gillipop 2.png,Gillipop,entropy,"a circle pattered with multicolored squares, with even smaller multicolored squares inside of them resembling layered static, with a zigzag arrow pointing down to a gray circle, the same average color as the first but with much more even white noise/static"
general relativity 2.png,M,general relativity,a blue circle with a grid that is warping around it. a green arrow follows the curve.
entropy.png,M,entropy,"a haphazard collection of lines and arrows, bright yellow orange at the centre and fading to red at the sides."
general relativity1.png,M,general relativity,a blue circle with a grid that is warping around it.
quantum entanglement m.png,M,quantum entanglement,"a blue circle and a red circle, connected by two curving white lines. below the blue circle is a black chevron used as a down-arrow, and above the red circle is a black chevron used as an up-arrow."
entropy gillipop 1.png,Gillipop,entropy,"a circle pattered with multicolored squares, with even smaller multicolored squares inside of them resembling layered static, with a wobbly arrow pointing down to a gray circle, the same average color as the first but with much more even white noise/static"
quarks.png,Ani,quarks,orange circles organized in columns and rows. The first row has the circles with the up arrow and the C. The second row has the circles with the down arrow and the S. The third row has the circles with the T and B.
quantum physics.png,Ani,quantum physics,a chalkboard with a drawing of an atom; next to the atom is an arrow pointing towards a small circle.
frequency crows.png,Crows,frequency,A wave with one of three oscillations ( sections ) highlighted with an arrow pointed from it to a highlighted 3.
schrödingers cat bauwex 2.png,Bauwex,Schrödinger's cat,A drawing of an open grey box. In front of the box there's a cat licking its paws. On top of the box there's a plus-minus sign. The colors are bright.
schrodinger's cat.png,Ani,Schrödinger's cat,"Two identical solid orange cats from the shoulder up with a question mark between them. Both caats are sitting up and looking straight ahead, but the cat on the right has a red X over each eye."
quantum entanglement.png,Ani,quantum entanglement,two blue dots connected by a black line.
string theory.png,Ani,string theory,"two blue squiggles, and blue squiggles vibrating together."
spooky action at a distance m.png,M,spooky action at a distance,"a blue circle and a red circle, connected by two curving white lines. there is a ghost in the corner of the image."
schrödingers cat bauwex 1.png,Bauwex,Schrödinger's cat,A drawing of an open brown box. In front of the box there's a cat licking its paws. On top of the box there's a plus-minus sign. The colors are bright.
three body problem wolf 3.png,Wolf,three-body problem,"three abstract people (in gray, purple, and blue) in a triangle formation with various arrows pointing in all directions, some straight and some wavy, indicating uncertainty and chaos. A black question mark sits in the upper left corner."
subatomic.png,Ani,subatomic,a drawing of an atom with an arrow next to it pointing to a much smaller circle.
strange quark.png,Ani,strange quark,an orange circle with an S in the middle of it.
top quark.png,Ani,top quark,an orange circle with a T in the middle of it.
three body problem wolf 2.png,Wolf,three-body problem,"A yellow star in the upper left, a small brown planet in the lower left, and an orange star in the lower right. There are three gray arrows leading from the planet, indicating a path circling the yellow star, circling the orange star, or being flung out into space. A black question mark sits at the top of the image."
superposition.png,Ani,superposition,a black waveform with two peaks and a blue circle above each peak.
up quark.png,Ani,up quark,an orange circle with an up arrow in the middle of it.
uncertainty principle.png,Ani,uncertainty principle,several brown dots next to a question mark next to a string of brown dots.
three body problem wolf 1.png,Wolf,three-body problem,"A yellow star in the upper left, a small brown planet in the lower left, and an orange star in the lower right. There are three gray arrows leading from the planet, indicating a path circling the yellow star, circling the orange star, or being flung out into space."
wave m.png,M,wave,"a thick, purplish-blue waveform."
wave or particle m.png,M,wave or particle,"a thick, purplish-blue waveform. below it is a deep purple question mark and a light blue circle with emphasis lines around it."
