Image URL,Credit,Caption,Alt text
cambodian buddhism.png,C,Cambodian Buddhism,a dharma wheel with a simplified version of the flag of Cambodia in the center.
eightfold path chan.png,C,eightfold path,dharma wheel with a slightly curved road with a yellow dotted line down the middle in front of it
eightfold path chan 2.png,C,eightfold path,"simplified dharma wheel, in front of it is a gray road with a yellow dotted line down the middle"
demerit chan.png,C,demerit,dharma wheel with a red 'down' arrow to the lower right.
five precepts 2.png,C,five precepts,"simplified dharma wheel with number 5 crossed out in front of it, on the upper left side"
five precepts chan.png,C,five precepts,dharma wheel with the number 5 crossed out to the upper left
laotian buddhism.png,C,Laotian Buddhism,a dharma wheel with the flag of Laos in the center.
thai buddhism.png,C,Thai Buddhism,a dharma wheel with the flag of Thailand in the center.
karma.png,C,karma,"a dharma wheel with a green arrow pointing up, and red arrow pointing down in front of it."
merit chan.png,C,merit,dharma wheel with a green 'up' arrow to the upper left.
vietnamese buddhism.png,C,Vietnamese Buddhism,a dharma wheel with the flag of Vietnamese in the center.
