Image URL,Credit,Caption,Alt text
pokeball.png,Mikey,pokéball,a pokéball
electrode crows.png,Crows,Electrode,A drawing of the Pokémon Electrode
ditto crows.png,Crows,Ditto,A drawing of the Pokémon Ditto
pokeball creature.png,creature,pokéball,"an item from Pokémon called a Pokéball. It is a sphere with a red top piece, a white bottom piece, and an light black middle stripe separating the bottom and top with an off-white button in the center"
Eeveelutions/espeon.png,Crows,Espeon,a drawing of Espeon
Eeveelutions/flareon.png,Crows,Flareon,a drawing of Flareon
drifblim crows.png,Crows,Drifblim,A drawing of the Pokémon Drifblim.
fainting pokemon rae.png,Rae,fainting (Pokemon),a stylized pikachu with its tongue out and spirals for eyes.
Eeveelutions/leafeon.png,Crows,Leafeon,a drawing of Leafeon
drifloon crows.png,Crows,Drifloon,A drawing of the Pokémon Drifloon
greatball creature.png,creature,greatball,"an item from Pokémon called a Pokéball. It is a sphere with a light blue top piece, a white bottom piece, and an light black middle stripe separating the bottom and top with an off-white button in the center. On the top piece has two stripes of red on either side of it."
level ball neon.png,Neon,level ball,"a level ball from pokémon. it has a yellow top half, crowned with a black circle and a red V shape that points down. the bottom is white, and separated from the top by a black band"
Eeveelutions/eevee.png,Crows,Eevee,a drawing of eevee
Eeveelutions/jolteon.png,Crows,Jolteon,a drawing of Jolteon
lumiose gallery crows.png,Crows,lumiose galette,"A flat brown circle with the imprint of a triangle on the top, which is a pale color."
full green health crows.png,Crows,full / green health,"A full, green health bar with a red  heart to the left of the bar. Underneath is a happy smiling pikachu face."
lava cookie crows.png,Crows,lava cookie,An orange circle with a dark gray-green wrap on the bottom.
lure ball neon.png,Neon,lure ball,"a lure ball from pokémon. it has a teal-based top half, which is cut vertically by a red arrow shape. there are three yellow lines at the very top. the bottom is white, and separated from the top by a black band"
green full health crows 2.png,Crows,full / green health,"A full, green bar with the text 'X/X' on the far right, with a small info box above the left half, the upper portion reading 'LV. X' next to a blue dot, and the under portion having a scribble."
orange health crows.png,Crows,orange health,"A half-full, orange health bar with a red heart to the left of the bar. Underneath is a calm pikachu face with a few crosshatches indicating injury."
master ball neon.png,Neon,master ball,"a master ball from pokémon. it has a purple top half with two pink spots on either side, and a large letter M in the middle. the bottom is white, and separated from the top by a black band"
Eeveelutions/glaceon.png,Crows,Glaceon,a drawing of glaceon
orange health crows2.png,Crows,orange health,"A half-full, orange bar with the text 'X/X' on the far right, with a small info box above the left half, the upper portion reading 'LV. X' next to a blue dot, and the under portion having a scribble."
meowth.png,M,Meowth,a Meowth.
oran berry crows.png,Crows,oran berry,A blue berry with a few scattered darker specks and a small green stem.
shiny drifloon crows.png,Crows,Shiny Drifloon,A drawing of the Pokémon Drifloon but it’s yellow instead of purple and its accent colour is blue instead of yellow.
poffin crows.png,Crows,poffin,A pink dome with dark brown seeds on top.
pecha berry crows.png,Crows,pecha berry,"A pink heart-shaped berry which is paler at the bottom, and has two large leaves and a stem."
