Image URL,Credit,Caption,Alt text
/Time/holidays/advent calendar fractals.png,Fractals,Advent calendar,A red advent calendar. It is a box with lighter red doors on it. Each door has a light red number from 1 to 25 on it. The numbers on the doors are randomly placed and door 1 and 2 are open.
/Time/holidays/christmas fractals 2.png,Fractals,Christmas,an image with two drawings in it. In the top left corner there is a red number 25. On the right side it has a christmas tree with presents underneath
/Time/holidays/bauble fractals.png,Fractals,bauble,A red bauble with a gold string to hang it.
/Time/holidays/angel tree fractals.png,Fractals,angel tree,green fir tree with long rectangle pieces of paper hanging from it. On the paper is a pale yellow circle and under that is writhing that is not legible.
/Time/holidays/bonbon christmas cracker fractals.png,Fractals,bonbon / Christmas cracker,A green christmas cracker with darker and lighter green dots on it. It has red ribbons tied between the segments that are pulled apart
/Time/holidays/christmas carol fractals.png,Fractals,Christmas carol,a music staff that is twisting. Instead of a treble or bass clef it has a christmas tree styled like a clef. The notes on the staff are coloured in alternating red and green and they are the opening notes to jingle bells
/Time/holidays/christmas fractals 1.png,Fractals,Christmas,an image with three drawings in it. In the top left corner there is an image of a calendar with DEC written on it and a red circle around one day. Below that is a red number 25. On the right side it has a christmas tree with presents underneath
/Time/holidays/christmas fractals m.png,Fractals & M,Christmas,an image with two drawings in it. In the top left corner there is an image of a calendar with a red circle around one day. On the right side it has a christmas tree with presents underneath
/Time/holidays/christmas tree vixen.png,Vixen,Christmas tree,"a Christmas tree. It is decorated with colorful ornaments in red, white, blue, and yellow. The tree is green and has a brown trunk. It sits on a red base."
/Time/holidays/christmas eve fractals 1.png,Fractals,Christmas eve,an image with three drawings in it. In the top left corner there is an image of a calendar with DEC written on it and a purple half circle around one day. Below that is a red number 24. On the right side there is a crescent moon wearing a santa hat .
/Time/holidays/christmas eve fractals 3.png,Fractals,Christmas eve,an image with drawings in it. In the top left corner there is a red number 24. On the right side there is a crescent moon wearing a santa hat.
/Time/holidays/christmas tree ornament fractals.png,Fractals,Christmas tree ornament,A gold star with a pale blue star inside it and a gold star inside the blue one. It has a pale bluer string attached to the top.
/Time/holidays/christmas eve fractals 2.png,Fractals,Christmas eve,an image with drawings in it. In the top left corner there is a red number 24. On the right side there is a crescent moon wearing a santa hat. There are gold stars scattered around.
/Time/holidays/christmas lights vixen.png,Vixen,Christmas lights,"a brown wall corner, Inside a string of colorful lights is hanging diagonally from the top corner, there is a green arrow pointing to the lights."
/Time/holidays/christmas tree topper 2 fractals.png,Fractals,Christmas tree topper,A golden star attached to a triangular base of the same colour. There are lighter yellow star shores inside the main star.
/Time/holidays/christmas gift vixen.png,Vixen,Christmas gift,"a Christmas gift box with a red ribbon and bow, The box is wrapped in green paper with a festive pattern of Christmas trees, snowmen, candy canes, and stars."
/Time/holidays/christmas tree topper 1 fractals.png,Fractals,Christmas tree topper,A golden star attached to a triangular base of the same colour. There are lighter yellow star shores inside the main star. The star is glowing brightly.
/Time/holidays/happy christmas fractals m.png,Fractals & M,happy Christmas,speech bubble with a cartoon confetti bomb and christmas tree in it
/Time/holidays/christmas tree fractals.png,Fractals,Christmas tree,A green tree in a triangular shape with a brown trunk. It is decorated in gold lights and red and blue baubles. It has a shining star on top.
/Time/holidays/christmas wreath fractals.png,Fractals,Christmas wreath,a circular green wreath with a light red tag at the top to hang it from things. It has three bunches of holly on it.
/Time/holidays/merry christmas fractals 2.png,Fractals,merry Christmas,a speech bubble. In it is a cone shaped party popper going off and a red number 25.
/Time/holidays/gingerbread man wolf vixen.png,Vixen,gingerbread man (wolf),"a gingerbread man cookie. It has a brown body, brown cat like ears with white frosting outlining its shape. It has black round eyes, a red and blue button on its chest, and a white frosting smile."
/Time/holidays/mari lwyd m.png,M,Mari Lwyd,"A Mari Lwyd facing the right. She's a horse skull propped on a grey metal pole, a white sheet covering her back. She's wearing a wreath of red and white flowers, with red and green ribbons hanging from it. There are also two dangling bells."
/Objects/religion/santa claus tonto.png,Tonto,Santa Claus,"a somewhat detailed drawing from the shoulders up of Santa Claus . Santa is a white man with a curly white beard , mustache , & a warm smile . He wears all red and white ."
/Time/holidays/merry christmas fractals 1.png,Fractals,merry Christmas,"a speech bubble. In it is a cone shaped party popper going off, a christmas tree with gifts underneath and a red number 25."
/Time/holidays/paw stocking vixen.png,Vixen,paw stocking,a red Christmas stocking in the shape of a paw with a white cuff and a green paw print.
