Image URL,Credit,Caption,Alt text
aac folder petri.png,Petri,AAC folder,a drawing of a hollow blue folder with a blue AAC device inside.
aac folder crows 1.png,Crows,AAC folder,"a purple file folder with a set of communication cards, an aac folder, and an aac device on it."
aac folder crows 2.png,Crows,AAC folder,"a red file folder with a set of communication cards, an aac folder, and an aac device on it."
aac folder tcc.png,TCC-mojis,AAC folder,"A icon of a dark blue file folder with three tabs at the top and a grey panel in the center. On the panel is a maroon AAC device with a rectangular display box at the top and a grid of three rows and six columns of square buttons in muted pastel colors (purple, blue, green, and yellow)"
aac folder t.png,Tonto,AAC folder,a green AAC tablet with a handle. It's inside a teal folder that has green and orange folder tabs behind it.
aac folder crows 3.png,Crows,AAC folder,"a green file folder with a set of communication cards, an aac folder, and an aac device on it."
actions folder petri 1.png,Petri,actions folder,A drawing of a hollow blue folder with thick lines. Inside is a drawing of a green clapboard with orange stripes on the top.
affection folder.png,Petri,affection folder,A drawing of a speech bubble shaped like a heart inside of a transparent blue folder.
action folder chrome.png,cytochrome-sea,action folder,image of a green paw with a yellow lightning bolt on it
actions folder petri 2.png,Petri,actions folder,A drawing of a hollow blue folder with thin lines. Inside is a drawing of a green clapboard with orange stripes on the top.
affection folder t.png,Tonto,affection folder,"a big, beating red heart shape. It's inside a teal folder that has green and orange folder tabs behind it."
actions folder five guys.png,The Five (+) Guys Collective,actions folder,a beige folder with a black and yellow clapboard symbol
Actions folder.png,Petri,actions folder,A messy drawing of a black clapboard with orange stripes inside of a transparent blue folder.
animal crossing folder legless rat.png,legless rat,Animal Crossing folder,"a star shaped folder with a yellow inside and darker yellow greenish outside with a tab of the same colour, a blue tab and a green tab with the animal crossing logo."
actions folder t.png,Tonto,actions folder,a green clapperboard with orange and black stripes. It's inside a teal folder that has green and orange folder tabs behind it.
art folder tcc.png,TCC-mojis,art folder,"A icon of a dark blue file folder with three tabs at the top and a grey panel in the center. On the panel is there is a depiction of an artist's palette and a paintbrush. The palette is situated on the left side and contains splashes of various colors, including red, blue, purple, and light green. To the right of the palette is a brown paintbrush with dark bristles and purple paint on the tip."
art folder neon.png,Neon,art folder,"A light blue folder with three colored tabs poking out the top. On the front of the folder is a paint palette, paint brush, and bucket of paint."
advocacy folder crows 1.png,Crows,advocacy folder,"a purple file folder with an exclamation bubble on it, in the bubble is a stop symbol."
bad folder.png,Petri,bad folder,a drawing of a hollow blue folder containing a blue thumbs down and a large red X
baking folder budget.png,Bear,baking folder,"A simple yellow folder with small drawing on the front of it. There is a sugar bag, a whisk, a wooden spoon, and a clump of dough drawn onto the folder"
advocacy folder crows 2.png,Crows,advocacy folder,"a blue file folder with an exclamation bubble on it, in the bubble is a stop symbol."
baking folder t.png,Tonto,baking folder,a birthday cake held by an oven glove inside a teal folder that has green and orange folder tabs behind it.
blank flag folder chrome.png,cytochrome-sea,blank flag folder,a cyan paw with a blank white flag in it
advocacy folder crows 3.png,Crows,advocacy folder,"a red file folder with an exclamation bubble on it, in the bubble is a stop symbol."
boundaries folder koda.png,Koda,boundaries folder,a periwinkle folder with a big red exclamation mark in the middle.
brands folder fg 1.png,froggygolem,brands folder,"light blue file folder on which Several logos are visible, with one being a dark green ring around a silhouette of a coffee cup, one being bubble letters of the word 'brand' with a period at the end, a three-bump yellow m-like shape, a white kiki shape in a matching white ring, a white silhouette of a pear with a bite taken out of it, and a gray box with five sections of color going red, orange, yellow, green, and blue."
advocacy folder crows 4.png,Crows,advocacy folder,"a green file folder with an exclamation bubble on it, in the bubble is a stop symbol."
boundaries folder rae.png,Rae,boundaries folder,a periwinkle folder with a white speech bubble containing a red lock
brands folder fg 2.png,froggygolem,brands folder,"transparent file folder on which Several logos are visible, with one being a dark green ring around a silhouette of a coffee cup, one being bubble letters of the word 'brand' with a period at the end, a three-bump yellow m-like shape, a white kiki shape in a matching white ring, a white silhouette of a pear with a bite taken out of it, and a gray box with five sections of color going red, orange, yellow, green, and blue."
affection folder ani.png,Ani,affection folder,"A black square with three concentric hearts in it. The largest is a blue heart, inside is the second heart with is purple, and inside that one is the third one with is magenta."
clothes folder.png,"Petri, modified by M",clothing folder,pink and purple clothing inside of a transparent blue folder.
categories folder chrome.png,cytochrome-sea,categories folder,image of orange paw with red square blue circle and green triangle in it
around the world folder t.png,Tonto,around the world folder,a globe inside a teal folder that has green and orange folder tabs behind it.
colors folder creature.png,Creature,colors folder,"a AAC folder icon. The folder looks like a filing cabinet folder that is bright beige with a green and blue marker beside the tap of the folder. On the tap of the folder has two pastel sparkles, one bigger than the other. In the middle of the folder is a big white patch for icons. There is a red circle in the middle, a small blue circle on the right, and another small yellow circle on the left. The smaller circles overlap with the red circle. Where the blue circle overlaps with the red blends into purple and orange for where the yellow circle overlaps with the red circle."
change folder tonto.png,Tonto,change folder,a red arrow pointing from a green triangle to a yellow circle. It's inside a teal folder that has green and orange folder tabs behind it.
arts and crafts folder t.png,Tonto,arts and crafts folder,a paint palette with two paintbrushes. It's inside a teal folder that has green and orange folder tabs behind it.
yanas_convo_repair1.png,yanas_emotes,Conversation Repair folder,A file folder in various greens. On the front is a pair of speech bubbles behind a crossed hammer and wrench
color folder.png,Ani,color folder,"A black square containing blobs of various colors there are 2 green blobs, 2 blue blobs, a yellow, and a red blob"
