Image URL,Credit,Caption,Alt text
history.png,M,history,"A dark green timeline, with an arrow pointing to the left. Above it is a book with light brown pages, a dark green cover, and a red bookmark. Behind that is a clock, turned to the left."
history tony.png,TalkSense,history,a green book with a castle on the cover and the title 'history'.
Historical.png,Petri,historical,"a green timeline with a clock  above it. On one end of the timeline there's a house separated from the rest of the line, and a red arrow pointing backwards towards the clock, indicating the past."
/Disability/capitol crawl.png,M & StellarSymbols,Capitol Crawl,"Two 'active wheelchair user' glyphs, with a big orange arrow pointing from them up the many steps of the US Capitol building."
black history koda.png,Koda,black history,"3 people, a dark skinned brown person, medium toned brown person, and light skinned brown person. above them is a green dot staring at the right and a line coming from out going to the left and ending as a red arrow"
historical petri 2.png,Petri,historical,"a green timeline with a clock above it. On one end of the timeline there's a Kikuyu hut separated from the rest of the line, and a red arrow pointing backwards towards the clock, indicating the past."
Corinthian.png,M,Corinthian,a Corinthian column capital.
black history month koda.png,Koda,black history month,"3 people, a dark skinned brown person, medium toned brown person, and light skinned brown person. above them is a green dot staring at the right and a line coming from out going to the left and ending as a red arrow. behind them is a calendar displaying a month"
historical petri 3.png,Petri,historical,"a green timeline with a clock above it. On one end of the timeline there's a traditional Japanese house separated from the rest of the line, and a red arrow pointing backwards towards the clock, indicating the past."
ddr m.png,M,DDR / Deutsche Demokratische Republik,"the shape of the historical nation-state the Deutsche Demokratische Republik, commonly known as the DDR, coloured in with the DDR's flag. There is a small hole indicating West Berlin. The flag has horizonal stripes of black, red, and gold, and a central emblem of a hammer and compass inside a wreath of wheat"
carnyx m.png,M,carnyx,the head and top of the tail of a bronze-coloured carnyx with red eye and tongue.
aberfan disaster m.png,M,Aberfan disaster,"a drawing of the Aberfan disaster, coal slurry flooding from a slag heap down onto a small town."
/Tech/demon core.png,Rover,demon core,"a simple drawing of the so-called demon core, a sphere of plutonium created during the american manhattan nuclear project."
castle m.png,M,castle,a simple drawing of a light grey castle with a black background. the castle has a brown tower roof and door and greenery in front of it.
aberfan disaser m high contrast.png,M,Aberfan disaster (high-contrast),"a high contrast drawing of the Aberfan disaster, coal slurry flooding from a slag heap down onto a small town."
druid historical m.png,M,druid (historical),"a full-body drawing of a historical druid, shown as a white man with a silver beard and white robes, adorned in gold and with a wreath of green leaves on his head. he is holding up both arms, one hand facing up and the other hand facing down."
Doric.png,M,Doric,a Doric column capital.
anglo saxon m.png,M,Anglo-Saxon,Sutton Hoo helmet Royal Armouries replica.
ivan the terrible.png,M,Ivan the Terrible,"a bust drawing of Ivan IV Vasilyevich, known as Ivan the Terrible."
druidism historical m 1.png,M,druidism (historical),"a full-body drawing of a historical druid, shown as a white man with a silver beard and white robes, adorned in gold and with a wreath of green leaves on his head. he is holding up both arms, one hand facing up and the other hand facing down. behind him is an oak tree and a body of water, and to his side is a large knife."
brigantes m.png,M,Brigantes,"green shape of England and Wales, with the territory of the Brigantes coloured in bronze. overlaid to the side is a picture of the Stanwick Horse Mask made by the Brigantes."
juana i of castile.png,M,Juana I of Castile,"a simple bust portrait of Juana I of Castile, based on the painted portrait of her by the Master of Affligem."
elizabeth bathory.png,M,Countess Elizabeth Báthory,"a bust portait of Countess Elizabeth Báthory, or Ecsedi Báthori Erzsébet."
castle high contrast m.png,M,castle (high-contrast),a simple high contrast drawing of a light grey castle with a black background. the castle has a red tower roof and door and greenery in front of it.
knight m.png,M,knight,"a knight, based on medieval marginalia, wearing mail and a red tunic, kneeling with shield up and sword raised behind head."
joan of arc m.png,M,Joan of Arc,"a bust portait of Joan of Arc, a young person wearng armour with pale skin and brown hair in a fringed bob. Behind Joan on one side is flames, and on the other a white banner with a blue fleur-de-lis."
dagger.png,M,dagger,a simple dagger.
