Image URL,Credit,Caption,Alt text
objects crows.png,Crows,objects,"a calico keychain, a round bell, a pink eraser, and a flower patterned mug."
acrylic charm dusty.png,Dusty,acrylic charm,"A green lizard charm with a thick white outline and gloss, and a fastener and string loop attached to its back."
anchor.png,M,anchor,An anchor
air tank.png,Ani,air tank,A drawing of a blue cylinder air tank.
angled broom esrah.png,Esrah,angled broom,"a blue broom with a brush that’s flat on one side, and reaches out at an angle on the other side."
baggage pheonix 1.png,Pheonix,baggage,A purple bag with a blue hand sits next to a blue suitcase with a purple handle. The image has white line art.
alpha uppercase.png,M,alpha,the Greek letter alpha in yellow with black outline.
armillary sphere.png,froggygolem,armillary sphere,a gold colored mechanical device made of many interlocking circular bands at different angles with a small globe at the center and a long rod down the middle.
baggage pheonix 2.png,Pheonix,baggage,A purple bag with a blue hand sits next to a blue suitcase with a purple handle. The image has black line art.
bwaa.png,M,airhorn,"A golden airhorn pointed up and to the right, with three yellow sound lines coming from it."
balloon dog.png,Neon,balloon dog,A cartoon style red balloon animal dog with white highlights.
blankie.png,Ani,blankie (blanket),A light blue blanket. it is kind of scrunched up at the top but one of the corners is flat.
assessment fractals.png,Fractals,assessment,A sheet of paper. On the paper are lines of gibberish text and next to each line are four circles. They are labeled A B C D.
blue gift bow 2.png,CC,blue gift bow,a dark blue star gift bow.  the bow has simplified shine lines
balloon.png,Rae,balloon,a dark pink balloon with a black string.
bag pheonix 1.png,Pheonix,bag,A blue bag with a purple handle and black line art.
bottlecap petri.png,Petri,bottlecap,A drawing of a pink plastic bottlecap with a white scribble on the top.
bath cup koda.png,Koda,bath cup,"a round white bathtub filled with water, and a pink cup over top of it"
bag pheonix 2.png,Pheonix,bag,A blue bag with a purple handle and white line art
bridge.png,Gillipop,bridge,A bridge with a border.
bell fractals.png,Fractals,bell,A large golden bell with a small loop to hang it from at the top.
black candle moony.png,Moony,black candle,"a drawing of a thick black candle, lit, in a crayon-like brush"
broken phone neon.png,Neon,broken phone,A smart phone with a cracked screen.
bowl neon.png,Neon,bowl,A cartoon style drawing of a blue bowl
bleach chan.png,C,bleach,"a simple drawing of a white plastic bleach bottle with a built-in handle. it has a blue label, which is left blank, and a blue cap."
Green Bucket Neon.png,Neon,Bucket (green),A cartoon styled drawing of a minimally shadded green bucket.
box pheonix 1.png,Pheonix,box,A brown cardboard box with dark line art.
blue gift bow 1.png,CC,blue gift bow,a dark blue star gift bow. the bow has shiny bits that look blurred and reflective
candle holder.png,M,candle holder,a white candle in a bronze holder.
box pheonix 2.png,Pheonix,box,A brown cardboard box with white line art.
bottle pheonix 1.png,Pheonix,bottle,A clear glass bottle with a narrowing neck. The image has dark line art.
carabiner purple.png,M,carabiner,a purple carabiner.
bucket list fg.png,froggygolem,bucket list,a blue bucket with a gray and brown handle next to a tan piece of paper with a three item checklist in fake writing on it.
bottle pheonix 2.png,Pheonix,bottle,A clear glass bottle with a narrowing neck. The image has light line art.
card binder moss.png,legless-rat,card binder,a red binder with 3 rings in the center with 2 pages on either side with cards of different colours and shapes
Orange Bucket Neon.png,Neon,bucket (orange),A cartoon styled drawing of a minimally shadded blue bucket with a red outline.
bubble ts.png,TalkSense,bubbles,A few bubbles.
collection vixy.png,Vixen,collection,"a group of silhouettes of various animals in the style of the 'LPS' toy, there's a pink heart circling them."
bus pass.png,DoctorDisco,bus pass,a blue and white bus pass card.
candy bucket rae.png,Rae,candy bucket,Jack o lantern shaped object with an opening and a thin black handle.
clothespeg m.png,M,clothespeg,a wooden clothespeg.
can pheonix 1.png,Pheonix,can,A smooth silver can without a label with dark line art.
candle fractals.png,Fractals,candle,A white candle with wax running down the sides. It emits a warm glow from its flame.
dish soap chan.png,C,dish soap,a simple drawing of a blue bottle of dish soap with a blank white label and white cap.
can pheonix 2.png,Pheonix,can,A smooth silver can without a label with light line art.
car lights.png,Vixen,car lights,"a stylized front view of a blue car. The car has two bright yellow headlights, one on each side, glowing to emphasize the light . In the center of the grille area is a small heart symbol."
dish soap 1.png,Vixen,dish soap,A tall crayon textured oblong bottle with blue liquid in it with a tag showing cutlery and bubbles with a white cap
candles.png,Gleepglorpian,candles,five lit white candles of different heights.
car brights.png,Vixen,car brights,"a stylized front view of a blue car. The car has two bright yellow headlights, one on each side, glowing very bright to emphasize the brights are on . In the center of the grille area is a small heart symbol."
dry ice koda.png,Koda,dry ice,a desaturated blue cube with highlights & shadows with see-through smoke all around it
chain.png,Dusty,chain,A drawing of a grey linked chain.
chainsaw rover.png,Rover,chainsaw,A chainsaw with an orange handle section.
dye bh.png,Blackholemojis,dye,"a bottle of dye, and blue dye dissolving in a glass of water"
coconut oil ot.png,Ottertime,coconut oil,a glass jar of Coconut oil with a brown lid and a teal-green gradient label. On that label is a Coconut and some gibberish text above it.
charm dusty.png,Dusty,charm,A smiling orange cat with a fastener and string loop attached to its back.
electric plug k9.png,K9,electric plug,"A black plug, the kind that goes into an electric socket at the end of a black lead (which is downwards, curved into a small heart shape along the way). two prongs are visible. there are two yellow lightning bolt symbols near it representing electricity"
conditioner koda.png,Koda,conditioner,a yellowy tan bottle with a bronze cap at the bottom. there’s a light vertical rectangle with 2 blue squiggle lines down the center and 4 darker blue emphasis marks around them
collar v.png,Vixen,collar,a collar.
glowstick 2.png,Neon,glowstick,A blue glowstick with a blue glow around it
crown insertnamehere.png,InsertNameHere,crown,"Crown, a standard emoji, drawn in MS paint style. It is a shiny yellow, with three points and three red gems."
comb ts.png,TalkSense,comb,"a dark blue, long hair comb."
glowstick 3.png,Neon,glowstick,A green glowstick
cup neon.png,Neon,cup,A cartoon style drawing of a blue plastic cup
crennelation.png,M,crenellation,the top of a grey castle wall with a red arrow pointing to a crennelation.
fish food.png,Vixen,fish food,"a digital illustration of a container of fish food. The container is cylindrical with a blue lid and blue body. A label wraps around the middle, featuring an illustration of a yellow fish in a simple, cartoonish style. The lower part of the container shows a mixture of small, round food pellets in various shades of pink, brown, and beige."
dish soap 2.png,Vixen,dish soap,A tall crayon textured oblong bottle with green liquid in it with a tag showing cutlery and bubbles with a white cap
carabiner blue.png,M,carabiner,a blue carabiner.
fork mel.png,Mel,fork,a shiny silver fork with a magenta sparkle.
dish soap 3.png,Vixen,dish soap,A tall crayon textured oblong bottle with yellow liquid in it with a tag showing cutlery and bubbles with a white cap
cup pheonix 1.png,Phoenix,cup,a purple cup with a white rim is depicted with  dark line art.
form m.png,M,form,a white sheet of paper with boxes and squiggles making up a form.
dog treats.png,Vixen,dog treats,"three crayon styled dog treats First, there's a dog bone, drawn in a light brown color with a textured surface. The word 'woof' is written horizontally across the middle of the bone. Second, there's a dog paw print, also in a light brown color with a textured surface. And finally, there's a small, round, yellow treat."
cup pheonix 2.png,Phoenix,cup,a purple cup with a black rim is depicted with  light line art.
halloween candy basket.png,Vixen,Halloween candy basket,"a festive Halloween-themed pumpkin bucket filled with candy. The pumpkin has a carved jack-o'-lantern face, featuring closed, happy eyes and a broad, cheerful grin. The bucket’s handle is gray, contrasting with the bright orange pumpkin. Inside, various wrapped candies in green, pink, and white are visible."
dollop.png,Rylan,dollop,A dollop of white foam.
decoration fractals.png,Fractals,decoration,"Pastel coloured flags on a string hung in a zig zag pattern. The colours repeat in the pattern of blue, purple, orange and green."
hinge ts.png,TalkSense,hinge,An orange-ish metallic hinge.
fish tank vixen.png,Vixen,fish tank,"a digital illustration of a fish tank with an aquatic theme. The tank is filled with blue water, and there's a large, stylized gator skull decoration lying at the bottom, partially buried in the colorful substrate. Some aquatic plants add greenery, while bubbles shaped like hearts rise from the substrate. The tank's top is dark, with a grid pattern showing ventilation."
deodorant dusty.png,Dusty,deodorant,A teal stick of deodorant with a yellow label.
horseshoe m.png,M,horseshoe,"a grey horseshoe, the 'open' part facing up."
flat broom esrah.png,Esrah,flat broom,"a grey broom with green accents, and a flat brush."
djembe.png,M,djembe,A simple drawing of a warm brown djembe with black thread.
knife block 2.png,Dusty,knife block,"A drawing of a light brown knife block. There are large and small knives with black handles sticking out of it. A steak knife, a serrated knife, and a paring knife float around it."
gargoyle froggygolem.png,Froggygolem,gargoyle,a light gray stone gargoyle protrudes from the edge of a building with water dripping from its mouth.
doorbell.png,M,doorbell,"A brown wooden door, next to a large golden bell. Green lines coming from the bell indicate that it is ringing."
flat tire vixen.png,Vixen,flat tire,A lineless cartoon stylized drawing of a flat tire.
gift list fg.png,froggygolem,gift list,a purple present with a bow next to a tan piece of paper with a three item checklist in fake writing on it.
encouragement sticker.png,Neon,encouragement sticker,A gold star with 'good job' written on it in a slightly darker gold color.
folded towel blue.png,Plum,folded towel (blue),"A drawing of a folded, pale blue towel."
glow in the dark stars crows.png,Crows,glow in the dark stars,Four light teal stars with rounded points and darker teal outlines
file noun.png,M,file,"A manilla folder with two grey pieces of paper in it, and one shiny blue one sticking partly out of it. the blue file is outlined in white."
folded towel white.png,Plum,folded towel (white),"A drawing of a folded, off-white towel."
henna cone extraterrestrial.png,extraterrestrial,henna cone,"a cartoonish henna cone of the kaveri brand. It is a burgundy color, with gold writing on the wrapper. There are red, blue, and green shapes. There is a bar code on the top left of the cone."
flat tire.png,Esrah,flat tire,a black car tire that's gone flat at the base
folder plum.png,Plum,folder,A drawing of a pale yellow manilla folder with light pink and green papers inside.
hydrogen peroxide chan.png,C,hydrogen peroxide,a simple drawing of a brown hydrogen peroxide bottle with a white label.
gear gp.png,Gillipop,gear,a cartoony drawing of a gray metal gear
gift fractals.png,Fractals,gift,A green box with a shiny blue ribbon wrapped around it. It has a sticker saying who it is to and from in the left bottom corner. The name are not legible.
image.png,M,image,A landscape with a white border.
gift k9.png,K9,gift,a red box with a bow on top of it. there's a small tag on it and yellow sparkles around it.
id 1 pheonix.png,Pheonix,ID,"a light grey card with a black outline, wavy black lines across the top to indicate texts and thinner wavy lines down the right side, on the left is a grey rectangle with a black figure inside it."
knife block 3.png,Dusty,knife block,"A drawing of a light brown, empty knife block, with slots where knives would fit."
glowstick 1.png,Neon,glowstick,A blue glowstick
jar neon.png,Neon,jar,A glass jar with a gold toned mental lid.
kt tape crows 3.png,Crows,KT tape,a roll of light beige KT Tape
glowstick 4.png,Neon,glowstick,A green glowstick with a green glow around it
kt tape crows 2.png,Crows,KT tape,a roll of blue KT Tape
leash v.png,Vixen,leash,A blue crayon textured star patterned leash in a squiggly shape with a silver clip on the end
