Image URL,Credit,Caption,Alt text
ADLs.png,Esrah,ADLs,"six symbols representing toileting, cleaning, dressing, eating, grooming, and transferring. This is shown with a western toilet, a shower head and pink bar of soap, a blue tunic with white clouds and purple leggings/shorts, a person taking a bite of food from a spoon, a yellow double-sided comb, and a grey chair with a blue arrow pointing up and to the side."
brush teeth neon.png,Neon,brush teeth,a toothbrush and toothpaste next to each other with a blue arrow pointing to a singular tooth.
feeding.png,Esrah,feeding,"the lower half of a person’s face, eating food from a spoon."
grooming.png,Esrah,grooming,a double sided yellow comb/pick.
dressing.png,Esrah,dressing,"a blue tunic with clouds on it, and purple leggings/pants."
transferring.png,Esrah,transferring,a grey chair with a blue arrow pointing up and to the side.
washing.png,Esrah,washing,a shower head and a pink soap bar.
toileting.png,Esrah,toileting,a western toilet and toilet paper.
cleaning.png,Esrah,cleaning,a shower head and a pink soap bar.
cooking.png,Esrah,cooking,a frying pan with food and a spatula in it.
iADLs.png,Esrah,iADLs,"six symbols representing grocery shopping, cleaning, finances, technology use, transportation, and cooking. These are shown using a brown grocery bag with groceries in it, a mop and red bucket, a credit card and various paper/coin money, a smart phone showing text messages, a yellow public bus, and a frying pan with food and a spatula in it."
grocery shopping.png,Esrah,grocery shopping,a brown grocery bag with groceries in it.
technology.png,Esrah,technology,a smart phone showing text messages.
finances.png,Esrah,finances,a credit card and various paper/coin money.
managing medication.png,Esrah,managing medication,"an orange pill bottle, a clock, and an RX symbol."
getting dressed ee.png,Eldritch-emojis,getting dressed,a stylized yellow person putting on a desaturated light red shirt.
transportation.png,Esrah,transportation,a yellow public bus.
haircut bh 5.png,Blackholemojis,haircut,"a person’s head in profile, and a pair of scissors pointing to the hair. the hair is loosely curled and long."
dressing gg 1.png,Gleepglorpian,dressing,a yellow figure putting on a blue t-shirt.
haircut bh 3.png,Blackholemojis,haircut,"a person’s head in profile, and a pair of scissors pointing to the hair. the hair is straight and short."
haircut bh 6.png,Blackholemojis,haircut,"a person’s head in profile, and a pair of scissors pointing to the hair. the hair is straight and long."
haircut bh 1.png,Blackholemojis,haircut,"a person’s head in profile, and a pair of scissors pointing to the hair. the hair is tightly curled and short."
haircut bh 4.png,Blackholemojis,haircut,"a person’s head in profile, and a pair of scissors pointing to the hair. the hair is tightly curled and long."
put on jacket crows.png,Crows,put on jacket,A yellow person putting on a brown jacket
haircut bh 2.png,Blackholemojis,haircut,"a person’s head in profile, and a pair of scissors pointing to the hair. the hair is loosely curled and short."
put on shirt crows.png,Crows,put on shirt,A yellow person putting on a light brown shirt
put trousers on m.png,M,put trousers / pants on,a green curved arrow pointing to a dark grey pair of trousers or pants.
put shirt on m.png,M,put shirt on,a green curved arrow pointing to a blue tshirt
putting on socks crows.png,Crows,putting on socks,"Drawing of a yellow person foot, they’re putting on a red sock. There’s an arrow pointing upwards next to the sock."
take trousers off m.png,M,take trousers / pants off,a red curved arrow pointing from a dark grey pair of trousers or pants.
shave pheonix light.png,Pheonix,shave,A razor with a purple handle sits next to a hair trimmer with a blue handle. There are sparkles around them. The image has white line art.
wash face crows.png,Crows,wash face,A yellow person's hands washing their face with water
wash face neon.png,Neon,wash face,a cream bar of soap that has bubbles on it next to a blue arrow that is pointing to a cartoon face with yellow skin.
take off shirt crows.png,Crows,take off shirt,A yellow person taking off a light brown shirt
washing showering 1.png,Eldritch-emojis,washing / showering,stylized drawing of a yellow person washing their body. in the top left corner is a shower head with water droplets flowing towards them.
wash hands crows.png,Crows,wash hannds,A yellow person's hands with water running over them
take shirt off m.png,M,take shirt off,a red curved arrow pointing from a blue tshirt
dressing gg 2.png,Gleepglorpian,dressing with assistance,"a yellow figure, with an orange figure helping them put on a blue t-shirt."
washing hands bh.png,Blackholemojis,washing hands,a pair of washing hands under flowing blue water with bubbles.
wash clothes crows.png,Crows,wash clothes,A yellow person's arms hand washing a piece of clothing in a basin
shave pheonix.png,Pheonix,Shave,A razor with a purple handle sits next to a hair trimmer with a blue handle. There are sparkles around them. The image has black line art.
washing showering 2.png,Eldritch-emojis,washing / showering,"a stylized drawing of a yellow person covered in bubbles showering, in the top left corner is a shower head with water droplets flowing towards them."
/Actions/washing face.png,Eldritch-emojis,washing face,a stylized drawing of a yellow person washing their face. their hands are on each side of their face with bubbles on each cheek.
