Image URL,Credit,Caption,Alt text
/Disability/delusion.png,Petri,delusion,a featureless person next to a blue rectangle. they have a thought bubble with a pink circle in it.
/Disability/delusional.png,Petri,delusional,a featureless person next to a pink circle. they have a thought bubble with a blue rectangle in it.
delusion dusty.png,Dusty,delusion,A yellow person thinking with a pastel rainbow thought bubble.
hallucinations bh.png,Blackholemojis,hallucinations,"A person with a multicolored dashed line, wavy line, and sound waves coming at them from one side."
hallucinating bh 1.png,Blackholemojis,hallucinating,a person with a blank expression tilting their head. Their eyes have drawn spirals in them.
hallucination dusty.png,Dusty,hallucination,A yellow person pointing at a pastel rainbow cube.
delusion chrome.png,cytochrome-sea,delusion,a blue dog looking at a cyan bone. above it is a thought bubble with a magenta bone inside it
bizarre delusions ot.png,Ottertime,bizarre delusions,a yellow person looking confused and terrified. Right behind them is a dark purple clouds with purple lines that make an almost swirling pattern
/Disability/ideas of reference.png,M,ideas of reference,"An emoji yellow person with a red square on their chest is next to a blue rectangle, and has a thought bubble coming from their head showing a blue rectangle with an emoji yellow person with a red square on their chest in it."
alice in wonderland syndrome vixen.png,Vixen,Alice In Wonderland Syndrome,"an illustration of a gray rabbit with a white spiral for an eye. The background features swirling purple, blue, and teal tones. Surrounding the rabbit are three floating eyes, each with a yellow-orange center and black lashes."
Delusion_of_grandeur_1.png,Petri,delusion of grandeur,A drawing of a simplified person next to a blue box. There is a thought bubble next to them containing a yellow star.
hallucinating bh 2.png,Blackholemojis,hallucinating,a person with a blank expression tilting their head. Their eyes have drawn multicolor spirals in them.
can't say delusion dusty.png,Dusty,can't say delusion,"An upset yellow face with an X over the mouth, and a pastel rainbow thought bubble coming from them."
Auditory_hallucination_2.png,Petri,auditory hallucination,"A drawing of a simplified person with a pink question mark on their face, next to a large ear. The ear has pink emphasis lines around it"
Delusion_of_grandeur_2.png,Petri,delusion of grandeur,A drawing of a simplified person under a thought bubble. The thought bubble contains a drawing of a person with a star on their face.
delusion of grandeur chrome.png,cytochrome-sea,delusion of grandeur,a blue dog looking at a thought bubble with a number one trophy and stars in it
capgras delusion dusty.png,Dusty,Capgras delusion,"Two yellow people face each other. The one on the right is similing and holding out a hand, while the one on the left looks upset. They have a rainbow thought bubble above them with the copy symbol in it"
auditory hallucination t.png,Tonto,auditory hallucination,A partly transparent image of an ear above multicolored shapes on a rainbow background. Two rainbow spirals connect the ear to the shapes.
different reality dusty.png,Dusty,different reality,"A pastel rainbow cube in the lower left corner, with a thick line separating it from a flat line with lines around it to convey a lack of object."
clinical lycanthropy zoanthropy chrome.png,Cytochrome-sea,clinical lycanthropy/zoanthropy,a black paw print with a red caduceus on the paw pad.
contamination delusion dragon.png,Dragon,contamination delusion,"a purple cube with a miasma behind it and smudges clinging to its surface, both the miasma and the smudges are multicoloured."
/Disability/erotomania.png,Petri,erotomania,a blank person next to a pink heart with a large X over it. There is a thought bubble coming from the person with a large heart in it.
cotards.png,Blackholemojis,Cotard's,"A person pictured from behind, looking into a mirror. Their reflection has grey skin, and a stereotypical “dead” face (X’s for eyes, a flat mouth, and sticking their tongue out)."
cotard's syndrome dusty.png,Dusty,Cotard's syndrome,An upset yellow person in a rainbow coffin.
Auditory_hallucination_1.png,Petri,auditory hallucination,"A drawing of a simplified person with a brown question mark on their face, next to a large ear. The ear has brown emphasis lines around it."
double bookkeeping petri 1.png,Petri,double bookkeeping,a drawing of a plain yellow head beneath two thought bubbles. one contains a book with a green checkmark on it and the other contains a book with a red X on it. there is a large green spiral on the head.
double book keeping chrome.png,cytochrome-sea,double book keeping,a blue dog looks worried at a red book and a green book
auditory hallucination bh.png,Blackholemojis,auditory hallucination,an ear with multicolored sound waves coming at it.
double bookkeeping petri 2.png,Petri,double bookkeeping,a drawing of a plain yellow head beneath two thought bubbles. one contains a book with a green checkmark on it and the other contains a book with a red X on it.
double bookkeeping petri.png,Petri,double bookkeeping,A drawing of two open books with scribbled words
denial.png,Plum,denial,"A drawing of a yellow, featureless person holding a dark blue-grey ball bearing a sad, crying face. The person, who appears tired or mildly distressed, isn’t looking at the sad ball, and is thinking about a bright pink, smiling ball. The person is depicted very simplistically, with a pawn-shaped body and floating hands with no limbs, and no facial features other than eyes."
gustatory hallucination bh.png,Blackholemojis,gustatory hallucination,a mouth with multicolored scent waves coming at it.
external audio hallucination vixen.png,Vixen,external audio hallucination,"A siamese cat with a confused expression and a blue question mark next to the face. Behind the cat is a blue and purple cloud with music notes and yellow stars, with audio wave lines leading to the cat's ear."
gustatory taste hallucination vixen.png,Vixen,gustatory / taste hallucination,"A siamese cat with a disgusted expression on its face, eyes tightly shut and mouth stuck out with rainbow coloured saliva dripping off of it. There's a yellow exclamation mark and surprise lines around the face. Underneath the cat's face is a lime wedge and a red arrow pointing towards the tongue and saliva."
internal audio hallucination petri 1.png,Petri,internal audio hallucination,A drawing of a human brain with two dark blue music notes on it. There's a light blue question mark with dark blue lineart in the upper right corner.
gustatory hallucination chrome.png,cytochrome-sea,gustatory hallucination,"image of a blue dog tasting candy and looking grossed out, the candy turns into poison as he tastes it ."
I_get_auditory_hallucinations_but_not_visual_ones.png,Petri,I get auditory hallucinations but not visual ones.,"A drawing of an ear above a check mark, next to an eye above an X."
internal audio hallucination vixen.png,Vixen,internal audio hallucination,A siamese cat looking up at a cloud with a purple triangle on its forehead. Next to the cat is a purple triangle and a speaker volume indicator and a green arrow pointing up to the cloud with the triangle. Around the cat's face is a blue question mark and yellow surprise lines.
i am very big vixen.png,Vixen,I am very big,"A dark blue wolf that is very big compared to a tiny door, they have a red exclamation mark above their head a green arrow pointing up next to them."
olfactory hallucination t.png,Tonto,olfactory hallucination,A partly transparent image of a nose above multicolored shapes on a rainbow background. Two rainbow spirals connect the nose to the shapes.
Its_coming_and_going.png,Petri,It's coming and going,A drawing of a brain next to an up arrow and down arrow.
i am very small vixen.png,Vixen,I am very small,"A dark blue wolf that is very tiny compared to a giant door, they have a red exclamation mark above their head a green arrow pointing down next to them."
Paranoia_1.png,Petri,paranoia,"A drawing of a person with their shoulders raised, looking down and looking very distressed. They are surrounded by brown eyes which stare at them."
I have bad insight right now petri.png,Petri,I have bad insight right now.,"A drawing of a white circle above a fluffy white shape. The white circle contains a closed eye drawing in green, and the fluffy white shape contains a purple spiral. To the right of both of them is a clock, with a black arrow above it pointing downwards."
I_can_feel_my_mind_slipping.png,Petri,I can feel my mind slipping,A drawing of a melting brain.
paranoia tcc.png,TCC,paranoia,Cartoon figure with hands on head looking distressed.
I have good insight right now petri.png,Petri,I have good insight right now.,"A drawing of a green circle above a fluffy white shape. The green circle contains an open eye drawing in white, and the fluffy white shape contains a purple spiral. To the right of both of them is a clock, with a black arrow above it pointing downwards."
internal audio hallucination petri 2.png,Petri,internal audio hallucination,A drawing of a human brain with two pale green music notes on it. There's a pale green question mark with green lineart in the upper right corner.
persecutory delusion dragon.png,Dragon,persecutory delusion,"a figure wearing a black mask with their shoulders hunched and eyebrows raised in distress. They are surrounded by hands pointing at them, the hands have a multicoloured gradient to indicate that they represent a delusion."
my hands are small aiws vixen.png,Vixen,my hands are small (AIWS),"A dark blue wolf-like creature is looking down at their paws in shock with big pink eyes, their paws are tiny, they have a question mark and exclamation mark next to their head."
magical thinking dragon.png,Dragon,magical thinking,"a head wearing a white mask, above it is a thought bubble containing a wand, stars, and swirls, all with pink outlines. The interior of the thought bubble is multicoloured."
Self_aware.png,Petri,self-aware,A drawing of an eye looking down at a brain.
Olfactory_hallucination_1.png,Petri,olfactory hallucination,A drawing of two simplified people next to each other. The one on the left is holding their nose and the one on the right has a brown question mark on their head.
olfactory hallucination bh.png,Blackholemojis,olfactory hallucination,a nose with multicolored scent waves coming at it.
paranoia trigger ot.png,Ottertime,paranoia trigger,"on the bottom right corner is a distressed red person holding their arm on their elbow and on the left of them are three glaring eyes. On the top left corner is a red exclamation mark, a dark red spiral, and a orange star. Connecting the two and pointing to the person is a orange arrow.."
olfactory hallucination chrome.png,Chrome,olfactory hallucination,"a blue dog sniffing nothing, it has a thought bubble above its head with a mushroom in it"
persecutory delusion chrome.png,cytochrome-sea,persecutory delusion,a blue dog looks afraid and looks up at a thought bubble. there is a red monster in the thought bubble
psychosis bh.png,Blackholemojis,psychosis,"a brain with two speech bubbles above it. in the speech bubbles, there are a pink planet with a purple ring around it, and a green PAC man style ghost. These represent thoughts and beliefs that stem from psychosis, and aren’t generally accepted by most people."
olfactory hallucination vixen.png,Vixen,olfactory hallucination,A siamese cat with wide eyes sniffing rainbow-y fire. There is a large red exclamation mark beside its head and spiraled panic mark on the other side of the face.
paranoia ot.png,Ottertime,paranoia,"a red person crying, tense, and distressed, holding their elbow onto their left hand. Behind them are two dark figures with their faces censored."
