Image URL,Credit,Caption,Alt text
/Objects/aircon.png,Rae,aircon,an air conditioner blowing a cloud of light blue air..
Bath stellar.png,StellarSymbols,bath,A bathtub
bath talksense.png,TalkSense,bathtub,a white bathtub
bed fg.png,froggygolem,bed,a purple silhouette of the side view of a simple bed.
bed 1.png,M,bed,"A bed with a wooden headboard, green sheets and meory foam pillow, and a blue and white patchwork quilt at the base. there's a teddy bear behind the pillow"
/Objects/bed neon.png,Neon,bed,"A bed with a dark brown frame, blue blanket, and a single slightly off white pillow."
Chair stellar.png,StellarSymbols,chair,A wooden chair without arms
ceiling fan vixen.png,Vixen,ceiling fan,"A grey ceiling fan with a yellow light in the center, above the fan is a long grey rectangle representing the ceiling."
bed 2.png,M,bed,"A bed with a wooden headboard, green sheets and meory foam pillow, and a red and yellow patchwork quilt at the base. there's a teddy bear behind the pillow"
chair ts.png,TalkSense,chair,a brown wooden chair with a red seat cushion
/Objects/chair.png,Neon,chair,A wooden dining chair with a heart cutout in the back.
Bed stellar.png,StellarSymbols,bed,A wooden double bed with a desaturated blue cover
chair gp.png,Gillipop,chair,"a stylized gray symbol of a kitchen/school chair. it has realistic proportions and perspective but is unshaded, being only one shade of gray"
couch koda.png,Koda,couch,a dark down rectangular couch
/Objects/chaise lounge.png,M,chaise lounge,A blue chaise lounge.
commode talksense.png,TalkSense,commode,"a silver, green and white commode chair"
couch esrah.png,Esrah,couch,a green three-seat couch.
closet stellar.png,StellarSymbols,closet,A light brown wooden closet or wardrobe.
Desk stellar.png,StellarSymbols,desk,A simple wooden desk without a draw
curtain rae.png,Rae,curtain,"a window with large purple curtains over it, and a pink arrow pointing to the curtain"
curtain rod rae.png,Rae,curtain rod,a window with a mauve curtain rod and part of some white curtains
Door stellar.png,StellarSymbols,door,a slightly open door
door.png,Leaf,door,a slightly open brown door with a yellow handle
fridge.png,TCC-mojis,fridge,"A white refrigerator at a three-fourths angle with various items attached. On the front, there is a sticky note, a magnet, and a memo paper. On the side, a checklist is attached."
hammock moss 1.png,legless rat,hammock,a hammock with a blue outside and a bit darker blue inside with shadows along the folds. it is slanted to the right
door m.png,M,door,"a closed wooden double-door. each door is made of three wooden plants with cast iron studs, hinges and a knocker"
lamp turned off koda.png,Koda,lamp (turned off),"a beige and blue lamp. the pole portion is beige, the lamp shade is blue, and there is a grey pullchain"
hospital bed chrome.png,cytochrome-sea,hospital bed,image of a white hospital bed with a gray bed frame and guard rails
/Objects/fainting couch.png,M,fainting couch,a person dramatically flopping onto a blue chaise lounge. there are two sparkles by their head.
/Objects/office chair 1.png,M,office chair,"A black office chair with wheels, two pedals and no arms."
lampshade m.png,M,lampshade,a tilted yellow lampshade with a beaded silver pullcord
hammock moss 2.png,legless rat,hammock,a hammock with a blue outside and a bit darker blue inside with shadows along the folds.
shower chairs talksense.png,TalkSense,shower chairs,two shower chairs below a showerhead.
locker legless rat.png,legless rat,locker,"black outlines, a singular dark green locker with a lock on the right"
/Objects/office chair 2.png,M,office chair,"A blue office chair with wheels, two pedals and no arms."
window.png,Leaf,window,a slightly open blue window
/Objects/mattress rae.png,Rae,mattress,a white mattress that’s not on a bed frame.
shower stellar.png,StellarSymbols,shower,A showerhead with water droplets coming from it.
Window stellar.png,StellarSymbols,window,a 3/4 angle view of a window
side table koda.png,Koda,side table,"a dark brown square table with 2 legs showing, there’s a slightly darker drawer in the center of the table"
Stool stellar.png,StellarSymbols,stool,A simple wooden stool
yellow door rae.png,Rae,yellow door,a door that’s yellow with a black doorknob.
window seat m.png,M,window seat,a brown couch with red padding below a square window with blue curtains
Table stellar.png,StellarSymbols,table,A simple wooden table
