Image URL,Credit,Caption,Alt text
religion ot.png,Ottertime,religion,a white cloud with a blue blob under it. On those blue beams are white and light yellow beams of light.
religion crows.png,Crows,religion,"a Christian cross, a Star of David, and an aum symbol."
religion meowing.png,meowing-emojis,religion,a globe with a sparkling cloud above it
agnostic.png,M,agnostic,"a blue figure with a question mark beside them, and above them a cloud with golden rays coming from it."
ankh.png,Gleepglorpian,ankh,a golden ankh.
animism chan.png,C,animism,"a simple drawing of a tree, a rock, and some water. above each of them is a simple orange-yellow shape with a rounded top, pointed bottom, and dot eyes, representing a soul, spirit, or divine energy."
altar petri.png,Petri,altar,"a simple drawing of an open grimoire sitting on a desk, with bookmarks in its pages. around it are a pair of candles, two small crystals, and a mortar with pestle. the ‘wall’ is transparent."
deity petri.png,Petri,divinity,an emoji yellow person floating with their arms out by their sides and one of their legs crossed over the other. there’s a large halo-like yellow circle behind their head.
anti religion antitheism ot.png,Ottertime,anti religion / antitheism,a white cloud with a blue blob under it. On those blue beams are white and light yellow beams of light. Over the object is a red circle with a red diagonal dash through it.
divinity 2 petri.png,Petri,divinity,an emoji yellow person floating with their arms out by their sides and one of their legs crossed over the other. their head has yellow emphasis lines around it.
Golden Calf Ani.png,Ani,Golden Calf,A drawing of a golden silhouette of a cow
bahai.png,M,Bahá'í,"A yellow, hollow star with nine points."
fast m.png,M,fast,"A yellow figure facing to the left, extending a hand in 'no' gesture behind them. Behind them is a loaf of bread, a cup of water, and a hammer in a cog, representing food, drink, and work."
i will not censor my religion meowing.png,meowing-emojis,I will not censor my religion,A person pointing to themselves with a blue arrow pointing to an earth with a cloud and stars hanging over it. The earth is covered by a censor bar containing a hazard sign. Behind the blue arrow is a red X.
divinity 1 petri.png,Petri,deity,an emoji yellow person floating with their arms out by their sides and one of their legs crossed over the other. they’re surrounded by a yellow glow.
halo 1 neon.png,Neon,halo,A thin golden halo with gold sparkles at the top right corner and bottom left corner.
kirpan m.png,M,kirpan,a kirpan in black and silver sheath.
druze aok-aac.png,aok-aac,Druze,"a yellow emoji man from the torso up holding a druze flag (green triangle with red, yellow, blue, and white stripes). he has a black moustache and a white cap, and the druze star (in the same colors as the flag) on his chest."
i will censor my religion meowing.png,meowing-emojis,I will censor my religion,A person pointing to themselves with a blue arrow pointing to an earth with a cloud and stars hanging over it. The earth is covered by a censor bar containing a hazard sign. Behind the blue arrow is a green check mark.
mystic.png,M,mystic,"a somewhat abstrract drawing of a person with brown skin. from their head comes a starry night sky shaped like a cloud; there is one big and bright star in it. they are writing a squiggled line of red ink with a quill pen, and wear dark, long-sleeved clothing. the drawing is outlined in different, extremely pale shades."
halo 2 neon.png,Neon,halo,"A thick golden halo with a darker gold outline, it has small highlights and is glowing gold as well."
