Image URL,Credit,Caption,Alt text
relationship bh.png,blackholemojis,relationship,two clasped hands with a grey circle above them
relationship.png,M,relationship,"a red and blue chain link together, with one side of a purple heart on the left and one side of a purple heart on the right."
relationship ani.png,Ani,relationship,A simplistic drawing of two standing next to each other. The person on the left is red and the one in the right is dark purple. In between them is a dark green heart
boyfriend dusty.png,Dusty,boyfriend,"A green figure and a blue figure holding hands and smiling, with a heart between them."
aesthetic relationship bh.png,Blackholemojis,aesthetic relationship,two clasped hands with a rainbow disk above them.
aunt bh.png,Blackholemojis,aunt,"Two siblings and one’s child are linked, and one sibling is highlighted in pink."
brother.png,M,brother,A purple circle and line connected to a green line and circle.
alterous relationship bh.png,Blackholemojis,alterous relationship,"two clasped hands with a yellow, grey, pink, and red fluid shape above them."
bastard koda.png,Koda,bastard,"a dark skinned person, a lighter skinned person and in between them is a wedding ring and a red X, below them is a medium toned person w purple arrows coming out of each parent and pointing to the child."
brother vixen.png,Vixen,brother,"a small pastel blue simplified character with a light blue heart in the center they have both hands out, there is  grey figure next to it, there is a green arrow pointing to the blue figure."
brother petri 1.png,Petri,brother,"A drawing of two generic emoji yellow people standing next to each other. The person on the right has a large male symbol on their torso. Above them is a dark brown line with a line down to each of them, with another, shorter connected line above it, reminiscent of a family tree."
blood relative.png,Plum,blood relative,"Drawing of two featureless people, one yellow and one teal, standing next to each other. In between them are two linked chains with a drop of blood below."
child bh.png,Blackholemojis,child,"Parent and child are linked, and the child is outlined in green."
brother petri 2.png,Petri,brother,"A drawing of two generic emoji yellow people standing next to each other. The person on the left has a large male symbol on their torso. Above them is a dark brown line with a line down to each of them, with another, shorter connected line above it, reminiscent of a family tree."
child pheonix 3.png,Pheonix,child,A yellow figure and a blue figure sit next to each other with a Capital T shape connecting them and pointing down at a smaller green figure. The smaller purple figure has green arrows pointing at it from either side.
child pheonix 1.png,Pheonix,child,Two yellow figures sit next to each other with a Capital T shape connecting them and pointing down at a third yellow  figure. This third figure has purple arrows pointing at it from either side.
couple vixen alt.png,Vixen,couple,"On the right is a pink anthro catlike creature with the xenogender symbol made with a heart on their face, on the right is a black figure with horns with the no gender/nonbinary symbol made with a heart on its face."
chosen family.png,Plum,chosen family,"A drawing of three happy people: A teal person wearing a wrist brace, a yellow person wearing eyeglasses, and a purple person with scars on their body. They are holding hands. Above them are two linked chains and a crossed out drop of blood."
chosen family bh.png,blackholemojis,chosen family,"four people gathered under a tree, which is made up of separate tree trunks braided together into one tree."
child pheonix 2.png,Pheonix,child,A blue  figure and a red figure sit next to each other with a Capital T shape connecting them and pointing down at a smaller purple figure. The smaller purple figure has purple arrows pointing at it from either side.
couple vixen.png,Vixen,couple,"A yellow figure is on the left with anthro wolflike features, the male symbol is on their face made with a heart, next to them is a blue anthro  bunny like figure with floppy ears and the female symbol made with a heart on their face."
closed relationship ani.png,Ani,closed relationship,A simplistic drawing of a red person standing next to a purple person. In between the two people is a dark green heart surrounded by a black circle
Child Ani.png,Ani,child,two circles connected by one line which branches and leads to another circle below them. The first two circles on top are grey and the circle on the bottom is bright yellow.
dad bh m.png,"Blackholemojis, adapted by M",dad,"Parent and child linked, like in a genealogical diagram, and the parent is outlined in blue."
cousin bh.png,Blackholemojis,cousin,"There are two people whose parents are linked, and one is highlighted in green."
dads bh.png,Blackholemojis,dads,"two parents with one child, and both parents are highlighted in blue"
daughter pheonix.png,Pheonix,daughter,Two yellow figures sit next to each other with a Capital T shape connecting them and pointing down at a third yellow  figure. This third figure has pink arrows pointing at it from either side and its head is the Venus symbol.
dad vixen.png,Vixen,dad,"a dad simplified character with a lightdadpink heart in the center, it has its hand on the head of a grey figure next to it, there is a green arrow pointing to the dad figure."
