Image URL,Credit,Caption,Alt text
abuse.png,CC,abuse,"an older person with an orange shirt holds a younger person with a red shirt by their shirt. the younger person has a bruise on their face, and they're crying. the older person looks enraged, with an anger mark above their head and other hand curled into a fist. there is a warning symbol on the viewers top left."
abuse vixen.png,Vixen,abuse,"a stylized magenta heart with a bold black hand gripping it in the design, accompanied by a lightning bolt in shades of red and yellow."
abuse chrome.png,cytochrome-sea,abuse,"A simplistic yellow human figure towering over  a frightened winged border collie dog. The human stands with their hands on their hips, casting a shadow onto the dog, who sits with widened eyes with small pupils and their tail down."
abuse evan.png,Evan,abuse,A large angry yellow figure. in their shadow crouches a small yellow scared figure
abuser evan.png,Evan,abuser,A large angry yellow figure. in their shadow crouches a small grey scared figure
carceral violence chrome m.png,"cytochrome-sea, adapted by M",carceral violence,"a prison with a tilde to its left, both outlined in yellow. behind them is a spiky big red-orange shape."
abuser chrome.png,cytochrome-sea,abuser,"A simplistic yellow human figure, with a red arrow pointing to them, towering over  a frightened winged border collie dog. The human stands with their hands on their hips, casting a shadow onto the dog, who sits with widened eyes with small pupils and their tail down."
bullying sparrow.png,Rory,bullying,"person pointing another person, laughing at them."
child neglect ee.png,Eldritch-Emojis,child neglect,a small yellow child-like character reaching up to an older ball that is turned away from them. The child has a blue heart and exclamation point above them while the older ball has three circles resembling an ellipses.
bully sparrow.png,Rory,bully,person with crossed arms and grinning downwards with a soft dark shadow over face.
cocsa tonto.png,Tonto,COCSA / child on child sexual abuse,"a non graphic symbol of 2 black symbolic people , one is slightly taller & with a scribble on their face & touching the other one , who is slighly shorter . Next to them there is an 18 & an arrow pointing down , indicating they are minors ."
cult 2.png,Esrah,cult,Three people wearing matching shirts behind a picket fence with a sign on it. They have sad faces and a blue haze behind them. The sign on the fence has a yellow smiley face on it.
bullying ee.png,Eldritch-Emojis,bullying,two angry yellow faces directing red grawlixes at a sad yellow face
child abuse ee.png,Eldritch-Emojis,child abuse,a yellow ball with wrinkles yelling at another yellow ball covering their ears. theres a red circle with an x in the middle at the bottom.
designated location wolf.png,Wolf,designated location,A red location pin with a green checkmark underneath and a red exclamation point to the right.
child abuse.png,M,child abuse,"A small, blue figure curled up to protect themself, one hand covering half of their face and their visible eye wide with fear. Behind them looms a large, dark shadow shaped like a person."
cult 1.png,Esrah,cult,"A blonde white man wearing a white shirt with red cuffs and a red sweater vest stands in front of three people facing him, who have the same shirts and hair color and hair style. He raises one hand, points to it, and shouts at the people, who raise their hands as well."
