Image URL,Credit,Caption,Alt text
bald.png,M,bald,"Charles Xavier from X-Men, shown as a pale, older man in a with alopecia universalis in a suit and touching his forehead. there is a glowy yellow outline around him, and three yellow shine lines ."
beast.png,M,Beast,"Hank McCoy or 'Beast' from X-Men, shown as a middle-aged man ewith dark blue hair, fuzzy blue skin, and glasses. he is smiling, and two sharp teeth are visible. behind him is a big red X ."
hank.png,M,Hank McCoy,"Hank McCoy or 'Beast' from X-Men, shown as a middle-aged man ewith dark blue hair, fuzzy blue skin, and glasses. he is smiling, and two sharp teeth are visible. behind him is a big red X ."
magneto was right 2.png,M,Magneto was right,"Magneto from X-Men, depicted as an older man with light brown skin and wavy grey hair, frowning. to the right is a green circle with a dark green checkmark in it"
charles xavier.png,M,Charles Xavier,"Charles Xavier from X-Men, shown as a pale, older man in a with alopecia universalis in a suit and touching his forehead ."
magneto was right 1.png,M,Magneto was right,"Magneto from X-Men, depicted as an older man with light brown skin and wavy grey hair, frowning. above and to the right is a green circle with a dark green checkmark in it"
storm 1.png,M,Storm,"Ororo Munroe from X-Men, aka Storm.  She's a Black woman with glowing white eyes and very long, curly hair in an undercut that looks like a stormcloud.  She's wearing gold lightning bolt earrings, a spiked jacket with a shirt with a gold 'X' in the centre, and gold rings around the bottom half of her neck. behind her is a big red 'X'"
storm 2.png,M,Storm,"Ororo Munroe from X-Men, aka Storm.  She's a Black woman with glowing white eyes and very long, curly hair in an undercut that looks like a stormcloud.  She's wearing gold lightning bolt earrings, a spiked jacket with a shirt with a gold 'X' in the centre, and gold rings around the bottom half of her neck. behind her is a big gold 'X'"
ororo.png,M,Ororo Munroe,"Ororo Munroe from X-Men, aka Storm.  She's a Black woman with glowing white eyes and very long, curly hair in an undercut that looks like a stormcloud.  She's wearing gold lightning bolt earrings, a spiked jacket with a shirt with a gold 'X' in the centre, and gold rings around the bottom half of her neck."
professor x.png,M,Professor X,"Charles Xavier from X-Men, shown as a pale, older man in a with alopecia universalis in a suit and touching his forehead. there is a big red X behind him ."
