Image URL,Credit,Caption,Alt text
communication is for everyone sparrow.png,Rory,communication is for everyone,"left to right, 2 chat bubble with scribble text, a green camouflage case with rainbow buttons Tablet AAC, a phone AAC with black phone case and rainbow scattered buttons, communication cards pink, green, and blue with scribble text, a communication book with rainbow scattered box icons, 6 people with clothing, 1 with a cane and one in a wheelchair"
/Self-Advocacy/ableist.png,M,ableist,"person in a self-propelled manual chair, stopped by stairs. on top of the stairs is a person without any mobility aids, in a confident pose with their hands on their hips.the person without the mobility aids is benefiting from the barrier that is preventing the wheelchair user from reaching their position. a red arrow points at the person without mobility aids, on the top of the stairs. the arrow is inside the stairs, and is also pointing at the stairs themselves. this way, the picture can mean both “ableist” as a description, and “ableist” as a person who enforces and uses ableism."
aac is not ipad kids petri.png,Petri,AAC is not iPad kids,"A drawing of a blue AAC tablet and a swaddled baby, with a 'not equal' sign between them. In front of the baby is a silver iPad, and there is a speech bubble with scribbles in it coming from the AAC tablet."
Need my cane Fractals.png,Fractals,Need my cane,A grey offset handle cane with a red exclamation mark next to it.
addiction is a disability.png,M,addiction is a disability,"a simple yellow head puts a green circle in their mouth, and above them are thought bubbles with green circles in them. this represents addiction. an arrow points from the thought bubbles to a disability symbol (the disability sun symbol, in disability pride flag pattern), and above the arrow is an equals sign"
antisocial people aren't monsters ot.png,Ottertime,antisocial people aren't monsters,"on the left corner is a dark grey person with a purple inverted scale on their chest. On the right corner is a black furry creature with horns, claws, and three eyes. Between the two is a gray arrow pointing to the creature and on that arrow is a red X"
Don’t touch my cane 1 Fractals.png,Fractals,Don’t touch my cane (Variation 1),A grey offset handle cane with a yellow hand touching the cane. A red x is over where the hand touches the cane.
autism doesn't make people fascist m.png,M,autism doesn't make people fascist,"a gold infinity symbol above a fasces. in between them, a dull green arrow points from the infinity to the fasces, but is crossed out by a red 'not permitted' sign which is beside and partly on top of it."
aspergers is outdated m.png,M,Asperger's is outdated,"A black-and-white bust of Hans Asperger. Behind and to the top left of him is an hourglass with a big red X behind it. from it point two grey arrows; the first comes from the left side of the hourglass and points to the left, the second comes from the top of the hourglass and curves down to the left."
Don’t touch my cane 2 Fractals.png,Fractals,Don’t touch my cane (Variation 2),A grey offset handle cane with a yellow hand touching the cane. A red x is next to the cane.
autism is not a bad word crows.png,Crows,autism is not a bad word,"the gold infinity symbol above a ‘does not equal sign’ above a red spiky speech balloon with a dollar sign ($), exclamation point (!), number sign (#), and an asterisk (*) in it."
autism not aspergers.png,M,autism not Asperger's,A green curved arrow pointing from a gold infinityy symbol to black and white drawing of  Hans Asperger with a red x net to it.
"My AAC is not a device, it is my voice Fractals.png",Fractals,"My AAC is not a device, it is my voice",A drawing of a tablet with an AAC app open on it. Under and to the left is a not equals sign and a phone open to a phone call and a tablet open to the lock screen. To the right is an equals sign and a speech bubble with garbled text inside.
autism is not a disease crows.png,Crows,autism is not a disease,a gold infinity symbol and a simplified person who looks sick with a red ‘not equal’ sign between them
autistic isn't an insult fractals.png,Fractals,autistic isn't an insult,"A drawing of a gold infinity symbol and a speech bubble with a does not equal symbol between them. Inside the speech bubble is a hashtag, and exclamation mark, a lighting bolt and a spiral, all in red."
"My AAC is not for games, it is my voice Fractals.png",Fractals,"My AAC is not for games, it is my voice",A drawing of a tablet with an AAC app open on it. Under and to the left is a not equals sign and a grey game controller. To the right is an equals sign and a speech bubble with garbled text inside.
autism is not a super power ottertime.png,Ottertime,autism is not super power,"on the left is a red infinity sign. on the right is a yellow person wearing a blue superhero costume and a red cape, with stars coming out of their hand. Between the two is a gray equal sign, crossed over with a red diagonal dash."
/Self-Advocacy/by us for us.png,M,"by us, for us","a yellow heart in a red circle. from the left and right of the circle comes an identical arrow in shades of blue, starting from the bottom of the circle and pointing to the top of it."
able-bodied people aren't better than disabled people.png,Esrah,able-bodied people aren't better than disabled people,A red blob on a lower pedestal and a purple blob on a higher pedestal. The red blob uses a wheelchair and is outlined in bronze. The purple blob does not use a wheelchair and is outlined in yellow with sparkles around it. the whole drawing is crossed out
being autistic is not fun leo.png,Vincent,being autistic is not fun,"the autistic symbol is on the left, a red crossed out equal sign is in the middle and a grey person with ears is on the right looking happy"
disabled people don't have marriage equality m.png,M,disabled people don't have marriage equality,"a blue active wheelchair figure, with a crossed-out orange arrow pointing from them to two overlapping golden rings that have a rainbow-gradient equals sign below them."
ableism m.png,M,ableism,"person in a self-propelled manual chair, stopped by stairs. on top of the stairs is a person without any mobility aids, in a confident pose with their hands on their hips. the person without the mobility aids is benefiting from the barrier that is preventing the wheelchair user from reaching their position."
caffeine addiction is not a joke chrome.png,cytochrome-sea,caffeine addiction is not a joke,a person looking annoyed and a caffeine molecule with green lightning bolts coming off it
depressed not lazy meowing.png,meowing-emojis,depressed not lazy,"two yellow arrows pointing at a person. The left arrow is connected to an annoyed person lying down, with a red X through the arrow. The right arrow is connected to a blue semicolon"
autism and adhd are not on the same spectrum crows.png,Crows,autism and adhd are not on the same spectrum,"A double-ended arrow of the light spectrum, there’s two arrows pointing from a gold infinity symbol and orange adhd butterfly symbol to the arrow. Above them is a red X"
conspiracy theory not equal schizophrenia.png,Lady,conspiracy theory does not equal schizophrenia,"a drawing of a green triangle with an eye inside is on the top left, in the center is an equal sign with a red X over it, and in the bottom right corner is the symbol for psychosis, a double ended arrow with a symmetrical squiggle."
don't babytalk my service dog.png,Ottertime,don't babytalk my service dog,a yellow person crounching down and looking at a brown service dog wearing a vest which has a green medical cross on it aswell as a red collar.  The person has a speech bubble coming out of them that has a pink heart next to a yellow baby wrapped in a blue blanket. The dog looks uncomfortable. On top of the speech bubble on the left corner is a red X
autism is not adhd leo.png,Vincent,autism is not adhd / autism is not the same as adhd,a picture of an yellow infinity symbol on the right. a red crossed out equal mark is in the middle. a picture of a rainbow butterflyis on the right
disabilities are not superpowers ottertime.png,Ottertime,disabilities are not super powers,"on the left is the disability sun with the colors of the disability flag on it. on the right is a yellow person wearing a blue superhero costume and a red cape, with stars coming out of their hand. Between the two is a gray equal sign, crossed over with a red diagonal dash"
don't call me neurospicy tonto.png,Tonto,don't call me neurospicy,"a speech bubble with a brain & 2 chillies next to it , over the speech bubbe there is a red cross ."
Autism is not an accessory you can bring or leave behind.png,Esrah,Autism is not an accessory you can bring or leave behind,A tan suitcase with a red infinity symbol on it. Behind is a red X
disabilities don't make people evil m.png,M (adapted from StellarSymbols),disabilities don't make people evil,"the disability sun symbol, patterned with the disability pride flag, with two red horns, and a big black and white 'x' over it."
don't call me neurospicy m.png,M,don't call me neurospicy,"a stylised neurodiversity symbol (a rainbow infinity sign) over a red chili. they are in a crossed-out circle, like a 'not permitted' sign, with a white background."
being nonverbal is a long term state esrah.png,Esrah,being nonverbal is a long term state,a speech bubble crossed out with a grey X. Beside it is a clock circled by a green arrow.
disabled people don't exist to be inspirational.png,Esrah,disabled people don't exist to be inspirational,A red blob on a higher pedestal and a purple blob on a lower pedestal. The red blob uses a wheelchair and is outlined in yellow with sparkles. The purple blob does not use a wheelchair and is outlined in bronze
don't light it up blue ottertime.png,Ottertime,don't light it up blue,a blue lightbulb with a dark blue puzzle piece inside. There is a red X over the lightbulb
being semiverbal is a long term state.png,Esrah,being semiverbal is a long term state,a speech bubble crossed out with a grey dashed line. Beside it is a clock circled by a green arrow.
disabled people need plastic straws tonto.png,Tonto,disabled people need straws / plastic straws,"the disabled sun sign ; it has 2 grey hands emerging from it , they are trying to grab a yellow straw ."
don't make eye contact with my service dog.png,Ottertime,don't make eyecontact with my service dog,"a yellow person crounching down and looking at a brown service dog wearing a vest which has a green medical cross on it aswell as a red collar. The person is trying to make eye contact with the dog, as seen by the dashes leading from the person's eye to the dog's eye. The dog looks uncomfortable. On top of that dashed line is a red X"
communication is a human right ottertime.png,Ottertime,communication is a human right,"on the top left cornor is an AAC tablet, some communication cards, and a yellow person talking. The AAC tablet has a speech bubble showing a red square and green triangle, the communication cards have a blue circle and red square, and the person has a speech bubble showing a green triangle and blue circle. On the bottom right corner is the human rights symbol, which is a blue hand. Connecting both corners are green-teal arrows pointing towards the blue hand."
do not touch my cane esrah.png,Esrah,do not touch my cane,"a yellow hand reaching for the handle of a decorated cane. The hand is crossed out by a red line. The cane has a derby handle, and has cutesy stickers and keychains on it."
don't say acoustic chrome.png,cytochrome-sea,don't say acoustic,a blue dog glaring at the camera next to an acoustic guitar and a red x
depression does not equal sadness petri.png,Petri,depression does not equal sadness,"two faces with a light blue unequal sign between them. the first face looks tired, with a flat face and eyebags, and three dark blue clouds above them. the second face has closed eyes, is frowning, and has tears running down their face."
don't call my voice robotic leo.png,Vincent,don't call my voice robotic,a person speaking is on the left. In the middle is a red crossed out equal sign. On the right is a robot speaking.
don't touch my aac.png,Gleepglorpian,don't touch my AAC,"AAC on a tablet, phone, or small book or board. over it, red text says 'Dont Touch'."
depression does not equal sadness petri 2.png,Petri,depression does not equal sadness,"two faces with a dark blue unequal sign between them. the first face looks tired, with a flat face and eyebags, and three dark blue clouds above them. the second face has closed eyes, is frowning, and has tears running down their face."
don't call my voice robotic tonto.png,Tonto,don't call my voice robotic,a drawing of an AAC tablet with a speech bubble above it. Next to the AAC tablet is a cartoony robot head. A green arrow with a red “X” through it goes from the speech bubble and points down at the robot.
don't touch my aac device ee 2.png,Eldritch-Emojis,don't touch my AAC device,"a styleized drawing of a yellow person holding a blue aac device, in the top right corner a hand is  reaching to touch the device, a large red X is above the hand. the outlines are colored in darker versions of the base colors."
don't touch me or my aac.png,Blackholemojis,don't touch me or my AAC,Two hands reach towards a person holding a purple tablet AAC device. There are red X’s above each hand.
dont tell me to put my AAC away vixy.png,Vixen,dont tell me to put my AAC away,"A frustrated yellow person holding their blue aac device close to them. Coming offscreen is a speech bubble. Inside that bubble is a blue aac device over a brown box, and a purple arrow pointing from the AAC to the box. On top of the speech bubble is a red X."
Do not treat me differently because of my disability 2.png,Neon & M,do not treat me differently because of my disability,"two people in an unbalanced, unequal, pair of scales. On the left is a person with the disability sun symbol. On the right is a person without the disability sun symbol who is higher up. Around the image is a red circle with a line through it, which is a standard sign that means something must not happen"
Do not treat me differently because of my disability 1.png,Neon & M,do not treat me differently because of my disability,"two people in an unbalanced, unequal, pair of scales. On the left is a person colored with the disability pride flag. On the right is a person without the disability pride flag who is higher up. Around the image is a red circle with a line through it, which is a standard sign that means something must not happen"
don't touch my aac device ee 1.png,Eldritch-Emojis,don't touch my AAC device,"a styleized drawing of a yellow person holding a blue aac device, in the top right corner a hand is  reaching to touch the device, a large red X is above the hand. the outlines are colored in black."
everyone can stim tonto.png,Tonto,everyone can stim,"two yellow hands stimming by flapping their wrists inside a green circle , with several people’s heads around it . The people are very diverse , to represent “everyone” ."
don't pet my service dog ot.png,Ottertime,don't pet my service dog,a visibly uncomfortable brown dog wearing a red collar and a red service dog vest. it is being patted on the head by a gray paw. Over the gray paw is a red X
dont touch cane.png,Gleepglorpian,don't touch my cane,"a black walking cane with a kandi bracelet dangling from below the handle. over it, red text says 'Dont Touch'."
i am not a robot leo.png,Vincent,I am not a robot,a person is on the left. In the middle is a red crossed out equal sign. On the right is a robot.
don't treat me differently because i have schizophrenia.png,M,don't treat me differently because I'm shizophrenic,"two people in an unbalanced, unequal, pair of scales. On the left is a person with a green brain who is lower down. On the right is a person with a purple brain who is lower up. They are “standard emoji yellow”. Around the image is a red circle with a line through it, which is a standard sigh that means something must not happen."
empathy is not morality.png,M,empathy is not morality,"black lines with white shadow/cutout backgroup. two beating pink hearts connected, above a 'does not equal' sign, above a balanced pair of golden scales."
i'm not disabled because i'm fat leo.png,Vincent,I'm not disabled because I'm fat,a grey person who is bigger than average is on the left. a red equal sign with a line through it is in the middle. the disability symbol is on the right
don't touch my wheelchair ot.png,Ottertime,don't touch my wheelchair,a yellow person in a gray wheelchair looking uncomfortable. On the handle is the arm of a white person  touching the wheelchairs handle. Over the white person's hand is a red X
everyone deserves to communicate chrome.png,Chrome,everyone deserves to communicate,a red arrow points from a blue shield with a yellow star to a pink aac tablet. there are three figures with different skin tones nearby
i need my aac tonto.png,Tonto,I need my AAC,"a symbol of an emoji-yellow person holding an aac, there is a green arrow pointing at their aac, & two orange exclamation marks above the arrow ."
dont touch self propelled wheelchair.png,Gleepglorpian,don't touch my wheelchair,"a self-propelled manual wheelchair. over it, red text says 'Dont Touch'."
everyone is not on the spectrum.png,Vixen,everyone is not on the spectrum,"a yellow figure is on the left laughing, it has a speech bubble on the right with the text “everyone’s a little autistic ” on top of the whole image is a red line to show “not” or “no”"
i will not endanger myself to prove my disability 1.png,Esrah,I will not endanger myself to prove my disability,"a yellow person wearing a disability flag shirt, pointing sternly at the disability sun symbol with the disability flag overlaid, teetering on the top of a yellow caution sign. The person’s speech bubble above them has a red X."
dont touch crutches.png,Gleepglorpian,don't touch my crutches,"a pair of walking crutches. over them, red text says 'Dont Touch'."
go green for cerebal palsey vixen 2.png,Vixen,go green for cerebal palsy,"a green butterfly incorporating an awareness ribbon in its design, with the text Go Green For CP arched above and below the butterfly in green."
i will not endanger myself to prove my disability 2.png,Esrah,I will not endanger myself to prove my disability,"a person wearing a disability flag shirt, pointing sternly to a disability sun symbol with the disability flag overlaid, teetering on the top of a yellow caution sign. The speech bubble above them has a red X. The person has light brown skin, earrings, half shaved blue hair, and a nasal cannula"
