Image URL,Credit,Caption,Alt text
concept.png,M,concept,blue emphasis lines placed around a non-existent circle.
adoption leo.png,Vincent,adoption,a grey person with ears standing next to a smaller pink person with ears. the pink person has a crossed out equation symbol above their head
avatar petri 1.png,Petri,avatar,"A drawing of a wavy green blob above an emoji yellow bust of a person. Two green arrows, one on each side, point from the blob to the person."
advice 1.png,Pheonix,advice,A brown hand outlined in yellow comes from a green sleeve. Hovering above the hand is a brown speech bubble with off white squiggles inside it. The image has light line art.
age esrah.png,Esrah,age,"the same person's face pictured at different stages of life, with a blue arrow below them pointing from the young to the old versions of them. The person has tan skin and medium brown hair, and smiles."
avatar petri 2.png,Petri,avatar,"drawing of a wavy green blob above an emoji yellow bust of a person. The person has a green diamond on their head. Two green arrows, one on each side, point from the blob to the person."
advice 2.png,Pheonix,advice,A yellow hand comes from a green sleeve. Hovering above the hand is an off white speech bubble with brown squiggles inside it. The image has dark line art.
attention pheonix 1.png,Pheonix,attention,"a black circle has a yellow figure lit by a triangular stream of light standing on a brown circle. Around the figure are white lines and arrows streaming around it on either side and pointing to it from below, on the right side of the figure is a simple drawing of an eye done in white."
avatar petri 3.png,Petri,avatar,"A drawing of a wavy green blob above an emoji yellow bust of a person. The person has a green doodle of an eye on their head. Two green arrows, one on each side, point from the blob to the person."
anything pheonix.png,Pheonix,anything,a purple question mark surrounded by purple outwards arrows.
attention pheonix 2.png,Pheonix,attention,"a yellow figure sits in a triangle of light standing on a brown circle, around the figure streaming to point at it from below are black arrows and lines"
award m.png,M,award,a golden purple award ribbon
anything pheonix 1.png,Pheonix,anything,a purple question mark surrounded by purple outwards arrows. it's in front of a green square
autistic burnout vixen.png,Vixen,autistic burnout,"a pink brain with a sad/anxious expression, featuring a small frown and drooping eyes. The brain has two small, arm-like limbs extending downwards, ending in simple hand shapes. From the brain, there is a red, spiky speech bubble containing the rainbow-colored infinity symbol, often associated with autism."
basis petri.png,Petri,basis,: A drawing of a white thought bubble on top of a light blue rectangle. Two black arrows underneath the rectangle point up at it
anything fg.png,froggygolem,anything,orange question mark surrounded by lumps in shades of brown.
autopilot k9.png,K9Emote,autopilot,an emoji yellow figure looking towards the ground. beside them is a steering wheel with motion lines around it.
beige flag m.png,M,beige flag,a waving beige flag on a light grey pole.
attention m.png,M,attention,"two cartoon, emoji-like brown eyes, shaped like ovals, looking towards a turquoise shape."
bad thought.png,Ani,bad thought,A thought bubble with squiggly lines inside of it. Over the thought bubble is a drawing of bars like from a prison cell.
binary m.png,M,binary,a red rectangle and blue rectangle divided by a grey vertical line.
atypical dysphoria.png,Blackholemojis,atypical dysphoria,a person standing uncomfortably and putting one hand behind their head. Half of them is covered by a mirror which has colorful blobs reflected in it.
brand pheonix 1.png,Pheonix,brand,"a gold starburst shape representing a badge with orange accents has a purple rectangle running horizontally across the center. The center of the starburst is filled with white, and there is a blue shadow where the rectangle sits above it. Inside the rectangle there is a black scribble representing text.  The image has dark line art."
binary m high contrast.png,M,binary [high-contrast],a bright red rectangle and bright blue rectangle divided by a black vertical line.
awareness ot.png,Ottertime,awareness,a green arrow pointing down from an open eye to a green ball
brand pheonix 2.png,Pheonix,brand,"a gold starburst shape representing a badge with reddish accents has a purple rectangle running horizontally across the center. The center of the starburst is filled with black, and there is a blue shadow where the rectangle sits above it. Inside the rectangle there is a white scribble representing text.  The image has light line art."
birbsona.png,Plum,birbsona,"A yellow, featureless human and a blue, featureless anthropomorphic bird standing side by side. The bird has their right wing lifted up. A symbol reminiscent of a theatre mask is between them, with a yellow, sad human face on the left side, and a blue, happy animal face on the right side. An arrow goes from the human, through the mask, and to the bird."
backstory petri.png,Petri,backstory,A drawing of an emoji yellow person in front of a large open book. Above the book is a clock with a green arrow going counter-clockwise around it and pointing to its back.
brands fg.png,froggygolem,brands,"Several logos are visible, with one being a dark green ring around a silhouette of a coffee cup, one being bubble letters of the word 'brand' with a period at the end, a three-bump yellow m-like shape, a white kiki shape in a matching white ring, a white silhouette of a pear with a bite taken out of it, and a gray box with five sections of color going red, orange, yellow, green, and blue."
catalyst.png,Froggygolem,catalyst,An arrow points to a red circle sitting at the point on a sloping line with directional arrows pointing up the slope at the place where it gets much steeper. The space under the line is filled in green.
body dysmorphia vixen.png,Vixen,body dysmorphia,"a yellow figure with ears folded back is standing up, in front of them is what appears to be a shadow of them but way bigger, grey and distorted with a spiral on the face."
/Objects/burden.png,M,burden,a purple figure struggling to carry a heavy red weight.
core m.png,M,core,"A light yelow, column-like shape with a red double arrc both above and below it, evoking the image of an apple core. a small blue arrow points from either side to the column."
boundary ot.png,Ottertime,boundary,"a yellow person behind a grey protective fence. coming out of them is a speech bubble with a green checkmark and a red X inside, representing the person's likes and discomforts"
chain of suspicion wolf.png,Wolf,chain of suspicion,An abstract red person is in the upper left with a sweat drop near their head and a thought bubble with a blue circle and a black question mark. In the lower right is an abstract blue person with a sweat drop near their head and a thought bubble with a red circle and a black question mark. A gray chain separates them in a diagonal line.
curfew.png,Petri,curfew,"a drawing of a house, a clock, and an arrow. the house has a red roof and red door, and the arrow is green and pointing towards the house. the clock is large and shows the time as being past 10pm."
collection esrah.png,Esrah,collection,"three shelves of various objects organized by color. They are blue, green, and greenish-yellow."
circle o plum.png,Plum,circle / O,"A drawing of a thick, red, circular ring or letter “O”, which is sometimes used as a symbol for “yes”. It is outlined in very dark purple and is colored with a swirly gradient of a few slightly different shades of red"
echo.png,M,echo,"a series of light blue arcs, with a mirror image of the same arcs behind them and partially transparent."
computer virus.png,Rae,computer virus,"a whitish computer with a mouse next to it. On the screen is a blue square with a green, spiky, coronavirus-looking symbol in the center. Above the symbol is a yellow warning symbol."
/description/compliant m.png,M,compliance,"on the left, an orange octogon with a white downwards arrow; on the right, a green figure seated on a grey rectangle."
