Image URL,Credit,Caption,Alt text
age regression age dreaming chrome.png,cytochrome-sea,age regression / age dreaming,a blue dog thinking happily. a thought bubble is above its head with a red arrow pointing down and a puppy with a pacifier in its mouth
age regression.png,Tonto,age regression,"A baby bottle & a blue pacifier , next to a clock with an arrow on top of it , the arrow pointing to the right"
believe tcc.png,TCC,believe,Abstract pink figure with a speech bubble containing a star and exclamation mark
assess ts.png,TalkSense,assess,A white rectangle with a blue outline. It has two columns of boxes. A green crayon is checking some of the boxes.
autistic inertia ff 2.png,Fractals-and-Fragments,autistic inertia,a purple circle with two arrows around it. one circles it and one points right. It has a gold puzzle pieces symbol in the centre.
black and white thinking vixen.png,Vixen,black and white thinking,"a yellow wolf with big eyes and a pink nose has a light blue thought bubble, in the thought bubble is a black circle and a white circle."
assume ts.png,TalkSense,assume,A donkey in a thought bubble
black and white thinking rae.png,Rae,black and white thinking,a thought bubble with a black and white square in it
daydreaming tonto.png,Tonto,daydreaming,a thought bubble coming from a smiling figure. in thought bubble is a figure frolicking by a rainbow.
autistic inertia ff 1.png,Fractals-and-Fragments,autistic inertia,a purple circle with two arrows around it. one circles it and one points right. It has a gold infinity symbol in the centre.
crave pheonix 2.png,Pheonix,crave,"a red heart sits in the center of an off white cloud shape with a brown outline. Inside the cloud shape, radiating around the heart, are wavy red lines."
desire chrome.png,cytochrome-sea,desire,a pink heart with two red exclamation points coming off it and a rainbow arrow pointing back to the heart
compare levi.PNG,Levi,compare,"a drawing of a ven diagram, the left side is blue, the middle where the circles meet is purple, and the right side is red"
find dusty.png,Dusty,find,A green wheelchair user pointing to a red square with an exclamation point.
don't know neon.png,Neon,don't know,a cartoon style thought bubble with a crossed out light bulb in it.
conceptualize petri.png,Petri,conceptualize,"A drawing of an emoji yellow person with their hand on their chin. They are thinking a large white thought bubble, which contains a smaller light blue thought bubble."
forget gp 1.png,Gillipop,forget,"an emoji yellow face with a red ball falling out of their thought bubble and bonking them on the head, leaving a dashed line to show its path. the thought bubble has a faded version of the ball"
false memory chrome.png,cytochrome-sea,false memory,"a thought bubble coming out of the head of a blue dog. the thought bubble has a blue sky and sun in it, and a red arrow points to the thought bubble. a giant red X is over the whole thing."
crave pheonix 1.png,Pheonix,crave,a red heart sits in the center of a dark purple cloud shape with an off white outline  inside the cloud shape radiating around the heart are wavy light red lines.
forget gp 2.png,Gillipop,forget,"an emoji yellow face with a red ball falling out of their thought bubble and bonking them on the head, leaving a dashed line to show its path and the thought bubble empty"
fantasy creature's creations.png,Creature's creations,fantasy,"a person with closed  eyes, a hand to the left side of their face, and a thought bubble to the right of them with a princess and a unicorn"
disorganized thinking chrome.png,cytochrome-sea,disorganized thinking,"a blue dog looks up at a thought bubble. inside the thought bubble, an arrow travels from point a and swirls around, missing point b. it lands on point z"
identify freddy.png,Freddy,identify,a smiling yellow figure holding their hands below a red heart on their chest. rainbow lines come from around them
fascinate plum.png,Plum,fascinate,"A drawing of a yellow emoji face staring with wide, starry eyes at the orange five-pointed star they’re holding. The star glows orange."
find mikey.png,Mikey,find,An emoji yellow figure looking in a draw that has several shapes in it.
