Image URL,Credit,Caption,Alt text
empathy petri.png,Petri,empathy,two featureless people looking at each other. the person on the left has their hand on the other person’s shoulder. there are purple ovals in their heads that are connected with a straight line.
hyper empathy bh.png,Blackholemojis,hyper empathy,"a symbol of two yellow silhouettes. The one on the left has a purple blob on their chest to represent emotion, and the one on the right has the same purple blob, but it’s bigger and they have little purple emphasis marks around their head"
low empathy chrome.png,cytochrome-sea,low empathy,image of a face wearing a sad blue mask with a rainbow arrow to a blue sad face. in the middle is a thermometer with the temperature low
im apathetic towards negative emotions.png,Ottertime,apathetic towards negative emotions,"a grey figure with a blank, almost bored face. Coming from offscreen is a white rectangular speech bubbles with three red faces inside, one worried, one angry, and one distressed and crying"
moderate empathy chrome.png,cytochrome-sea,moderate empathy,image of a face wearing a sad blue mask with a rainbow arrow to a blue sad face. in the middle is a thermometer with the temperature mid range
High Sympathy Chrome.png,cytochrome-sea,High Sympathy,image of a yellow figure comforting a sad blue figure. next to it is a thermometer with a high temperature
high empathy chrome.png,cytochrome-sea,high empathy,image of a face wearing a sad blue mask with a rainbow arrow to a blue sad face. in the middle is a thermometer with the temperature high
low empathy petri.png,Petri,low empathy,"A drawing of two emoji yellow people depicted from the chest up. The one on the left has their hand on the other's shoulder. The person on the left has a dark purple circle in their head, and the person on the right has a light purple circle on theirs. Between the two circles is a very wavy line connecting them in a gradient from dark purple to light purple"
low empathy bh.png,Blackholemojis,low empathy,"a symbol of two yellow silhouettes. The one on the left has a purple blob on their chest to represent emotion, and the one on the right has an outline of a purple blob"
moderate sympathy chrome.png,cytochrome-sea,Moderate Sympathy,image of a yellow figure comforting a sad blue figure. next to it is a thermometer with a moderate temperature
Low sympathy chrome.png,cytochrome-sea,low sympathy,image of a yellow figure comforting a sad blue figure. next to it is a thermometer with a low temperature
low empathy episode chrome.png,cytochrome-sea,low empathy episode,image of a face wearing a sad blue mask with a rainbow arrow to a blue sad face. in the middle is a thermometer with the temperature very low. next to it is a clock with a section highlighted
high empathy episode chrome.png,cytochrome-sea,high empathy episode,image of a face wearing a sad blue mask with a rainbow arrow to a blue sad face. in the middle is a thermometer with the temperature high. next to it is a clock with a section highlighted
moderate empathy episode chrome.png,cytochrome-sea,moderate empathy episode,image of a face wearing a sad blue mask with a rainbow arrow to a blue sad face. in the middle is a thermometer with the temrpaete mid range. next to it is a clock with a section highlighted
/Feelings/noEmpathy.png,Midi,no empathy,a sad orange figure with emotion waves bouncing off a neutral green figure
high empathy bh.png,Blackholemojis,high empathy,"a symbol of two yellow silhouettes. The one on the left has a purple blob on their chest to represent emotion, and the one on the right has the exact same purple blob"
no empathy petri.png,Petri,no empathy,two featureless people looking at each other. the person on the left has their hand on the other person’s shoulder. there are purple ovals in their heads that are connected with a straight line. there is a red X over the image
no empathy bh.png,Blackholemojis,no empathy,"a symbol of two yellow silhouettes. The one on the left has a purple blob on their chest to represent emotion, and the one on the right has no purple blob"
no empathy petri 2.png,Petri,no empathy,"A drawing of two emoji yellow people depicted from the chest up. The one on the left has their hand on the other's shoulder. The person on the left has a red circle in their head, and the person on the right has a light purple circle on theirs"
