Image URL,Credit,Caption,Alt text
food ee.png,Eldritch-Emojis,food,stylized drawing of a spoon and fork crossed
food meal gp.png,Gillipop,food / meal,a fork and knife with a plate.
dinner gp.png,Gillipop,dinner,a fork and knife with a plate of plain macaroni. in the background is a new moon rising behind a hill.
breakfast gp.png,Gillipop,breakfast,a fork and knife with a plate with a slice of buttered toast. in the background is a sun rising behind a hill.
lunch gp.png,Gillipop,lunch,"a fork and knife with a plate with two dino nuggets, one regular nugget and a bowl of ketchup. in the background is a sun."
dessert gp.png,Gillipop,dessert,a fork and knife with a plate of three chocolate chip cookies. in the background is a new moon.
snack gp.png,Gillipop,snack,a red chip bag with green gibberish text. In the background is a sun behind a gray cloud.
apple jam vixen.png,Vixen,apple jam,a translucent glass jam jar with a yellow lid. it has a white label with a apple slice on it and is filled with dark yellow apple jam
apero sausage rae.png,Rae,apero sausage,three overlapping slices of circle shaped red sausage with light pink spots
alphabet soup vixen.png,Vixen,alphabet soup,a can of soup with a green label. The label contains tan letters  arranged in a seemingly random order.  The can is grey.
applesauce.png,Rover,applesauce,"a jar with a red checkered fabric lid, a slice of apple on the front as a label, and a cloudy light brown inside the jar."
apple strudel ts.png,TalkSense,apple strudel,a roll of apple strudel.
apples and honey.png,M,apples and honey,"a pot of honey with a drizzler in it. behind it is a red apple, and in front of it are two pieces of cut apple."
applesauce pouch koda.png,Koda,applesauce pouch,"a light green rectangle shaped pouch there is slightly darker green indication marks around the edges of the pouch, the lid is in the shape of two leaves, on the front of the pouch is a white circle with a green apple in it. above the circle says “apple” in brown, under the circle says “sauce” in brown"
Babaghanoush1.png,Kit,babaghanoush,"a red bowl with babaghanoush, with olive oil on top"
Babaghanoush2.png,Kit,babaghanoush,"a red bowl with babaghanoush, without olive oil on top"
baguette m.png,M,baguette,a baguette leaning to the left.
baking soda.png,Vixen,baking soda,"an orange crayon textured box with a white label, on the white label there's a red circle and a hammer mimicking an 'arm and hammer' logo."
blt gillipop.png,Gillipop,BLT,"a sandwich with all the ingredients floating separate so you can see them better: two pieces of bacon, one slice of lettuce and a slice of tomato"
banana bread.png,Neon,banana bread,a loaf of bread with one slice cut off and a banana in front of it.
banana yoghurt neon gilli.png,Neon & Gillipop,banana yoghurt,a light yellow cup of yogurt labeled as such with a banana graphic on the side.
bok choy.png,M,bok choy,A piece of bok choy.
bánh mì thịt.png,Plum,bánh mì thịt,"A drawing of a bánh mì thịt. It is a sandwich made of a bánh mí - baguette - with meat, carrots, and cilantro on top."
breakfast k9.png,K9,breakfast,"a bowl with brightly colored cereal and a spoon in it, and with a strawberry and blueberry to the side of the bowl."
broccoli chan.png,C,broccoli,a simple drawing of broccoli. the stem is lighter green than the florets.
bratwurst m.png,M,bratwurst,"A bratwurst, drawn with brown outline."
caffeine.png,Ani,caffeine (chemical make up),a dark blue diagram of the chemical make up of caffeine. It is made up of lines and various letters and numerals.
broccoli rae.png,Rae,broccoli,symbol of some green broccoli
Butter On Bread Budget.png,Bear,butter on bread,"A simple paint like drawing of a slice of bread, a dirty, pale cream color with a darker outline. A light butter like color is over the main part of the bread."
bacon.png,Rae,bacon,"two wiggly, medium reddish pink strips of bacon"
brown rice rc.png,Bear,brown rice,A lineless drawing of brown rice in a blue bowl.
Butter on Toast Budget.png,Bear,butter on toast,"A simple paint like drawing of a slice of toast, a slightly dark tinted brown fading towards a dirty, pale cream color with a darker outline. A light butter like color is over the main part of the toast."
black and white cookie.png,froggygolem,black and white cookie,"Two circular cookies, overlapping. Each is half dark brown and half white on top and sand colored on the thin edge. A few crumbs sit to the side."
burger.png,Gleepglorpian,burger,"A drawing of a burger; it contains tomatoes, cheese, patty, and lettuce within a plain tan bun."
candy.png,Kipstarr,candy,several pieces of candy.
brown egg budget.png,Bear,brown egg,a brown oval that tapers upwards and has a subtle highlight & shadow
