Image URL,Credit,Caption,Alt text
alice wong.png,M,Alice Wong,"A portrait of Alice Wong, the founder of the Disability Visibility Project. She is an Asian-American woman with a trache wearing a tiger sweatshirt."
francis galton m 2.png,M,Francis Galton,"A greyscale bust-length portrait of Francis Galton, the 'father of eugenics,' who is a white man with a bald top and sideburns wearing a suit."
hozier m.png,M,Andrew Hozier-Byrne,"A pencil-style portrait of the head and neck of the Irish singer-songwriter Andrew Hozier-Byrne, who is also known by the mononym 'Hozier'. He has pale skin, long curly brown hair, and a brown beard. There is a yellow and green outline around the drawing."
Fiona Kumari Campbell m.png,M,Fiona Kumari Campbell,"A portrait of the scholar-activist Fiona Kumari Campbell.  She is a person with short hair, pale skin, and a round face, and is shown wearing green and orange clothing and glasses."
gerard way chrome.png,cytochrome-sea,Gerard Way,"image of three cheers era gerard way, he has dark straight hair , light skin and red under eye shadow."
kendrick lamar m.png,M,Kendrick Lamar,"Kendrick Lamar, shown as a head and neck with closed eyes, leaning backwards, a silver crown of thorns balanced on his brow. He is a Black man with a beard, shown with a white t-shirt and short hair."
francis galton m 1.png,M,Francis Galton,"A color bust-length portrait of Francis Galton, the 'father of eugenics,' who is a white man with a bald top and grey sideburns wearing a brown suit."
hans asperger.png,M,Hans Asperger,"a bust, black and white portrait of Hans Asperger. he is looking to the left with a stern expression."
LLPSS.png,M,Leah Lakshmi Piepzna-Samarasinha,"Leah Lakshmi Piepzna-Samarasinha, the disability justice activist. They have brown skin and curly teal hair in an undercut, and are wearing glasses and magenta lipstick. They look thoughtfully at the camera, one hand propping up their chin."
mel baggs m.png,M,Mel Baggs,"A bust-length portrait of disabled advocate and writer Mel Baggs, drawn with thick black outlines. Sie has pale skin and dark hair, hir mouth slightly open. Sie is wearing a brown hat, a blue shirt, a green jacket, and necklaces."
judy heumann.png,M,Judy Heumann,"Judy Heumann, known as the mother of disability rights, speaking at the 504 protests in 1977. She has pale skin, short brown hair and glasses, and is speaking into a microphone. She wears a yellow shirt, blue jacket, and a badge that says 'sign 504'."
leonard cohen m.png,M,Leonard Cohen,"A black and white shoulders-up portrait of Leonard Cohen, the singer-songwriter, poet, and author. He is wearing a suit and a hat and has a neutral expression."
marcus aurelius m.png,M,Marcus Aurelius,A mostly-greyscale bust of Marcus Aurelius.
laura hershey m.png,M,Laura Hershey,"A portrait of the head and shoulders of the Disabled poet, journalist and activist Laura Hershey. Laura has pale skin, short brown hair, and a high-flow nasal cannula. She is smiling, wearing a dark purple top and a necklace, and the headrest of her wheelchair is visible behind her.  She has one earring, and wears glasses."
ivar lovaas m.png,M,Ole Ivar Lovaas,A shoulders-up portrait of behavourist Ole Ivar Lovaas. He is smiling.
pope leo xiv.png,M,Pope Leo XIV,"A portrait of Pope Leo XIV, based on his first public appearance. he is a waving, smiling man with glasses, short silver hair, and light brown skin. he is wearing white, red and gold vestments."
nikol pashinyan koda.png,Koda,Nikol Pashinyan,a cartoony drawing of Nikol Pashinyan wearing a blue suit and red tie
pope francis m.png,M,Pope Francis,"A drawing of Pope Francis, smiling and sitting in his wheelchair. He is partly turned to one side."
stephen hawking m.png,M,Stephen Hawking,"A portrait of the theoretical physicist Stephen Hawking.  He is a white man with glasses in a powerchair, wearing a suit. The powerchair has an AAC device attached to it on a mount."
stacey park milbern m.png,M,Stacey Park Milbern,"A bust-length portrait of disabled activist Stacey Park Milbern, drawn with thick black outlines. She is a Korean and white woman with short hair, glrasses and a trache in a wheelchair. She is smiling, wearing a black shirt. There are red and pink hibiscus flowers behind her."
stella young m.png,M,Stella Young,"A portrait of disabled activist, journalist and comedian Stella Young, drawn with thick black outlines. She is posing in her wheelchair and smiling - she is wearing mostly black but with red polka-dot shoes."
Volodymyr Zelenskyy koda.png,Koda,Volodymyr Zelenskyy,Volodymyr Zelenskyy wearing a dark green sweater and a dark grey / black shirt underneath
