Image URL,Credit,Caption,Alt text
christianity ee.png,Eldritch-Emojis,Christianity,an emoji of an orange cross with a warm brown outline.
arab christian koda.png,Koda,Arab Christian,"a person with the flag of arab league as their skin, with the symbol in their tummy. ontop of that is a grey cross to represent christianity"
adoration meowing.png,meowing,adoration,A person kneeling to the right of a white table with a Monstrance on top.
advent.png,M,Advent,a golden five-pointed star on a purple backdrop.
ascension.png,M,Ascension,a yellow up arrow on a white backdrop.
advent wreath m.png,M,advent wreath,"a green wreath with five candles in it. three are purple, one is pink, and the central one is white and unlit."
alb.png,M,alb,"a white alb, a long liturgical garment like a dress."
cardinal meowing.png,meowing-emojis,cardinal,"the crossed keys of Roman Catholicism; to the right is a yellow figure, wearing cardinal's choir dress and a gold pectoral cross."
agnus dei.png,M,Agnus Dei,"a lamb with a halo lying down, holding a white flag with a red cross on it with its front legs."
archbishop meowing.png,meowing-emojis,archbishop,"the crossed keys of Roman Catholicism; to the right is a yellow figure, wearing a black cassock, pellegrina and zucchetto, a red fascia, and a silver pectoral cross."
christianity is not evil wolf.png,Wolf,Christianity is not evil,"A brown cross and a purple circle with horns and a pointed tail, representing a demon, with a does not equal sign between them."
bishop meowing.png,meowing-emojis,bishop,"the crossed keys of Roman Catholicism; to the right is a yellow figure, wearing a cassock alb and zucchetto, a scarlet pellegrina, and a silver pectoral cross."
cassock.png,M,cassock,a black cassock with a clerical collar.
christmas.png,M,Christmas,a manger with hay in it on a white backdrop.
catholic.png,M,Catholic,"The Catholic emblem of the 'keys of Saint Peter,' a gold and silver key crossed over each other, bound by red thread, with the papal crown placed above them."
gg cross.png,Gleepglorpian,cross,a golden Christian cross.
consubstantiation m.png,M,consubstantiation,"a loaf of bread and chalice of red wine, and a brown forearm with a pierced hand and a big drop of blood. there's an equals sign between the bread and wine and the arm and blood."
cincture.png,M,cincture,"a white cinture, a woven rope with a tassel on either end. It is tied loosely for storage."
eucharist 1 m.png,M,eucharist,"a silver chalice with a large communion wafer dipped in it, stained partly red from the wine in the chalice."
crown of thorns wolf.png,Wolf,crown of thorns,a crown of thorns with four drops of blood coming from it.
the christian left ot.png,Ottertime,the Christian left,a brown cross. Below that is a sky blue-indigo gradient arrow pointing to the left
deacon meowing.png,meowing-emojis,deacon,"the crossed keys of Roman Catholicism; to the right is a yellow figure, wearing a white alb or dalmatic and diagonal yellow stole."
easter.png,M,Easter,an egg with an empty tomb inside it on a white backdrop.
epiphany.png,M,Epiphany,a golden four-pointed star on a white backdrop.
franciscan 3.png,M,Franciscan monk,"a person with light skin and a dark tonsure wearing a dark brown robe tied with white rope at the waist, sandals, and a tau pendant."
ex christian.png,Rae,ex-Christian,"a dark blue Bible with a big gap in it, as though it’s been ripped in half."
eucharist 2 m.png,M,eucharist,"a silver chalice with a large communion wafer dipped in it, stained partly red from the wine in the chalice. there are golden lines emmanating from it."
fumata blanca m.png,M,fumata blanca,white smoke billowing from a thin chimneystack topped with a bowl shape. at the bottom of the chimneystack are three red zuchetta (cardinal hats).
franciscan 1.png,M,Franciscan monk,"a person with brown skin and a dark tonsure wearing a dark brown robe tied with white rope at the waist, sandals, and a tau pendant."
franciscan 2.png,M,Franciscan monk,"a person with dark brown skin and a dark tonsure wearing a dark brown robe tied with white rope at the waist, sandals, and a tau pendant."
good friday.png,M,Good Friday,a thin red cross on a black backdrop.
fumata negra m.png,M,fumata negra,black smoke billowing from a thin chimneystack topped with a bowl shape. at the bottom of the chimneystack are three red zuchetta (cardinal hats).
fundamentalist christianity.png,Esrah,fundamentalist Christianity,A wooden gavel positioned over a red Bible with a cross on the front.
holy week m.png,M,Holy Week,"a horizonal rectangle divided into seven sections, representing the day of the week. the first four are purple, the liturgical color of the season of Lent. the fifth and sixth are black, the liturgical colorof Good Friday and Holy Saturday.  the seventh is white, the liturgical color of the season of Easter. abvoe the first rectangle is a palm representing Palm Sunday. above the fourth is a wooden cup and a piece of bread representing Maundy Thursday. above the fifth is a cross representing Good Friday. above the seventh is the left side of an open empty stone tomb with rays of gold light around it, representing Easter Sunday."
halo.png,M,halo,a golden circle with the clear space of a smaller circle inside.
god trinity wolf.png,Wolf,God / Trinity,large brown outline of a triangle. At the topmost point is a golden crown. At the lower left point is a crown of thorns with four drops of blood. At the lower right point is an abstract shape vaguely resembling a swirl of steam.
is baptised koda.png,Koda,is baptised,"a grey dotted line in the shape of an oval. to the right of it is a blue oval with dark blue zigzag lines in the middle, there’s yellow spikes around the oval. under the oval is a green arrow pointing down."
holding cross.png,Gleepglorpian,holding a cross,an emoji yellow person with closed eyes holding a golden Christian cross.
jesus.png,M,Jesus,"a man with light brown skin, dark eyes, and black, curly hair and beard smiling. He is holding a shepherd's staff. There is a sliver of yellow halo visible behind him, and a small red heart on his brown tunic."
jesuit m.png,M,Jesuit / Society of Jesus,"the emblem of the Society of Jesus (Jesuit order), drawn with a thin black outline. It is a disc of sun rays with three red nails and the red text 'IHS' combined with a cross inside the disk."
holy spirit ghost m.png,M,Holy Spirit / Holy Ghost,"a symbol of a dove, viewed from above and flying downwards. it has a golden halo, and a shape like three golden circles around it."
lent.png,M,Lent,a palm leaf and a grey cross on a purple backdrop.
jesus koda.png,Koda,Jesus,a tan / brown man with long brown hair and a long brown beard.
jesus isn't white koda.png,Koda,Jesus isn't white,"a tan / brown man with long brown hair and a long brown beard, next to him on his right is 3 circles, one is white, one is a light peachy tone, and one is a light olive tone, below the circles is a blue arrow coming from jesus pointing to the circles, and below the arrow is a big red X"
monstrance meowing.png,meowing,monstrance,A glass and gold monstrance.
