Image URL,Credit,Caption,Alt text
cake.png,Vixen,Minecraft-styled cake,"A drawn, Minecraft-inspired cake is depicted. It has a brown base, topped with a layer of white frosting that drips down the sides. Scattered across the frosting are six bright red cherries and three small white swirls. The overall appearance is simple yet charming, with a crayon drawn style."
cake 0.png,Vixen,Minecraft-styled cake with number 0,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. A white number '0' candle is placed on top of the cake."
cake 1.png,Vixen,Minecraft-styled cake with number 1,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. A red number '1' candle is placed on top of the cake."
cake 2.png,Vixen,Minecraft-styled cake with number 2,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. An orange number '2' candle is placed on top of the cake."
cake 3.png,Vixen,Minecraft-styled cake with number 3,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. A yellow number '3' candle is placed on top of the cake."
cake 4.png,Vixen,Minecraft-styled cake with number 4,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. A green number '4' candle is placed on top of the cake."
cake 5.png,Vixen,Minecraft-styled cake with number 5,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. A blue number '5' candle is placed on top of the cake."
cake 6.png,Vixen,Minecraft-styled cake with number 6,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. A purple number '6' candle is placed on top of the cake."
cake 7.png,Vixen,Minecraft-styled cake with number 7,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. A magenta number '1' candle is placed on top of the cake."
cake 8.png,Vixen,Minecraft-styled cake with number 8,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. A pink number '8' candle is placed on top of the cake."
cake 9.png,Vixen,Minecraft-styled cake with number 9,"A drawn cake, inspired by Minecraft, is depicted. It has a brown base, topped with white frosting that drips down the sides. Scattered across the frosting are red cherries and small white swirls. A black number '9' candle is placed on top of the cake."
