Image URL,Credit,Caption,Alt text
a sp.png,M,a,"the sitelen pona glyph for the toki pona word 'a,' which looks like an exclamation mark with an 'a' at the bottom, colored in yellow."
akesi.png,M,akesi,"the sitelen pona glyph for the toki pona word 'akesi,' which looks like an oval with three horizonal lines through it and two dots above it, colored in green."
ala.png,M,ala,"the sitelen pona glyph for the toki pona word 'ala,' which looks like an 'x,' colored in black."
alasa.png,M,alasa,"the sitelen pona glyph for the toki pona word 'alasa,' which looks like a bow and arrow, colored in green."
ale.png,M,ale,"the sitelen pona glyph for the toki pona word 'ale,' which looks like an infinity symbol, colored in yellow."
anpa dave.png,The Five (+) Guys Collective,anpa,"the sitelen pona glyph for the toki pona word 'anpa,' which looks like a circle below a square 'u', colored in brown."
anu dave.png,The Five (+) Guys Collective,anu,"the sitelen pona glyph for the toki pona word 'anu,' which looks like a Y, colored in silver."
awen dave.png,The Five (+) Guys Collective,awen,"the sitelen pona glyph for the toki pona word 'awen,' which looks like a greek letter aleph, colored in orange."
en dave.png,The Five (+) Guys Collective,en,"the sitelen pona glyph for the toki pona word 'en,' which looks like a plus sign, colored in red."
esun dave.png,The Five (+) Guys Collective,esun,"the sitelen pona glyph for the toki pona word 'esun,' which looks like a curling line with two loops, colored in lime green."
e dave.png,The Five (+) Guys Collective,e,"the sitelen pona glyph for the toki pona word 'e,' which looks like two sideways 'v's pointing towards the right, colored in yellow."
jaki dave.png,The Five (+) Guys Collective,jaki,"the sitelen pona glyph for the toki pona word 'jaki,' which looks like a scribble, colored in dirty brown."
ijo dave.png,The Five (+) Guys Collective,iko,"the sitelen pona glyph for the toki pona word 'ijo,' which looks like a circle, colored in light pink."
mi dave.png,The Five (+) Guys Collective,mi,"the sitelen pona glyph for the toki pona word 'mi,' which looks like a backwards 9, colored in purple."
jan dave.png,The Five (+) Guys Collective,jan,"the sitelen pona glyph for the toki pona word 'jan,' which looks like a person, colored in light blue."
jelo smolmoss.png,Smolmoss,jelo,"the sitelen pona glyph for the toki pona word 'jelo,' which looks like a triangle with a site on top, colored in orangeish pink."
mije dave.png,The Five (+) Guys Collective,mije,"the sitelen pona glyph for the toki pona word 'mije,' which looks like a head and square shoulder, colored in mint."
kule smolmoss.png,Smolmoss,kule,"the sitelen pona glyph for the toki pona word 'kule,' which looks like a triangle with a horizontal line through it, colored in a rainbow gradient."
loje smolmoss.png,Smolmoss,loje,"the sitelen pona glyph for the toki pona word 'loje,' which looks like a triangle with a bowl on top, colored in pinkish red."
nasa.png,M,nasa,"the sitelen pona glyph for the toki pona word 'nasa,' which looks like a spiral, colored in purple."
laso smolmoss.png,Smolmoss,laso,"the sitelen pona glyph for 'laso,' a triangle with a sprout shape coming out of it, colored in a gradient of greens and blues."
poka dave.png,The Five (+) Guys Collective,poka,"the sitelen pona glyph for the toki pona word 'poka,' which looks like a sideqays square bracket with a circle to the right of it, colored in blue."
pimeja smolmoss.png,Smolmoss,pimeja,"the sitelen pona glyph for the toki pona word 'pimeja,' which looks like an x within a triangle, colored in dark blue."
/Colours/laso.png,M,laso,"the sitelen pona glyph for 'laso,' a triangle with a sprout shape coming out of it, colored in a gradient of greens and blues."
toki dave.png,The Five (+) Guys Collective,toki,"the sitelen pona glyph for the toki pona word 'toki,' which looks like three vertical lines above a circle, colored in red."
tomo dave.png,The Five (+) Guys Collective,tomo,"the sitelen pona glyph for the toki pona word 'tomo,' which looks like the shape of a building, colored in brown."
ni dave.png,The Five (+) Guys Collective,ni,"the sitelen pona glyph for the toki pona word 'ni,' which looks like an upwards arrow, colored in light blue."
wan dave.png,The Five (+) Guys Collective,wan,"the sitelen pona glyph for the toki pona word 'wan,' which looks like a numeral '1'."
seli dave.png,The Five (+) Guys Collective,seli,"the sitelen pona glyph for the toki pona word 'seli,' which looks like an exclamation mark with three lines, colored in orange."
seme dave.png,The Five (+) Guys Collective,seme,"the sitelen pona glyph for the toki pona word 'seme,' which looks like a question mark, colored in dark blue."
waso dave.png,The Five (+) Guys Collective,waso,"the sitelen pona glyph for the toki pona word 'waso,' which looks like a stylised nose or beak and eyes, colored in lime green."
utala dave.png,The Five (+) Guys Collective,utala,"the sitelen pona glyph for the toki pona word 'utala,' which looks like two crossed checkmarks, one reverse."
soweli dave.png,The Five (+) Guys Collective,soweli,"the sitelen pona glyph for the toki pona word 'soweli,' which looks like a creature with two eyes and four legs, colored in brown."
wawa dave.png,The Five (+) Guys Collective,wawa,"the sitelen pona glyph for the toki pona word 'wawa,' which looks like a person with their arms raised, colored in orange."
walo smolmoss.png,Smolmoss,walo,"the sitelen pona glyph for the toki pona word 'walo,' which looks like a triangle with two angled lines coming from it."
uta dave.png,The Five (+) Guys Collective,uta,"the sitelen pona glyph for the toki pona word 'wan,' which looks like a half-circle with a dot below, colored in red."
weka dave.png,The Five (+) Guys Collective,weka,"the sitelen pona glyph for the toki pona word 'weka,' which looks like four diagonal lines pointing inwards, colored in grey."
wile dave.png,The Five (+) Guys Collective,wile,"the sitelen pona glyph for the toki pona word 'wile,' which looks like a lowercase 'w', colored in light blue."
