Image URL,Credit,Caption,Alt text
continent rae.png,Rae,continent,an earth like planet with a large green landmass circled
/HR INR/acadia.png,froggygolem,Acadia,A dark green filled outline of the general area where the Acadian ethnicity developed.
alberta koda.png,Koda,Alberta,"A land mass matching the shape of the province alberta with a black outline and the interior matching the alberta flag: a blue background, and in the middle is a banner like shape. from top to bottom inside the banner: white rectangle with a red cross, grey mountains, green hills, grey rectangle with small patches of green, yellow triangle with what looks like wheat but simplified into just lines"
afghanistan neon.png,Neon,Afghanistan,"The shape of the country of Afghanistan in the colors of the nation's flag, which are in order of left to right: black, red, green. In the center of the symbol is the circular white national insignia, which depicts a building surrounded by sheaves of grain."
alabama koda.png,Koda,Alabama,A land mass matching the shape of the state alabama with a black outline and the interior matching the alabama flag: white with a red X on top.
andorra rae.png,Rae,Andorra,"the outline of Andorra. Filled in with royal blue, gold, and red. With the Andorran coat of arms in the middle"
africa m 1.png,M,Africa,A drawing of the continent of Africa.
angola rae.png,Rae,Angola,"the outline of Angola, half red and half black, with a gold emblem in the middle"
austria pandora's box.png,pandora's-box,Austria,"The shape of the country of Austria colored in three stripes from top to bottom red, white, and red. In the center is a large black bird with a shield in the same colors as the country."
africa m 2.png,M,Africa,"A drawing of the continent of Africa, coloured light hazel green."
armenia koda.png,Koda,Armenia,"A land mass matching the shape of Armenia with a black outline and the interior matching the Armenian flag: 3 stripes, red, blue, then yellow."
australia comet 1.png,Comet,Australia,"a green shape of the country of australia, with the australian flag. the commonwealth star on the flag is depicted as larger"
/Places/Aotearoa.png,M,Aotearoa / New Zealand,"the outline of Aotearoa, also known as 'New Zealand,' coloured in green, with a long white cloud on the right of it. It partially covers the land, and is somewhat transparent where they overlap. Aotearoa is literally the 'land of the long white cloud'."
azerbaijan rae.png,Rae,Azerbaijan,"Azerbaijan, filled in with blue red and green. There’s a white crescent and star in the middle."
australia comet 2.png,Comet,Australia,"a green shape of the country of australia, with the australian flag."
antartica m.png,M,Antartica,"shape of Antartica, colored in white."
barbados rae.png,Rae,Barbados,a blobby blue and yellow island with a black trident shape
belarus rae.png,Rae,Belarus,a green and red country with a white side bar that has red diamonds on it
/Places/bahamas midi.png,Midi,Bahamas,"the shape of the Bahamas, with the flag of the Bahamas."
canada comet.png,Comet,Canada,"a green shape of the country of canada, with the canadian flag"
bible belt dusty.png,Dusty,Bible Belt,"A gray map of the United States with the Bible Belt, a region taking up most of the Southern and lower Mid-West regions, highlighted in green."
bahrain rae.png,Rae,Bahrain,the country of Bahrain. The little islands are red. The mainland is half white half red with a zigzag sort of pattern
comoros m.png,M,Comoros,"the shape of the islands of Comoros in green, and with the flag of Comoros. the flag is a green chevron with a white cresent moon and four white stars, with four horizontal stripes: yellow, white, red, and blue."
burundi m.png,M,Burundi,"The shape of the country Burundi, colored in with the flag of Burundi. The flag of Burundi has a white with a white circle in the centre. the left and right flag quadrants are green, and the top and bottom quadrants are red. on the circle are three six-pointed red stars with green outlines."
bangladesh rae.png,Rae,Bangladesh,"a dark green shape of the country of Bangladesh, a big red circle in the middle to resemble the flag of Bangladesh."
costa rica koda.png,Koda,Costa Rica,"A land mass matching the shape of costa rica with a black outline and the interior matching the costa rican flag: 5 stripes blue, white, red, white, then blue again."
canada koda.png,Koda,Canada,"A land mass matching the shape of canada with a black outline and the interior matching the canadian flag: vertical stripes, red, white, red with a red leaf on the white stripe"
britain comet.png,comet,Britain,"a green shape of the island of Britain, with the Union Jack flag"
dominicanRepublic_Midi.png,Midi,Dominican Republic,The shape of the country of Dominican Republic colored with the flag of Dominican Republic
colorado koda.png,Koda,Colorado,"A land mass matching the shape of the state colorado (which is funnily enough just a rectangle) with a black outline and the interior matching the colorado flag: a dark blue stripe, then white stripe, then blue stripe again. on the white stripe is a red C with a yellow circle inside of the C"
congo drc koda.png,Koda,Congo / DRC,"A land mass matching the shape of congo with a black outline and the interior matching the congo flag: blue with a yellow diagonal strip, red strip, then yellow again and a star in the top corner"
/Places/England.png,Ani,England,A drawing of England. England is colored bright blue
Europe Comet.png,Comet,Europe,"a green shape of the continent of europe, with the european union flag"
england comet.png,comet,England,"a green shape of the country of england, with the english flag"
florida koda.png,Koda,Florida,A land mass matching the shape of the USA state florida with a black outline and the interior matching the florida flag: white with a red X on top. ontop of the center of the X is a blue circle outlined in yellow and inside the blue circle is a tree and bush
europe comet 2.png,Comet,Europe,a green shape of the continent of europe
/Places/Haiti.png,M,Haiti,"The shape of Haiti, colored with the flag of Haiti."
germany comet 1.png,Comet,Germany,"a green shape of the country of germany, with the german flag"
egypt pandoras box.png,pandora's-box,Egypt,"The shape of the country of Egypt colored in three stripes from top to bottom red, white, and black. In the center of the white stripe there is a golden eagle seal."
iraq comet.png,Comet,Iraq,"a green shape of the country of iraq, with the iraqi flag"
germany comet 2.png,Comet,Germany,"a green shape of the country of germany, with the german flag"
gaza koda.png,Koda,Gaza,"A land mass matching the shape of gaza with a black outline and the interior matching the palestinian flag: 3 stripes black, white, then green and a red triangle."
india_Midi.png,Midi,India,The shape of the coutnry of India colored with the flag of India.
/HR INR/ireland 2.png,Ani,Ireland,A drawing of Ireland and Northern Ireland. Ireland is colored purple and Northern Ireland is colored blue
germany koda.png,Koda,Germany,"A land mass matching the shape of germany with a black outline and the interior matching the german flag: 3 stripes black, red, then yellow."
/HR INR/ireland 1.png,Ani,Ireland,A drawing of Ireland It is colored purple
iran comet.png,Comet,Iran,"a green shape of the country of iran, with the pre-revolution persian flag"
/Places/germany.png,M,Germany,"the shape of germany, outlined in black and filled in with a faded version of the stripes of the german flag (top third black, middle third red, and bottom third yellow)"
ireland koda.png,Koda,Ireland,"A land mass matching the shape of ireland with a black outline and the interior matching the irish flag: 3 stripes green, white, then orange."
