Image URL,Credit,Caption,Alt text
acalculia.png,M,acalculia,"A blue figure covering their head as mathematical symbols fall down around them, including from a wobbly light grey '1' '2' and '3'."
achondroplasia 2.png,M,achondroplasia,A person with achrondoplasia standing facing the viewer. They have light skin and brown hair and are wearing a blue long-sleeved shirt and dark blue trousers.
achondroplasia 3.png,M,achondroplasia,A person with achrondoplasia standing facing the viewer. They are emoji yellow and are wearing a blue long-sleeved shirt and light purple trousers.
achondroplasia 1.png,M,achondroplasia,A person with achrondoplasia standing facing the viewer. They have brown skin and black hair and are wearing a blue long-sleeved shirt and dark blue trousers.
adhd amism plum.png,Plum,ADHD / amism,A drawing of the ADHD butterfly symbol. It is a stylized depiction of a butterfly where the wings are drawn with a single stroke so that it resembles an infinity symbol. It is colored with a rainbow gradient.
adhd cc 1.png,CC,ADHD,the ADHD butterfly-infinity symbol in orange
achondroplasia 4.png,M,achondroplasia,A person with achrondoplasia standing facing the viewer. They have brown skin and are wearing a blue long-sleeved shirt and light purple trousers.
aicardi syndrome creature's creations.png,Creature's creations,Aicardi syndrome,"a person with a brain missing the corpus collosum, a baby spasming, and an eye with and arrow showing rentinal lacunes to the left"
adhd cc 2.png,CC,ADHD,the ADHD butterfly-infinity symbol in a vibrant rainbow from pink to violet
aEDS ot.png,Ottertime,arthrochalasia elhers-danlos syndrome (aEDS),"on the top is a pair of disconnected bone joints with blue lines coming out of the gap. on the bottom right corner is a white ribbon with black stripes next to the bust of a zebra, who has a white body with black stripes"
Leg Amputee BIID Ottertime.png,Ottertime,leg amputee BIID,a uncomfortable yellow person next to a black mirror with blue glass. On the reflected half where their reflection should be is a happier yellow person wearing a gray prosthetic leg. There are blue vertical dashes near the person outside the mirror to emphasize their discomfort.
age related hearing loss.png,Ottertime,age related hearing loss,"A simple drawing representing hearing loss with age. There are two people: one is a child (which is represented by them wearing a propellor hat) and one is an adult. There's an arrow pointing to the left (from the child to the adult) below them that's a blocky gradient from blue, to purple, to red, and there's a clock to show the passage of time. There's an ear drawn with an arrow pointing at the child, showing the child is hearing. There's another ear drawn but crossed out and an arrow pointing from that to the adult, showing the adult has hearing loss"
addict.png,M,addict,"A person placing a green circle, which represents something they are addicted to, into their mouth. Their other hand is on their chest. There are three thought bubbles from their head, all with a green circle in them."
Arm Amputee BIID Ottertime.png,Ottertime,Amputee BIID,a uncomfortable yellow person next to a black mirror with blue glass. On the reflected half where their reflection should be is a happier yellow person with their arm amputated. There are blue vertical dashes near the person outside the mirror to emphasize their discomfort.
alogia chrome.png,cytochrome-sea,alogia,a blue dog speaking a single word into a speech bubble
adhd cc 3.png,CC,ADHD,the ADHD butterfly-infinity symbol in a vibrant rainbow from a pinkish red to a magentaish purple
anencephaly rae.png,Rae,anencephaly,"a baby with a very misshapen, small head. They’re wrapped in green swaddles and there’s a green ribbon next to them."
amnesia tonto.png,Tonto,amnesia,"a brain with a thought bubble next to it , in the bubble there is an empty circle in between question marks ."
alexithymia ot.png,Ottertime,alexithymia,"ID: a yellow person looking down and confused having on hand on their head. behind them is a white thought bubble and inside that thought bubble are a light green happy face, a green calm face, a teal blank face, a blue angry face, and a dark blue sad face, all of which represent different emotions. all the faces are blurred together to show a hard time distinguishing the emotion."
anterograde.png,Méabh,anterograde amnesia,A drawing of a clay colored person with long elf like ears that are pointed down. The person has a distressed expression on their face. Above the clay persons head that is a pink  box with a star in it that has three arrows pointing forwards at a light pink box with question marks in it.
amputee 1.png,Blackholemojis,amputee,A person standing and holding one leg out which ends below the knee.
anhedonia chrome.png,cytochrome-sea,anhedonia,a grey heart with sad clouds in it leaking rainbows
anhedonia.png,Petri,anhedonia,an emoji yellow face holding a box with a heart on it and looking bored.
anorexia vixen.png,Vixen,anorexia,A drawing of a cheeseburger. Over top of the cheeseburger is a red circle with a line through it
anxiety pepsi.png,Pepsi,anxiety,a yellow person panicking. A speech bubble with a spiral above.
anxiety chrome.png,cytochrome-sea,anxiety,a blue dog holding paws over its mouth and sweating. it looks nervous and is surrounded by scribbles.
ARFID 2.png,Asher,ARFID,"a pale portion plate with a peice of toast, a bowl of rice, an ice cream bar, and instant noodles in the closesr boxes. beans and yougurt are in the middle box. steak, ribs, and a burger are in the far catagory, and fresh fruit and veggies are in the farthest one back. the words 'avoident restrctive food intake disorder' are in white letters around the plate"
arfid meabh.png,Méabh,ARFID,"A drawing of a yellow person infront of a dark maroon table. The yellow person looks distressed and scared. on the table there is a plate with a cloud, heart and triangle on it. there is a thought bubble by the yellow persons head that has a red X sign over a cloud, heart and triangle symbol."
ARFID 1.png,Asher,ARFID,"a pale portion plate with a peice of toast, a bowl of rice, an ice cream bar, and instant noodles in the closesr boxes. beans and yougurt are in the middle box. steak, ribs, and a burger are in the far catagory, and fresh fruit and veggies are in the farthest one back. the words 'avoident restrctive food intake disorder' are in black letters around the plate"
aura.png,M,aura,"A person with a sharp pink shape around them, and a dark blue cloud shape ringing around that. The person has brown skin, short and curly dark hair, and is wearing a blue t-shirt."
asociality chrome.png,cytochrome-sea,asociality,a  blue dog looking disturbed. a thought bubble appears above it with yellow figures looking happy inside it.
aura base.png,M,aura,"A person with a sharp pink shape around them, and a dark blue cloud shape ringing around that. The person is generic emoji yellow."
bfrb esrah.png,Esrah,BFRB / body focused repetitive behavior,"a person pictured from the mid-torso up in the middle of two circling red arrows. They are scratching at their forearm and side of their face, and have a nervous expression. They have tan skin with red areas on their shoulder, elbow, knuckles, and forehead, and bleached hair done in a bun. They wear a blank tank top."
audio processing disorder.png,Esrah,audio processing disorder (APD),"a person hearing red sound waves, and thinking of distorted sound waves in confusion. They have medium toned skin and with short dark hair."
biid ottertime 2.png,Ottertime,Body Integrity Identity Disorder (BIID),aan uncomfortable yellow person next to a black mirror with blue glass. On the reflected half where their reflection should be is a happier yellow person in a gray wheelchair. There are blue vertical dashes near the person outside the mirror to emphasize their discomfort.
