Image URL,Credit,Caption,Alt text
Arts And Crafts.png,StellarSymbols,arts and crafts,a pair of red scissors and a paintbrush
ai art is not allowed.png,Gillipop,AI art is not allowed,"a cartoony drawing of two interlocking gray metal gears with a yellow arrow under them pointing to an ambiguous drawing resembling a caucasian person wearing a blue shirt holding something. the whole drawing has a big red not allowed sign, a red circle with a line through it over it"
animation meme gp 3.png,Gillipop,animation meme,a frame of an animation meme of a watermelon-colored cat furry character putting their hands up and smiling. the frame has a blue background with a white stripe through it
2b pencil m.png,M,2B pencil,"a pencil tip, with a blue numeral '2' and red letter 'B'"
alcohol marker vixen.png,Vixen,alcohol marker,a white marker with a gray cap. The word 'Alcohol' is written on the side of the marker in grey with two lines underneath.
anti ai art.png,Gillipop,anti AI art,a cartoony drawing of two interlocking gray metal gears with a yellow arrow under them pointing to an ambiguous drawing resembling a caucasian person wearing a blue shirt holding something. the whole drawing has a big red x over it
ai art.png,Gillipop,AI art,a cartoony drawing of two interlocking gray metal gears with a yellow arrow under them pointing to an ambiguous drawing resembling a caucasian person wearing a blue shirt holding something
animation meme gp 2.png,Gillipop,animation meme,a frame of an animation meme of a watermelon-colored cat furry character putting their hands up and smiling. the frame has a blue background with a white stripe through it. there are black bars above and below the frame
bilinear.png,Gillipop,bilinear,a pale half red half cyan pixel circle with a black arrow pointing to the same circle in the middle of the symbol but three times bigger and rotated 45 degrees using the bilinear interpolation method
animation meme gp 1.png,Gillipop,animation meme,"a frame of an animation meme of a watermelon-colored cat furry character putting their hands up and smiling. the frame has a blue background with a white stripe through it, and behind that is solid black"
art block esrah.png,Esrah,art block,"a hand holding a blue pencil resting on top of a semi-transparent red box, which sits on top of a partially lined and colored piece of drawing paper."
black printer ink cc.png,CC,black printer ink,"a rounded rectangle with a lightened black color. there's text that says INK, and there's a pointed butterfly-cross shape below it"
art block.png,Neon,art block,"A wooden paint pallette with six different colors of paint on it, each one a color of the rainbow. Next to the paint pallette is a basic paint brush with a red handle and brown bristles. There is a big red X over these items."
average pixel.png,Gillipop,average pixel,a pale half red half cyan pixel circle with a black arrow pointing to the same circle in the middle of the symbol but three times bigger and rotated 45 degrees using the average pixel interpolation method
blackout poetry gillipop.png,Gillipop,blackout poetry,"several lines of scribbles, resembling text, on a white background. pieces have been crudely blacked out"
art inspiration ottertime.png,Ottertime,art inspiration,"a yellow face with amber cheeks and orange eyes thinking. Its pale blue thought bubble has a paper with a drawing of a blue flower, surrounded by pink hearts, yellow stars, and blue cresents"
/Objects/balloon dog.png,Neon,balloon dog,A cartoon style red balloon animal dog with white highlights.
broad tip marker vixen.png,Vixen,broad tip marker,a white marker with a gray cap. The word 'Broad Tip' is written on the side of the marker in grey. The tip of the marker is red and rectangular.
band.png,CC,band,"a picture of three people with brown hair and matching purple shirts is pointed at by a blue arrow. there are music notes beside the picture, and beneath it are a small blue album with a CD sticking out of it, and muddy-yellow hands touching a red blob representing the word 'make'."
bulky yarn.png,Nubs,bulky yarn,"A skein of bulky, indigo yarn"
carve pheonix 1.png,Pheonix,carve,a carved wooden bird with curls of wood coming off the tail where a wooden handled carving knife shaves away at it. Some wood shavings sit scattered below. The image has dark line art.
book review.png,Esrah,book review,a video window showing a southeast Asian man in a green shirt and white undershirt talking and gesturing on a pink background. In the space beside him is the cover of a book with a person on the front.
commission m.png,M,commission,"a simplified yellow hand dropping a coin into the palm of a simplified blue hand.  below it is a second blue hand drawing on a drawing tablet with a stylus, making a purple shape."
carve pheonix 2.png,Pheonix,carve,a carved wooden bird with curls of wood coming off the tail where a wooden handled carving knife shaves away at it. Some wood shavings sit scattered below. The image has light line art.
brush tip marker vixen.png,Vixen,brush tip marker,a white marker with a gray cap. The words 'Brush Tip' is written on the side of the marker in grey. The tip of the marker is teal and shaped like a brush.
color printer ink cc.png,CC,color printer ink,"a rounded rectangle with three vertical stripes of cyan, magenta, and yellow. there's text that says INK, and there's an oval shape below it"
cell shaded.png,Gillipop,cell shaded,a pale red circle with a black outline. the whole image has a smaller white outline
button crows.png,Crows,button,a drawing of a blue button.
/Objects/crayon green.png,DoctorZero,crayon (green),a green crayon
comedy mask.png,Esrah,comedy mask,a yellow mask with a happy face and red ribbon.
cast pheonix 1.png,Pheonix,cast,a glowing orange liquid being poured into a black container which has hot dark orange and red liquid inside it. There are purple arrows on either side indicating the liquid is being poured. The image has dark line art.
/Objects/crayon purple.png,DoctorZero,crayon (purple),a purple crayon
cosplay.png,M,cosplay,"a tv screen displays a person with a green dress and long black hair holding a sword. a red arrow goes from the tv screen to a person in front of it, who is wearing a green dress, holding a handmade replica sword, and wears a flowy black hijab. the person in the costume is smiling."
cast pheonix 2.png,Pheonix,cast,a glowing orange liquid being poured into a white container which has hot red and dark red liquid inside it. There are purple arrows on either side indicating the liquid is being poured. The image has light line art.
/Actions/crochet.png,Leaf,crochet,a drawing of a light grey crochet hook with an orange handle and a ball of pinkish purple yarn which has a very light yellow label
/Objects/crayon orange.png,DoctorZero,crayon (orange),an orange crayon
colouring book zaza.png,Zaza-art,colouring book,a pale blue open book with black line drawings of a boat on water on the left page and a flower in grass on the right
darning tapestry needle crows.png,Crows,darning / tapestry needle,a drawing of a gray tapestry needle.
/Objects/crayon red.png,DoctorZero,crayon (red),a red crayon
/Objects/crayon blue.png,DoctorZero,crayon (blue),a blue crayon
Draw stellar.png,StellarSymbols,draw,a pencil partway through drawing a circle
/Objects/crochet hook.png,Leaf,crochet hook,a light grey crochet hook with an orange handle.
/Objects/crayon pink.png,DoctorZero,crayon (pink),a pink crayon
drawing requests 2.png,Eldritch-emojis,drawing requests?,a drawing of a simple yellow person with a pleading-like facial expression with their hands in together. behind them is a sketch book that reads 'drawing requests' with a few question marks. this variant has the sketchbooks lineart a dark tan.
eraser m.png,M,eraser,an off-white (light grey) squareish eraser.
/Objects/crayon yellow.png,DoctorZero,crayon (yellow),a yellow crayon
extended play.png,CC,extended play,"a cd case with an abstract blue cover and a disc coming out of the case on the viewers right side. there are two blue music notes on the right side, and at the top there is a medium orange rectangle with a blue arrow extending it to the right."
eraser talksense.png,TalkSense,eraser,an off-white (light yellow) eraser with a blue wrapper around the middle.
/Actions/cross stitch.png,Leaf,cross stitch,two orange 'x's right next to each other.
fine tip marker vixen.png,Vixen,fine tip marker,a white marker with a gray cap. The word 'Fine Tip' is written on the side of the marker in grey. The tip of the marker is yellow and very thin.
glaze pheonix 1.png,Pheonix,glaze,an image with black line art shows a gray circle with a shiny blue substance dripping down it. A small black arrow points to the substance.
drawing requests 1.png,Eldritch-emojis,drawing requests?,drawing of a simple yellow person with a pleading-like facial expression with their hands in together. behind them is a sketch book that reads 'drawing requests' with a few question marks.
fine yarn.png,Nubs,fine yarn,"A skien of fine, yellow yarn."
glaze pheonix 2.png,Pheonix,glaze,an image with off white line art shows a gray circle with a shiny blue substance dripping down it. A small black arrow points to the substance.
/Objects/drawing tablet.png,M,drawing tablet,a black drawing tablet open on a drawing program that has an upper toolsr and color editor on display. a purple squiggle has been drawn on the program's canvas
fired pheonix 1.png,Pheonix,fired,a flame sits at the right side of the image with a teal arrow below it. The arrow starts narrow and widens as it travels to the left. The image has dark line art.
lineart.png,Gillipop,lineart,a red outline of a circle on top of a black sketch of the same circle. the background is white
fanfiction.png,M,fanfiction,a book with a purple cover and a light blue cloud behind it. In front of it is a orange plus sign.
fired pheonix 2.png,Pheonix,fired,a flame sits at the right side of the image with a teal arrow below it. The arrow starts narrow and widens as it travels to the left. The image has light line art.
medium yarn.png,Nubs,medium yarn,"A skien of medium, blue yarn."
gouache dusty.png,Dusty,gouache,A white paint tube with magenta stripes and a large capital G on it. There is a smear of magenta paint in front of the tube.
flat color.png,Gillipop,flat color,a pale red circle with a black outline. the whole image has a smaller white outline
lace.png,Nubs,lace,"A skien of ultra-thin, red yarn."
jumbo yarn.png,Nubs,jumbo yarn,"A skein of jumbo, pink yarn."
glue stick vixen.png,Vixen,glue stick,"a blue glue Stick with a white glue tip, behind it is a trail of white."
light yarn.png,Nubs,light yarn,"A skien of light, green yarn."
kiln pheonix 1.png,Pheonix,kiln,A grey rectangle with an arched top sits on two brown blocks. At the top corners before it arches is a squiggly grey line outlined in black. Inside the body of the rectangle is a circle with a flame in it. The line art in the image is dark.
hb pencil m.png,M,HB pencil,"a pencil tip, with a green letter 'H' and red letter 'B'"
letter beads circle bear.png,Bear,Letter Beads (Circle),"three white circles with A, B, & C written on them in black"
kiln pheonix 2.png,Pheonix,kiln,A grey rectangle with an arched top sits on two brown blocks. At the top corners before it arches is a squiggly grey line outlined in black. Inside the body of the rectangle is a circle with a flame in it. The line art in the image is light.
holding crayons bh.png,Blackholemojis,holding crayons,"a face with wide, lit up eyes, smiling while holding up a yellow box of crayons."
letter beads square bear.png,Bear,Letter Beads (Square),"three white rounded squares with D in orange, E in green, & F in purple written on them"
/Objects/knitting needles.png,Leaf,knitting needles,two light grey knitting needles
/Objects/hot glue gun.png,TalkSense,hot glue gun,A hot glue gun facing the left with a stick of glue about halfway into it.
letter beads hanging bear.png,Bear,Letter Beads (Hanging),"three letter G in pink, H in teal, & I in magenta"
morin khuur.png,M,morin khuur / horsehead fiddle,"a morin khuur, also known as a horsehead fiddle"
is this raku pheonix 1.png,Pheonix,Is this Raku?,"An image with dark line art shows a rainbow colored vase, the colors are soft and blur together. A black arrow points to it from the left, and above it is a yellow question mark."
opacity gillipop.png,Gillipop,opacity,a gradient between a white and light gray transparency grid and a solid red takes up the whole image
nearest neighbour.png,Gillipop,nearest neighbour,a pale half red half cyan pixel circle with a black arrow pointing to the same circle in the middle of the symbol but three times bigger and rotated 45 degrees using the nearest neighbor interpolation method
is this raku pheonix 2.png,Pheonix,Is this Raku?,"An image with dark line art shows a rainbow colored vase, the colors are soft and blur together. An off white arrow points to it from the left, and above it is a blue question mark."
/Objects/paint.png,Rae,paint,"a paint pallet, a can of paint, and a paintbrush."
/Objects/paint m.png,M,paint,"A bucket of paint, a paint palette, and two paintbrushes with paint on them."
lineless.png,Gillipop,lineless,a lineless pale red circle.
movie review.png,Esrah,movie review,a video window showing a southeast Asian man in a green shirt and white undershirt talking and gesturing on a green-blue background. In the space beside him is the poster for a movie.
painterly.png,Gillipop,painterly,"a pale red circle shaded to be darker red in the bottom right and with a white highlight in the top left using a sharp, painterly style"
long play.png,CC,long play,"a cd case with an abstract blue cover and a disc coming out of the case on the viewers right side. there are two blue music notes on the right side, and at the top there is a long orange rectangle with a blue arrow above it, showing the length of the shape."
paint palette.png,Neon,paint palette,"A wooden paint pallette with six different colors of paint on it, each one a color of the rainbow. Next to the paint pallette is a basic paint brush with a red handle and brown bristles."
pony beads vixen.png,Vixen,pony beads,"An assortment of round pony beads, they are Red, Blue and Yellow."
mona lisa.png,M,mona lisa,"A simple depiction of the mona lisa, a framed painting of a woman with a slight smile in front of a landscape."
paint palette 1.png,Neon,paint palette,"A wooden paint pallette with six different colors of paint on it, each one a color of the rainbow."
raku pheonix 1.png,Pheonix,raku,"An image with dark line art shows a rainbow colored vase, like a copper matte glazed Raku vessel. Next to the pot is a small flame, with an arrow pointing from it up at an ice cube."
paintbrush.png,Neon,paintbrush,"A basic paintbrush with a red handle, bronze ferrule, and brown bristles."
/Objects/permanent marker.png,Neon,permanent marker,"A black marker with a grey body, black cap and tip."
raku pheonix 2.png,Pheonix,raku,"An image with light line art shows a rainbow colored vase, like a copper matte glazed Raku vessel. Next to the pot is a small flame, with an arrow pointing from it up at an ice cube."
pencil.png,Astro,pencil,Tilted yellow pencil with green and a pinkish red eraser.
pin crows.png,Crows,pin,a drawing of a gray sewing pin with a red pinhead.
/Objects/safety scissors m 1.png,M,safety scissors,a blue pair of safety scissors
poetry gillipop.png,Gillipop,poetry,"several lines of scribbles, resembling text, on a white background"
plastic beads.png,Plum,plastic beads,"Drawing of several plastic beads in various colors. There are several barrel shaped pony beads in the back, some small seed beads in various shapes, an orange star, a yellow smiley face, and a pink butterfly."
scrapbook koda.png,Koda,scrapbook,a square tan spiral bound book with a heart sticker on the front and a polaroid picture on the front that has a light / pink skinned person and a dark skinned person
pro ai art.png,Gillipop,pro AI art,a cartoony drawing of two interlocking gray metal gears with a yellow arrow under them pointing to an ambiguous drawing resembling a caucasian person wearing a blue shirt holding something. the whole drawing has a big green check over it
playlist plum 1.png,Plum,playlist,"drawing mimicking how a music playlist might look on a music player software. The playlist thumbnail is a square picture of the “tbh creature”, a white, cartoony quadrupedal creature with big shiny black eyes and a neutral expression, wearing headphones. The playlist title, to the right of this, is a series of emojis, those being headphones, two eighth notes, and a button with numbers. There are some scribbles representing a description and a few generic buttons, and then three songs below, with little album covers and scribbles for the song and artist names. The UI elements have light blue backgrounds."
sewing machine.png,TalkSense,sewing machine,"a sewing machine, labelled Jones, with a red spool of thread."
portrait.png,Petri,portrait,"a drawing of a plain yellow person standing in front of a large frame, which contains a portrait of the person"
