Image URL,Credit,Caption,Alt text
cups koda.png,Koda,cups,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal cup in the center."
major arcana m.png,M,major arcana,a dark purple card with a textured golden border
minor arcana m.png,M,minor arcana,a dark purple card with a silver border
cups m.png,M,cups,a blue cup shape on a dark purple card with a blue outline
pentacles koda.png,Koda,pentacles,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal pentacle in the center."
swords koda.png,Koda,swords,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal sword in the center."
wands koda.png,Koda,wands,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal wand in the center."
pentacles m.png,M,pentacles,a yellow pentacle shape on a dark purple card with a yellow outline
swords m.png,M,swords,a green sword shape on a dark purple card with a green outline
wands m.png,M,wands,an orange wand shape - stick with two leaves - shape on a dark purple card with an orange outline
the fool koda.png,Koda,the fool,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal person standing on a cliff."
the magician koda.png,Koda,the magician,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal person holding up a wand with an infinity symbol above their head"
the high priestess koda.png,Koda,the high priestess,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal person with a cloak on and a large crown"
the fool m.png,M,the fool,a card with a textured golden border. inside it is a slightly simplified depiction of the classic Rider-Waite-Smith 'Fool' card.
the magician m.png,M,the magician,a card with a textured golden border. inside it is a slightly simplified depiction of the classic Rider-Waite-Smith 'Magician' card.
the high priestess m.png,M,the high priestess,a card with a textured golden border. inside it is a slightly simplified and adapted depiction of the classic Rider-Waite-Smith 'High Priestess' card.
the empress koda.png,Koda,the empress,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal person holding a staff on their right side with a crown on"
the emperor koda.png,Koda,the emperor,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal person holding a staff on their left side"
the heirophant koda.png,Koda,the heirophant,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline. there’s a dark teal person holding a staff on their right said and holding two fingers up on their left hand"
the empress m.png,M,the empress,a card with a textured golden border. inside it is a slightly simplified and adapted depiction of the classic Rider-Waite-Smith 'Empress' card.
the lovers koda.png,Koda,the lovers,"a light teal rectangle with slightly dark details around the edges, and a darker teal outline.  there’s 2 dark teal people on either side leaning into the center with a heart above them"
