Image URL,Credit,Caption,Alt text
alterhuman five guys.png,The Five (+) Guys Collective,alterhuman,"an alt symbol, turned so that the arrow faces the top right corner. the arrow that branches from the line is striped a darker colour. surrounding it are two yellow bat-like wings"
alt symbol five guys.png,The Five (+) Guys Collective,alt symbol,"an alt symbol, turned so that the arrow faces the top right corner. the arrow that branches from the line is striped a darker colour."
alterhuman chrome.png,cytochrome-sea,alterhuman,"image of a zigzag arrow over a flat line, the alterhuman symbol with a white outline"
angelkin divinekin vixen.png,Vixen,angelkin / divinekin,"A grey wolf creature with 6 yellow wings, two gold rings around their face and a gold halo above their head. they are holding a floating gold star."
border collie therian vixen 1.png,Vixen,border collie therian,"A creature crouching down with one paw up and one paw down, they have a yellow body, a black border collies mask on their face, and a fluffy black tail with a white tip."
elven star five guys.png,The Five (+) Guys Collective,elven star,a brown seven pointed star with yellow splotches
border collie therian vixen 2.png,Vixen,border collie therian,"A creature crouching down with one paw up and one paw down, they have a grey body, a black border collies mask on their face, and a fluffy black tail with a white tip."
elven.png,M,elven,a green elven star.
otherkin chrome.png,cytochrome-sea,otherkin,image of a seven pointed elven star otherkin symbol with a white outline
fictionkin chrome.png,cytochrome-sea,fictionkin,"image of the fictionkin symbol, two large intersecting rings and one small ring intersecting them, with the letter F in the middle, with a white outline"
hunting urges chrome.png,cytochrome-sea,hunting urges,image of a set of sharp teeth surrounding a yellow triangle with a red exclamation mark
polytherian vixen.png,Vixen,polytherian,"A gray person surrounded by the heads of a brown French bulldog, a sun bear, a blue Jay, a ginger cat, and a yellow lizard. Arrows are pointing from the animals to the grey person's heart, which has all the colors of those animals"
/Concepts/nonhuman smolmoss.png,Smolmoss,nonhuman,a yellow figure of a human in a crossed out red circle
otherkin five guys.png,The Five (+) Guys Collective,otherkin,"a brown seven pointed star with yellow splotches, a unicorn horn, a brown and yellow cat-like ear, a yellow and red spade tail, and pink feathered wings."
rat therian vixen 2.png,Vixen,rat therian,"A creature crouching down with one paw up and one paw down, they have a grey body, a grey rat mask on their face, and a skinny pink tail."
objectkin chrome.png,cytochrome-sea,objectkin,image of a cube with a white outline
rat therian vixen 1.png,Vixen,rat therian,"A creature crouching down with one paw up and one paw down, they have a yellow body, a grey rat mask on their face, and a skinny pink tail."
red fox therian vixen 2.png,Vixen,red fox therian,"A creature crouching down with one paw up and one paw down, they have a grey body, a red fox mask on their face, and a fluffy orange tail."
/Objects/accessories/therian mask.png,cytochrome-sea,therian mask,orange fox mask with therian symbol on forehead
red fox therian vixen 1.png,Vixen,red fox therian,"A creature crouching down with one paw up and one paw down, they have a yellow body, a red fox mask on their face, and a fluffy orange tail."
/Objects/accessories/tail chrome.png,cytochrome-sea,tail,a black and white tipp tail with a carabiner clip
theta delta five guys.png,The Five (+) Guys Collective,theta delta,a combination of the greek letters 'theta' (a circle with a line inside it) and 'delta' (a triangle). the circle part of the theta and the delta appear woven together.
therian chrome.png,cytochrome-sea,therian,image of a theta delta tharian symbol with a white outline
therian five guys.png,The Five (+) Guys Collective,therian,"a combination of the greek letters 'theta' (a circle with a line inside it) and 'delta' (a triangle). the circle part of the theta and the delta appear woven together. attached to the theta delta is a brown and white feathered wing, a brown cat-like ear, four brown spider-like legs, a fish tail, a scaled reptile tail, and feathery mudpuppy gills."
/Objects/accessories/wings chrome.png,cytochrome-sea,wings,white and gold wings with straps for the arms and blue stripes
