Image URL,Credit,Caption,Alt text
alhamdulillah.png,M,Alhamdulillah,"the Arabic phrase
ٱلْحَمْدُ لِلّٰهِ
(Alhamdulillah) in yellow letters."
adhan.png,M,adhan,a light brown minaret with a white speaker with noise lines on either side.
i am Muslim m.png,M,I am Muslim,a yellow figure with a hand on their chest. they have a speech bubble with a green star and crescent in it.
islamic angel ottertime.png,Ottertime,Islamic angel,"a pale yellow person with wings that are red, yellow, green, and blue. The person has no eyes"
i am Muslim m 2.png,M,I am Muslim,a smiling yellow figure with a hand on their chest. they have a speech bubble with a green star and crescent in it.
minaret.png,M,minaret,a light brown minaret.
kaaba m.png,M,Kaaba,thin-lined drawing of the Kaaba.
/Objects/religion/ramadan 2.png,M,Ramadan,a brown-skinned person wearing a dark head covering and white garment rejecting bread and water with the sun up behind them.
/Objects/religion/ramadan 3.png,M,Ramadan,a light-skinned person wearing a dark head covering and white garment rejecting bread and water with the sun up behind them.
/Objects/religion/ramadan 1.png,M,Ramadan,a dark-skinned person wearing a dark head covering and white garment rejecting bread and water with the sun up behind them.
/Objects/religion/ramadan 5.png,M,Ramadan,a brown-skinned person wearing a light head covering and white garment rejecting bread and water with the sun up behind them.
/Objects/religion/ramadan 6.png,M,Ramadan,a light-skinned person wearing a light head covering and white garment rejecting bread and water with the sun up behind them.
/Objects/religion/ramadan 4.png,M,Ramadan,a dark-skinned person wearing a light head covering and white garment rejecting bread and water with the sun up behind them.
/Objects/religion/dua1.png,M,dua,"a featureless person with brown skin wearing a black hijab and abaya, their hands raised in front of them in prayer."
/Objects/religion/dua2.png,M,dua,"a featureless person with brown skin wearing a white kufi and thobe, their hands raised in front of them in prayer."
/Objects/religion/quran.png,M,Quran,A simplified drawing a of closed Qur'an with a black and gold cover and red bookmark.
/Objects/religion/halal.png,M,halal,a dark green circle with white text saying 'حلا' ('halal') in it.
/Objects/religion/dua3.png,M,dua,"a featureless person emoji yellow skin wearing a white kufi and thobe, their hands raised in front of them in prayer."
/Objects/religion/dua4.png,M,dua,"a featureless person with emoji yellow wearing a black hijab and abaya, their hands raised in front of them in prayer."
/Objects/religion/iftar.png,M,Iftar,"a set sun next to three dishes of different foods (rice, fish, and meat)."
inshallah.png,M,inshallah,"the text
  إن شاء الله
  (inshallah) in the color blue."
/Objects/religion/islam black.png,Gleepglorpian,Islam,a black star and crescent.
imam.png,M,imam,"the head and shoulders of a smiling person with brown skin and a black beard, wearing a  white kufi and thobe."
/Objects/religion/islam green.png,Gleepglorpian,Islam,a green star and crescent.
/Objects/religion/islam gold.png,Gleepglorpian,Islam,a gold star and crescent.
mashallah.png,M,Mashallah,"the text
مَا شَاءَ ٱللَّٰهُ
(mashallah) in the color gold"
/Objects/religion/islam silver.png,Gleepglorpian,Islam,a silver star and crescent.
/Objects/religion/hamsa1.png,Gleepglorpian,hamsa,"a blue hamsa, a raised hand with an eye in it, with patterns."
/Objects/religion/hamsa2.png,Gleepglorpian,hamsa,"a blue hamsa, a raised hand with an eye in it."
Muslim.png,TalkSense,Muslim,Someone with brown skin and a black beard sitting on a red prayer mat and reading. They are wearing a blue thube and white kufi.
prayer mat bl.png,M,prayer mat,a simple blue prayer mat.
prayer mat g.png,M,prayer mat,a simple green prayer mat.
prayer mat r.png,M,prayer mat,a simple red prayer mat.
subhanallah.png,M,Subhanallah,"the arabic phrase 'سُـبْحانَ الله' or 'Subhanallah,' colored in a gold gradient."
/Objects/religion/wudu2.png,M,wudu,someone with emoji yellow skin wearing a purple hijab and grey other clothing washing their hands at a tap.
/Objects/religion/zakat.png,M,zakat,Someone with brown skin wearing a green hijab and black abaya dropping down two gold coins.
/Objects/religion/wudu1.png,M,wudu,someone with brown skin wearing a purple hijab and white other clothing washing their hands at a tap.
