Image URL,Credit,Caption,Alt text
ankle pain k9.png,K9,ankle pain,"A light greyscale foot and lower leg, with a red ankle and pain lines radiating from it."
achilles tendon pain crows.png,Crows,achilles tendon pain,A simplified foot with the back of it covered in red and jagged red lines coming out from it
back pain blackhole.png,Blackholemojis,back pain,"A person bending over faced away from the viewer, with red lightning bolts coming from their back. They have one hand on their upper back and one on their lower"
arm pain crows.png,Crows,arm pain,An arm with a red mark on most of it and red zigzags radiating from the area
ankle pain crows.png,Crows,ankle pain,A simplified foot with the ankle covered in red and jagged red lines coming out from it
chest.png,Gillipop,chest hurts,"A person with no hair or face, an emoji yellow skintown, and a white pair of shorts and pants with no visible divider between the two. there are two glowing red spots on their chest."
arm pain k9.png,K9,arm pain,A light greyscale arm shown from the shoulder to the hand. most of the arm is red and there are pain lines radiating from it.
chest pain dd.png,DoctorZero,chest pain,A yellow-orange basic shaped person with a red horizontal oval over their chest.
cramps 1.png,Petri,cramps,"an emoji yellow person hunched over in pain and holding their hip, with two pink spirals next to their head. their hips are airbrushed red"
binder pain k9.png,K9,binder pain,A light greyscale torso wearing a grey binder. some of the binder is red and there are pain lines radiating from it.
cluster headache meabh.png,Méabh,cluster headache,A ms paint style drawing of the head of a grey person who is wincing in pain. There is a small red spiky blob around their right eye to represent pain.
full mouth pain mikey.png,Mikey,full mouth pain,A light greyscale face and shoulders with two red pain lines coming from the face. both sides of the mouth are grimacing
calf pain k9.png,K9,calf pain,A light greyscale leg. the calf is red and there are pain lines radiating from it.
chest ache k9.png,K9Emote,chest ache,"A yellow figure's torso with their hand pressed to their chest, which has dark red squiggles on it and is tinted red round the squiggles. there are three purple emphasis lines on their shoulder."
groin pain dd.png,DoctorZero,groin pain,: A yellow-orange basic shaped person with a small red vertical oval over their groin.
chest tight.png,Rover,chest tight,A close-up of an emoji yellow torso with hands cradling a blue patch on their chest that has spiky blue impact lines around it.
chest pain rover.png,Rover,chest pain,A close-up of an emoji yellow torso with hands cradling a red patch on their chest that has spiky blue impact lines around it.
hand pain.png,K9Emote,hand pain,A light greyscale hand with red pain lines radiating from it.
elbow pain k9.png,K9,elbow pain,A light greyscale arm shown from the shoulder to the hand. the elbow is red and there are pain lines radiating from it.
eyes burn koda.png,Koda,eyes burn,a brown eye with fire behind it
headache altitude dusty.png,Dusty,headache (altitude),A drawing of a person cringing with one hand on their head and a mountain with a flag at the peak above them.
face pain mikey.png,Mikey,face pain,A light greyscale face and shoulders with two red pain lines coming from the face.
feet.png,Gillipop,feet hurt,"A person with no hair or face, an emoji yellow skintown, and a white pair of shorts and pants with no visible divider between the two. there are glowing red spots on their feet."
headache cluster dusty.png,Dusty,headache (cluster),A drawing of a person cringing with one hand on their head and arrows starting from and pointing back to them around their head.
foot pain crows.png,Crows,foot pain,A simplified foot with a majority of it covered in red and jagged red lines coming out from it.
headache dusty.png,Dusty,headache,A drawing of a person cringing with one hand on their head and red bolts above it.
heel pain crows.png,Crows,heel pain,A simplified foot with the heel covered in red and jagged red lines coming out from it
forearm pain k9.png,K9,forearm pain,A light greyscale arm shown from the shoulder to the hand. the forearm is red and there are pain lines radiating from it.
knee.png,Gleepglorpian,knee pain,"The middle part of an emoji yellow bent leg, with three red pain lines radiating from the knee."
/Pain/too much pain can't do.png,M,I'm in too much pain to do that,"A person, curled inwards a little from pain, with their head in their hands. Red lightning bolts are surrounding them, showing pain. The person is also drawn as red, to show how much pain they are in. Over their torso is another image: a question mark with a line through it, showing that the answer to any question or request is “no”."
hand pain crows.png,Crows,hand pain,An arm with a red mark on the entire hand and red zigzags radiating from the area
left cheek pain mikey.png,Mikey,left cheek pain,A light greyscale face and shoulders with two red pain lines coming from the face. the left cheek has a red overlay
knees.png,Gillipop,knees hurt,"A person with no hair or face, an emoji yellow skintown, and a white pair of shorts and pants with no visible divider between the two. there are glowing red spots on their knees."
hands pain gilli.png,Gillipop,hands hurt,"A person with no hair or face, an emoji yellow skintown, and a white pair of shorts and pants with no visible divider between the two. there are glowing red spots on their hands."
left foot.png,Gillipop,left foot hurts,"A person with no hair or face, an emoji yellow skintown, and a white pair of shorts and pants with no visible divider between the two. there's a glowing red spot on their left foot."
knuckle pain.png,K9Emote,knuckle pain,"A light greyscale hand with the knuckles highlighted in red, and red pain lines radiating from them."
heaache exercise dusty.png,Dusty,headache (associated with exercise),A drawing of a person cringing with one hand on their head and a bar with weights on it above them.
lower back pain meabh.png,Méabh,lower back pain,A ms paint style drawing of a grey persons back. By the lower half of the back near the hip area  is colored red.
left knee.png,Gillipop,left knee hurts,"A person with no hair or face, an emoji yellow skintown, and a white pair of shorts and pants with no visible divider between the two. there's a glowing red spot on their left knee."
headache tension dusty.png,Dusty,headache (tension),A drawing of a person cringing with one hand on their head and orange lines pulled thin at the middle above them.
middle back spine pain meabh.png,Méabh,middle back / spine pain,A ms paint style drawing of a grey persons back. The whole entire spine area is colored red.
lower arm pain crows.png,Crows,lower arm pain,An arm with a red mark on the lower part and red zigzags radiating from the area
knee pain mikey.png,Mikey,knee pain,"An orange portion of a knee, with a red patch over the knee itself and red pain lines radiating from it. on the lower part of the leg is a bandaid and on the upper is a smiley face sticker"
migraine headache meabh.png,Méabh,migraine headache,A ms paint style drawing of the head of a grey person who is wincing in pain. Their right face has a big red spiky area to represent pain.
migraine without aura dusty.png,Dusty,migraine without aura,"A drawing of a person with their hands on their head and cringing, with a crossed out hazard triangle and an arrow pointing to the left above them."
knee pain.png,K9Emote,knee pain,"A light greyscale knee section of a leg, with a red knee and pain lines radiating from it."
migraine with aura dusty.png,Dusty,migraine with aura,"A drawing of a person with their hands on their head and cringing, with a hazard triangle and an arrow pointing to the left above them."
mild migraine.png,Petri,mild migraine,"a drawing of a person holding their hand to their head, frowning with spiral eyes. there are six pink lines going out from their head."
knee pain rover.png,Rover,knee pain,"a simple emoji yellow leg and foot, with the knee red and sharp pain lines around it."
