Image URL,Credit,Caption,Alt text
animal ot.png,Ottertime,animal,a brown paw print
animals pheonix 1.png,Pheonix,animals,"Scattered around an image using dark line art is a light grey elephant head, a black bird or bat in flight, a blue dog and a purple cat in a sitting position, and a green turtle with a brown shell."
animals pheonix 3.png,Pheonix,animals,"Overlapping with the body of a seated blue dog is a purple cat and a green turtle shaped creature.  Peaking out from behind the dog is a green bird, and above are 2 tropical fish, one yellow the other purple. The image has dark line art echoed with white everywhere except around the line art of the fish."
animals crows.png,Crows,animals,"headshot drawings of a ginger tabby, a crow, and a ferret"
animals pheonix 2.png,Pheonix,animals,"Scattered around an image using light line art is a dark grey-brown elephant head, a white bird or bat in flight, a blue dog and a purple cat in a sitting position, and a green turtle with a brown shell."
animals pheonix 4.png,Pheonix,animals,"Overlapping with the body of a seated blue dog is a purple cat and a green turtle shaped creature.  Peaking out from behind the dog is a green bird, and above are 2 tropical fish, one yellow the other purple. The image has light line art echoed with black everywhere except around the line art of the fish."
blue ringed octopus m.png,M,blue-ringed octopus,"a blue-ringed octopus, drawn with black outline."
aardvark m.png,M,aardvark,An aardvark.
alligator vixen.png,Vixen,alligator,"a simple, cartoon-style illustration of a alligator. The gator is green, lying flat on its belly, with its tail stretched out. Its body has a series of triangular spikes along its back, and it has visible white teeth."
bonobo m.png,M,bonobo,"a dark grey bonobo, crouching and facing the right."
angel shark m.png,M,angel shark,An angel shark viewed from above.
american beaver m 1.png,M,American beaver,"a shaded drawing of a squatting American beaver, facing the right, with black lineart."
borzoi 1.png,Tonto,borzoi,the head and shoulders of a borzoi viewed from the front.
bats k9.png,K9,bats,a brown bat and a black bat hanging upside down on a branch.
american beaver m 2.png,M,American beaver,"a non-shaded drawing of a squatting American beaver, facing the right, with black lineart."
breed vixy.png,Vixen,breed,"a red and blue DNA helix, next to it on the bottom right are a big red dog paw print and a small blue cat paw print."
bernese mountain dog.png,Tonto,Bernese mountain dog,"a Bernese mountain dog, drooling slightly."
amphibians sparrow.png,Rory,amphibians,"A brown salamander, a green bullfrog, and a green tree frog."
brown bear.png,M,brown bear,a brown bear.
boar bh.png,Blackholemojis,boar,The side profile of a boar.
Australian shepherd tonto.png,Tonto,Australian shepherd,the head and shoulders of an Australian shepherd dog.
bull stellar.png,Stellar-Symbols,bull,"the grey, horned head of a bull."
bowhead whale m.png,M,bowhead whale,"a bowhead whale from the side, angled upwards."
aye aye m.png,M,aye-aye,an aye-aye positioned vertically.
catfish.png,K9Emote,catfish,a speckled brown and grey catfish with a slightly red tail. The image has a white outline.
blue shark millie.png,Millie,blue shark,A blue shark with three bubbles.
bat alena semi.png,Alena Semi,bat,a brown bat with open wings.
chinchilla m.png,M,chinchilla,a light brown chinchilla facing the right.
bunny k9.png,K9Emote,bunny,A very light brown rabbit fcing the left.
betta fish vixen.png,Vixen,betta fish,"a digital drawing of a vibrant betta fish. The fish has a bright blue body with flowing, fan-like fins and tail. The fins are textured with strokes of purple, blue, and hints of red, giving them a feathery appearance. The fish has a round, expressive eye, and its small mouth is slightly open."
chinchilla dust bath m.png,M,chinchilla after dust bath,"a light brown chinchilla facing the right. there are tiny white speckles covering it, indicating dust."
bunny meabh.png,Méabh,bunny,A brown fluffy rabbit facing the front.
black rain frog.png,Ani,black rain frog,"A simple drawing of a black rain frog standing in some grass. The black rain frog is a small, short, and very round frog species with a very small face and head."
common marmoset petri.png,M,common marmoset,A drawing of a common marmoset monkey.
breed vixy outlined.png,Vixen,breed,"a red and blue DNA helix, next to it on the bottom right are a big red dog paw print and a small blue cat paw print. the whole image is outlined in white"
bottle-tailed squid.png,M,bottle-tailed squid,A drawing of a bottle-tailed squid.
cookiecutter shark.png,M,cookiecutter shark,"a cookiecutter facing to the right with three thiin silver cirles around it, representing cookie cutters."
colt m.png,M,colt,"a thin brown horse foal with black mane and tail, facing the right. to the top left is light blue mars symbol."
borzoi 2.png,Tonto,borzoi,the head and shoulders of a borzoi viewed from the side.
coral Rory.png,Rory,Coral,three pieces of coral. one is composed of pink tube shapes. the next is light blue and resembles a flower. the final coral is a yellow blob shape with orange vertical lines
cookiecutter shark budget.png,Bear,cookiecutter shark,cookie dough blob with a shark shaped imprint and a shark shaped cookie cutter
cape coral snake.png,Blackholemojis,cape coral snake,a cape coral snake flicking its tongue
crab eating fox fractals.png,Fractals,crab eating fox,A drawing of the head of a light grey fox. It has a round face with short rounded ears which are a light orange colour. It has large deep brown eyes with lighter grey fur around it.
cone snail.png,Ani,cone snail,A drawing of a cone snail. The snail has a mostly brown shell but the front and back of the shell have splotches that are grayish white scattered about. The splotches are outlined in an off white color
cavoodle m.png,M,cavoodle / cavapoo,"a cavoodle, its back legs raised higher than its front legs and tail raised. it has mostly cream-colored wool, with brown floppy ears and a large patch of brown on their back. it is walking forwards, looking at the camera."
deer k9.png,K9,deer,the head and shoulders of a dark brown spotted fawn with antlers
do not touch sharks koda.png,Koda,do not touch sharks,"a great white shark in the top left corner swimming to the left, in the bottom right corner is a pinkish-toned hand and ontop is a red X"
cetaceans ottertime.png,Ottertime,cetaceans,"4 different species of animals from the Cetacean family. A grey bottlenose dolphin on top, a white narwhal with blue spots and a white tusk, a black orca with white spots, and a blue whale near the bottom."
don't touch blue ringed octopi m.png,M,don't touch blue-ringed octopi,"a blue-ringed octopus, drawn with black outline. to the left is a yellow hand and a red 'X' below it."
fawn k9 2.png,K9,fawn,the head and shoulders of a dark brown spotted fawn with antler nubs
cod.png,K9Emotes,cod,a cod. The image has a white outline.
echinoderms rory.png,Rory,Echinoderms,"A group of 4 echinoderms, top right is a orange and red sea cucumber, top left is a black sea urchin, bottom left is a pink star fish, and a sand dollar"
ferret.png,Smolmoss,ferret,a ferret with warm brown fur lying in a curve shape
