Image URL,Credit,Caption,Alt text
technology stellar.png,StellarSymbols,technology,"A phone,keyboard, and wired mouse."
ai 5 guys.png,The Five (+) Guys Collective,AI,"a blue brain, covered in lines and circles similar to how computer chips look."
amazon echo zaza.png,Zaza-art,Amazon Echo,simplistic speaker tower similar to an Amazon Echo in shades of green
analog control stick 1.png,Plum,analog / control stick,"A drawing of a directional control stick that might be found on a video game controller. The stick is a dark grey circle with a “stem” at the bottom, protruding from a light grey, hemisphere-shaped base."
ai voice clone dusty.png,Dusty,AI voice clone,"A symbol with a speaking person making sound waves. There is a red arrow pointing from the sound waves to a computer chip, which is making identical soundwaves."
amazon kindle zaza.png,Zaza-art,Amazon Kindle,tablet shape in shades of green with an Amazon logo
arrow buttons plum.png,Koda,arrow buttons,"a white cross with a grey outline. at the top is a grey triangle pointing up, at the bottom is a grey triangle pointing down, and on the left and right are grey triangles pointing left and right"
analog control stick 2.png,Plum,analog / control stick,"A drawing of a directional control stick that might be found on a video game controller, with red four arrows showcasing how the stick can be tilted. The stick is a dark grey circle with a “stem” at the bottom, protruding from a light grey, hemisphere-shaped base."
apk gold.png,goldstargloww,APK file format (Android Package),a green file with the Android logo on it and the label 'APK'
block pheonix.png,Pheonix,block,A grey square with a no symbol. A cursor hovers over it
android phone zaza.png,Zaza-art,android phone,Phone shape in shades of green with a black android symbol
app fractals.png,Fractals,app,a drawing of a generic app symbol. It is a white square with rounded corners and a black outline. in the centre is a blue circle with an arc taken off the top  left corner. A black dot is in the centre and orange lines go across the circle from the middle down.
blog petri.png,Petri,blog,"a digitally drawn emoji of a Tumblr blog. it has a gray background with an orange and purple pyramid default icon. there is an answered anon ask on the blog. there are no readable words, with all text being replaced by scribbles."
android tablet zaza.png,Zaza-art,android tablet,tablet shape in shades of pink with an android logo
apple pencil zaza.png,Zaza-art,Apple Pencil,simplistic apple pencil in shades of yellow
camera talksense.png,TalkSense,camera,a DSLR-type camera.
bmp file format gold.png,goldstargloww,BMP file format (Bitmap),blue file with a stylized generic image on it and the label 'BMP'
apple phone iphone zaza.png,Zaza-art,Apple phone / iPhone,Phone shape in shades of red with an apple logo
cctv.png,M,CCTV,a CCTV camera.
casette.png,Blackholemojis,casette,a cassette tape. It has light and dark purple stripes in the middle part.
bait post petri.png,Petri,bait post,A drawing of a blue box containing a large white speech bubble pointing upwards at a small round profile picture of a plain emoji yellow person. Inside the speech bubble is a large silver fishhook.
charge pheonix 1.png,Pheonix,charge,A yellow lightning bolt has 3 green streaks trailing behind it with dots at the end of each streak. The image has dark line art.
charge pheonix 2.png,Pheonix,charge,A brown lightning bolt outlined in yellow has 3 green streaks trailing behind it with dots at the end of each streak. The image has light line art.
batteries zaza.png,Zaza-art,batteries,three simplistic batteries in shades of pink
chat koda.png,Koda,chat,"a grey square with a darker grey outline that has 3 circles (profile pictures) inside the square on the left. the top one is red, the middle is blue, and the bottom one is green. besides each of the squares is a slightly darker grey box for the text message, the top says “: hey chat <3” in red, the middle message says “: hey !!!!” in blue, and the bottom message says “:just subbed !” in green"
charging cord zaza.png,Zaza-art,charging cord,coiled charging cord in shades of green
b button koda.png,Koda,B button,a white circle with a grey outline and a grey B in the center
computer tower zaza.png,Zaza-art,computer tower,simplistic computer tower in shades of red
controller stellar.png,StellarSymbols,controller,"white video game controller, drawn in simplistic style with thick black outlines"
block bunnsemojis 1.png,bunnsemojis,block,"A red shield in front of a grey phone screen with a vague outline of a social media account on it. The shield has 6 red lines sticking out around it, like action lines showing it's blocking something."
deepfake wolf.png,Wolf,deepfake,"An abstract purple person is standing to the right of the image with a yellow caution sign to the right of their head, and a large speech bubble with a crossed out purple person inside it. Underneath the speech bubble is a red arrow, which points towards a phone screen which shows a purple person on a light gray background, with a red and white play button, indicating a video."
doc file format gold.png,goldstargloww,DOC file format (Word Document),"a blue-tinted white piece of paper with text and the silhouette of an image on it, with a blue label saying 'DOC' in the top left."
block bunnsemojis 2.png,bunnsemojis,block,A red shield in front of a grey phone screen with a vague outline of a social media account on it.
demon core.png,Rover,demon core,"a simple drawing of the so-called demon core, a sphere of plutonium created during the american manhattan nuclear project."
ev 1.png,M,electric vehicle / EV,"a red car with a charging lead coming out from behind it, and three lightning-bolt electricity symbols around the lead."
bluetooth headphones black aerron.png,Aerron,bluetooth headphones (black),A pair of minimally shaded Bluetooth headphones. They are completely black except for a little white light underneath the power button and above the volume controls indicating that the headphones are turned on.
face buttons 2 plum.png,Plum,face buttons,"A drawing of a video game controller, with its “A”, “B”, and (presumably) “start” and “select” face buttons circled in red. The controller doesn’t look like any specific existing brand, but generally looks closer to a “classic” style, or pre-fourth console generation controller. It is mostly a slightly dark purple, with lavender and teal accents. It has an analog stick on the left, a logo of a plum and two small, semi-circle shaped buttons in the middle, and circular “A” and “B” buttons on the right, as well as two visible shoulder buttons, one on each side. The controller has short “thighs” or handles for ergonomics on either side."
earbuds koda.png,Koda,earbuds,a pair of dark colored ear buds in its case. the ear buds have long ends that wrap behind the ears. the case is oval and darker than the earbuds
bluetooth headphones navy aerron.png,Aerron,bluetooth headphones (navy),A pair of minimally shaded Bluetooth headphones. They are completely navy blue except for a little white light underneath the power button and above the volume controls indicating that the headphones are turned on.
gif file format gold.png,goldstargloww,GIF file format (Graphics Interchange Format),blue file with a stylized generic image on it and the label 'GIF'
earbuds zaza.png,Zaza-art,earbuds,pair of Samsung earbuds and pair of airpods in shades of red
bluetooth headphones purple aerron.png,Aerron,bluetooth headphones (purple),A pair of minimally shaded Bluetooth headphones. They are completely purple except for a little white light underneath the power button and above the volume controls indicating that the headphones are turned on.
google home zaza.png,Zaza-art,Google Home,puck shaped speaker similar to a Google Home in shades of red
ear defenders noise cancelling headphones itds green.png,Aerron,ear defenders/noise-cancelling headphones,"A minimally shaded pair of folded up green and black shooting range style ear defenders. They are mostly black, but have light grey metal rods to adjust the positioning and a green plate that holds the foam and faux leather black ear pads."
cellphone stellar.png,StellarSymbols,cellphone,A grey cellphone with a white screen
heated tubing chan.png,C,heated tubing,"a simple drawing of flexible gray CPAP tube with red coils. it has a white port on either side, and small red shapes on either side indicating heat."
ear defenders noise cancelling headphones itds red.png,Aerron,ear defenders/noise-cancelling headphones,"A minimally shaded pair of folded up red and black shooting range style ear defenders. They are mostly black, but have light grey metal rods to adjust the positioning and a red plate that holds the foam and faux leather black ear pads."
charging block zaza.png,Zaza-art,charging block,simplistic pronged charging block in shades of red
headphones zaza.png,Zaza-art,headphones,over ear headphones in shades of green
email address leo.png,Vincent,email address,a red @ symbol with green scribbles next to it. At the end of the symbol is a green dot com.
cc sharealike m.png,M,Creative Commons ShareAlike,"The Creative Commons ShareAlike logo, a black circle with a white backwards C with looping arrow on it."
HTML.png,M,HTML,"a blank html end tag, with the slash blue and the triangular brackets a very dark blue."
exit close rae.png,Rae,exit / close,a cursor points to a red box with a white X
dni t.png,Tonto,DNI,"sheet of white paper with a bullet point list and at the top big writing of the letters D N i, being capital besides i."
keyboard zaza.png,Zaza-art,keyboard,simplistic wired keyboard in shades of green
