Image URL,Credit,Caption,Alt text
boobs aren't inherently feminine ot.png,Ottertime,boobs aren't inherently feminine,"an arrow leading from a yellow chest with boobs to a pink venus symbol, with the arrow having an X on top"
boobs arent sexual ot.png,Ottertime,boobs aren't sexual,an arrow leading from a yellow chest with boobs to a black censor bar with white Xs on top. The arrow has a red X on top
breast m.png,M,breast,"a simplistic yellow torso shape, outlined in black. the area of one breast is coloured red."
chest3.png,Petri,chest,an emoji yellow chest without breasts. it has lots of light brown chest hair and top surgery scars.
chest1 b.png,Petri & M,chest,a dark brown chest without breasts or chest hair.
chest 1ab.png,Petri,chest,an emoji yellow chest with 'inverted t' top surgery scars and brown arm hair.
chest 2u.png,Petri,chest,"an emoji yellow chest with breasts, a pink bra, and brown arm and chest hair."
chest1.png,Petri,chest,an emoji yellow chest without breasts or chest hair.
chest2.png,Petri,chest,"an emoji yellow chest with breasts wearing a pink bra, with a small amount of dark brown hair between the breasts."
chest 1aj.png,Petri,chest,an emoji yellow chest with a small amount of light brown hair between the breasts.
chest4.png,Petri,chest,"an emoji yellow chest with breasts, a pink bra, and light brown arm hair."
chest 1ak.png,Petri,chest,an emoji yellow chest with a small amount of dark brown hair between the breasts.
chest 1ao.png,Petri,chest,an emoji yellow chest with top surgery scars and a small amount of light brown hair between the breasts.
chest 1an.png,Petri,chest,an emoji yellow chest with top surgery scars and a small amount of brown hair between the breasts.
chest 2a.png,Petri,chest,an emoji yellow chest with breasts.
chest 2b.png,Petri,chest,an emoji yellow chest with breasts and light brown arm hair.
chest 2c.png,Petri,chest,an emoji yellow chest with breasts and dark brown arm hair.
chest 1ab green.png,Petri & M,chest,a green chest with 'inverted t' top surgery scars and brown arm hair.
chest gillipop 1.png,Gillipop,chest,an emoji-yellow chest with inverted t top surgery scars and no nipples and a stylistic white outline
chest gillipop 2.png,Gillipop,chest,an emoji-yellow chest with a continuous top surgery scar and nipples and a stylistic white outline
chest gillipop 3.png,Gillipop,chest,an emoji-yellow chest with nipples and a stylistic white outline
chest gillipop 4.png,Gillipop,chest,an emoji-yellow chest with double incision top surgery scars and nipples and a stylistic white outline
continuous top surgery scars gillipop.png,Gillipop,continuous top surgery scars,an emoji-yellow chest with bright blue continuous top surgery scars and nipples and a stylistic white outline
chest m.png,M,chest,"a simplistic yellow torso shape, outlined in black. the area of the chest is coloured red."
keyhole top surgery scars gillipop.png,Gillipop,keyhole top surgery scars,an emoji-yellow chest with bright blue keyhole top surgery scars and nipples and a stylistic white outline
double incision top surgery scars gillipop.png,Gillipop,double incision top surgery scars,an emoji-yellow chest with bright blue double incision top surgery scars and nipples and a stylistic white outline
inverted t top surgery scars gillipop.png,Gillipop,inverted T top surgery scars,an emoji-yellow chest with bright blue inverted T top surgery scars and nipples and a stylistic white outline
men can have boobs too ot.png,Ottertime,men can have boobs too,a proud blue person with boobs and the Mars symbol on their chest. They are surrounded by blue stars and triangles to emphasize their pride and joy.
