Image URL,Credit,Caption,Alt text
place stellar.png,StellarSymbols,place,a red location marker
places stellar.png,StellarSymbols,places,three red location markers
place pheonix.png,Pheonix,place,A brown outline of a house with a roof and a red location pin inside.
everywhere.png,Ani,everywhere,an off white rectangle with six dark green dots spread around connected by a trail of dashed dark green lines.
aquarium vixen.png,Vixen,aquarium,"A big blue aquarium with big colorful fish inside, the floor is grey, and the fish are red, blue and yellow, the whole scene is inside a circle."
animal shelter.png,Vixen,animal shelter,"a cartoon-style dog shelter. The building is brown with a blue roof and a large, rectangular door. There are two windows on the side, and a paw print is displayed prominently on the front. To the right of the building is a grey fenced area."
accessible restroom lady.png,Lady,accessible restroom,"a blue bathroom sign. on the left is the accessible disability icon, a person in a wheelchair who is leaning forward, and on the right is a symbol of a toilet."
aldi.png,M,Aldi,the Aldi Sud logo without text
anywhere pheonix.png,Pheonix,anywhere,a 2D depiction of earth with a grey question mark surrounded by arrows on it
apartment stellar.png,StellarSymbols,apartment,a tall grey apartment building
bakery pheonix 1.png,Pheonix,bakery,"3 bakery items sit in a house-shaped frame. The house outline is an off white color, the roof is brown. Inside the house and nestled together are 3 bakery items. They are,  a croissant, a donut with white frosting, and a loaf of bread. The image has light line art."
bar dusty.png,Dusty,bar,"A brown building with yellow windows and a sign on top. Above it are two pints of beers, clinking together for cheers."
bank stellar.png,StellarSymbols,bank,a grey highrise with an orange dollar sign with two vertical bars on it.
bakery pheonix 2.png,Pheonix,bakery,"3 bakery items sit in a house-shaped frame. The house outline and roof are brown. Inside the house and nestled together are 3 bakery items. They are,  a croissant, a donut with white frosting, and a loaf of bread. The image has dark line art."
casino pheonix 2.png,Pheonix,casino,"3 checkered gambling chips, one red and black, another black and white, the third green and black, sit inside a house-shaped frame, next to a messy stack of 3 yellow and white playing cards. The frame is red with a brown roof. The roof has 4 circles on each side representing lights. They are red and purple. The image has light line art."
beach vixen.png,Vixen,beach,"A bright sandy beach with a big blue ocean and blue sky, in the sand is a red and white umbrella, the whole scene is inside a circle."
cafe vixen.png,Vixen,café,"the inside of a café, there is brown walls, a blue floor, and brown tables lining the walls, on the table on the left there is a cup of coffee in a white mug and a brown stool close by, and on the center of the table on the right there is a white circle logo with a blue mug of hot coffee inside, the whole scene is inside a circle."
city stellar.png,StellarSymbols,city,grey silhouetted highrises
building stellar.png,StellarSymbols,building,a grey square building with a prymidal roof and a door.
concert.png,Plum,concert,"A drawing of a teal person on a stage lit with a spotlight singing into a microphone. There is a crowd around the stage, with one yellow person cheering"
convention m.png,M,convention,"a purple building with an open door and a big sparkly banner. in front of it are three smiling people, all with purple accessories: someone with mammal ears and a tail, someone with an AAC device, and a wheelchair user in a blue and pink costume holding a green lightsaber."
bus stop stellar.png,StellarSymbols,bus stop,a grey bus next to a circular roadsign.
bank vixen.png,Vixen,bank,"a grey government building with gold coins scattered on each side, there's a dollar sign logo at the top inside a circle, the whole scene is inside a circle."
crosswalk stellar.png,StellarSymbols,crosswalk,A simple yellow figure walking across three white stripes from right to left.
capital city rae.png,Rae,capital city,n earth like planet with a circled yellow star on one land mass
downstairs 2 speakupsymbols.png,SpeakUpSymbols,downstairs,"a red staircase with 5 steps. the staircase has a darker red outline. next to the staircase is a blue arrow, pointing downwards."
doctors'.png,Blackholemojis,doctors',"A white building with some bushes around it and a Red Cross sign on the top of it, in front and to the side of a large grey location symbol."
casino pheonix 1.png,Pheonix,casino,"3 checkered gambling chips, one red and white, another white and black, the third green and white, sit inside a house-shaped frame, next to a messy stack of 3 yellow and black playing cards. The frame is brown with a yellow roof. The roof has 4 circles on each side representing lights. They are red and purple. The image has dark line art."
dublin m 2.png,M,Dublin,"Shape of the island of Ireland, with the Republic of Ireland coloured in green and Nothern Ireland coloured in orange, with a yellow star over the location of Dublin."
dublin m 3.png,M,Dublin,"Shape of the island of Ireland, coloured in green, with a yellow star over the location of Dublin."
church stellar.png,StellarSymbols,church,a grey church shape with a white cross on it
family restroom lady.png,Lady,family restroom,"a blue bathroom sign, on the left is a symbol of a child holding the hand of the gender neutral bathroom symbol, on their right is a symbol of a toilet"
errands.png,Blackholemojis,errands,"A to-do list with several boxes in front of the location symbol, some of them checked off with a red checkmark."
day centre speakupsymbols.png,Speakupsymbols,day centre,a white building with a pointed purple roof. the building has a large yellow sun drawn in front of it
gender neutral restroom vixen.png,Vixen,gender neutral / no gender restroom,a sign for a gender-neutral restroom. It has a blue background with a white stick figure of a person with half a skirt on the right side and not on the left and the word 'Restroom' written below it
gender neutral restroom lady.png,Lady,gender-neutral restroom,a blue bathroom sign featuring a symbol of a person that is half the symbol for woman and half the symbol for man. on their right is a symbol of a toilet.
desert talksense.png,TalkSense,desert,a sand dune landscape.
global south chrome.png,cytochrome-sea,Global South,A globe with the Southern Hemisphere highlighted in yellow.
grocery store vixen.png,Vixen,grocery store,"a grocery store scene with a shopping cart, tables and rows of produce, the whole scene is inside a circle."
downstairs 1 speakupsymbols.png,SpeakUpSymbols,downstairs,"a blue staircase with 5 steps. the staircase has a darker blue outline. next to the staircase is a red arrow, pointing downwards."
group home chrome.png,cytochrome-sea,group home,image of some animals in a yellow house with a red roof with a disability flag on it
house stellar.png,StellarSymbols,house,a simple two-storey brown house with a chimney
dublin m 1.png,M,Dublin,"Green shape of the Republic of Ireland, with a yellow star over the location of Dublin."
hotel zaza.png,Zaza-art,hotel,a perspective drawing of a tall orange building on a green lawn. There are orange cars on a round darker green driveway. Above the drawing is a orange sign with green lettering 'HOTEL'
library stellar.png,StellarSymbols,library,a grey highrise with an open book on it.
everywhere pheonix.png,Pheonix,everywhere,a 2D depiction of earth 5 grey arrows pointing out in a circle over it.
intersection rae.png,Rae,intersection,two roads that meet in a sort of cross shape. They’re viewed from above
library rae.png,Rae,library,"symbol of a grey building with a green door, light yellow pillars, and a sign shaped like a giant dark blue book"
garden stellar.png,StellarSymbols,garden,a rectangle of green grass with many flowers
island rae.png,Rae,island,a small cartoony island with a palm tree on it
motel zaza.png,Zaza-art,motel,a perspective drawing of a short building on a green lawn. There is several orange cars on a darker green parking lot. Above the drawing is a orange sign with green lettering 'MOTEL'
garden gardening rae.png,Rae,garden / gardening,a pink box with heart shaped flowers
isle m.png,M,isle,"A green shape, outlined in black. around it is light yellow representing sand. around that is blue representing water"
parents' house 3.png,Blackholemojis,parent's house,"A blueish purple house with a genealogy chart overlaid on it. The chart extends beyond the house, so the child is outside the house while the three parents are in it."
global north chrome.png,cytochrome-sea,Global North,A globe with the Northern Hemisphere highlighted in yellow.
library pheonix 1.png,Pheonix,library,There are 2 shelves filled with books of various colors inside a brown house-shaped frame with a thick roof. At the peak of the roof is an open book with a purple cover. The pages face forward and have brown horizontal lines representing text on them. The image has dark line art.
meanjin m.png,M,Meanjin / Brisbane,"a dull blue shape of the Australian state of Queensland, with a golden star in the bottom-right corner, the location of the state capital of Meanjin/Brisbane."
gym pheonix 1.png,Pheonix,gym,A grey dumbbell sits inside a blue house-shaped frame with thick roof. The image has dark line art.
library pheonix 2.png,Pheonix,library,There are 2 shelves filled with books of various colors inside an off white house-shaped frame with a brown roof. At the peak of the roof is an open book with a purple cover. The pages are brown and face forward with horizontal lines representing text on them. The image has light line art.
mosque stellar.png,StellarSymbols,mosque,a grey mosque shape with a white star and crescent on it
gym pheonix 2.png,Pheonix,gym,A grey dumbbell sits inside a blue house-shaped frame with thick roof. The image has light line art.
liverpool comet.png,Comet,liverpool,"a green shape outlining the city of liverpool, with liverpool's liver bird on its white shield"
playground.png,TalkSense,playground,a swingset and an orange roundabout ride.
local pheonix 1.png,Pheonix,local,A black outline of a house has a pink and yellow shingled roof and a purple location pin inside it. Around its base is a circular area of green that looks perhaps like a lawn. The image has black line art.
nowhere pheonix.png,Pheonix,nowhere,a 2D depiction of earth with a grey X over it.
portsmouth comet.png,Comet,portsmouth,"a green shape outlining the city of portsmouth, with an 8 point estoile with a crescent on its blue shield"
local pheonix 2.png,Pheonix,local,A white outline of a house has a pink and yellow shingled roof and a purple location pin inside it. Around its base is a circular area of green that looks perhaps like a lawn. The image has white line art.
off leash area wolf.png,Wolf,off leash area,"A nondescript brown dog's head with floppy ears. There's a dark indigo leash with a gray clip above  it, and a red X over top the leash."
prison chrome.png,cytochrome-sea,prison,image of a gray prison with a watchtower and barbed wire
location pheonix 1.png,Pheonix,location,an image of a floating landmass with a red location pin on the top of it. The landmass has a  flat green top and spiky grey bottom
outside bh.png,Blackholemojis,outside,"a circular symbol depicting a nature path with trees, clouds, bushes, and grass."
pub dusty.png,Dusty,pub,A brown building with yellow windows and a sign on top. Above it is a glass of beer and a pile of chicken wings with a cup of sauce.
location pheonix 2.png,Pheonix,location,an image of a floating landmass with a blue location pin on the top of it. The landmass has a  flat green top and spiky grey bottom
mens restroom vixen.png,Vixen,mens' restroom,a sign for the mens restroom. It has a blue background with a white stick figure of a person with legs and the word 'Restroom' written below it.
renaissance festival ot.png,Ottertime,Renaissance festival,"a tan horse in a Medieval style blanket next to a grey castle tower and a red and white tent, which has a red flag with a white cross and yellow lion like beast on it."
merseyside comet.png,Comet,Merseyside,"a green shape outlining the english county of merseyside, with the county's official flag"
Mine.png,Rae,mine,"the entrance to a mine, with a dark brown path leading into the depths and a tiny lantern hanging from the ceiling."
upstairs speakupsymbols 1.png,SpeakUpSymbols,upstairs,"a blue staircase with 5 steps. the staircase has a darker blue outline. next to the staircase is a red arrow, pointing upwards."
on leash area wolf.png,Wolf,on leash area,"A nondescript brown dog's head with floppy ears. There's a dark indigo leash with a gray clip above  it, and a green check mark over it."
museum.png,Ani,museum,a marble building in the style of an ancient Greek building. It has four pillars and a triangular roof. On the front of the roof is a gold seal with a feather in the middle.
upstairs speakupsymbols 2.png,SpeakUpSymbols,upstairs,"a red staircase with 5 steps. the staircase has a darker red outline. next to the staircase is a blue arrow, pointing upwards."
parent's house.png,Blackholemojis,parent's house,"A blueish purple house with a genealogy chart overlaid on it. The chart extends beyond the house, so the child is outside the house while the sole parent is in it."
nature park.jpg,Esrah,nature park,the entrance to a forested nature park. It has a large descriptive sign and a gravel trail.
urban dusty.png,Dusty,urban,"A target with a pale green center, and a gray middle and outside. There are three gray skyscrapers coming up from the center."
playground park vixen.png,Vixen,playground / park,"A red swingset, A yellow and blue slide, and a Red, Blue and Yellow see-saw are on brown turf among the grass, the whole scene is inside a circle."
