Image URL,Credit,Caption,Alt text
504 2 fg.png,froggygolem,504,a blue sheet of paper with three bullet points with down arrows between them with a gray circle at the top.
academy pheonix 1.png,Pheonix,academy,a brown house shape with two smaller roofs on each side of the main roof. inside the house shape is a blue book opened up and a black graduation cap above the book. The image has darker line art.
504 1 fg.png,froggygolem,504,a blue sheet of paper with three bullet points with down arrows between them that says 504 at the top.
associate's degree.png,M,associate's degree,A piece of paper with one short black stripe near the top. above it is a mortarboard with a black tassel.
academy pheonix 2.png,Pheonix,academy,a brown house shape with two smaller roofs on each side of the main roof. inside the house shape is a blue book wit brown pages opened up and a grey graduation cap above the book. The image has light line art.
504 plan fg.png,froggygolem,504 plan,a blue sheet of paper that says 504 with three bullet points with down arrows between them. On the bottom corner of the image is a brown house shape containing three head that are blue green and purple. Above the heads is a combination speech and thought bubble with colored basic shapes in it.
campus pheonix 1.png,Pheonix,campus,"a blue house shape with a black graduation cap inside it outlined in black. infront of the blue house are two small purple houses, one on each side, under the houses. The image has dark line art."
bachelors degree.png,M,bachelor's degree,A piece of paper with one black stripe. above it is a mortarboard with a black tassel.
ap language class meowing.png,meowing-emojis,AP language class,A school desk with a blue book and the letters 'AP'.
campus pheonix 2.png,Pheonix,campus,"a blue house shape with a grey graduation cap inside it outlined in white. infront of the blue house is two small purple houses, one on each side. and green under the houses. The image has light line art."
biology class meowing.png,meowing-emojis,biology class,A school desk with a cell.
art class meowing.png,meowing-emojis,art class,a school desk and a paint palette with a paintbrush.
campus.png,M,campus,"A dot above a large book inside a stone entrance arch, on grass."
chalkboard legless rat.png,legless rat,chalkboard,a dark green board with white scribbles and shapes and underneath it is 3 sticks of chalk
catholic school.png,M,Catholic school,A school building with a mortarboard (graduation cap) behind it.  Above and to the right of the building is the Papal seal.
class ot.png,Ottertime,class,a green Chalk board with a brown Chalk holder and white squiggly lines representing sentences behind a blue textbook with white pages and blue squiggly lines representing words
citation.png,M,citation,A sheet of paper with scribbles representing text. To the right of ones of the lines of scribble is a bright green sparkle within squaare brackets.
class pheonix 1.png,Pheonix,class,"a light blue circle surrounding 3 people on the bottom, from left to right darker green skin and lighter green outlines, brown skin and yellow outlines, purple skin and lighter purple outlines. Above those is a grey graduation cap with white outline"
