Image URL,Credit,Caption,Alt text
Feel pheonix.png,Pheonix,feel,"white circle with a greenish blue heart in the middle with a question mark on it, their is a dark green border around the white circle, between the green and white is a dotted line, and around the heart is a black solid line."
feel 1.png,Pheonix,feel,"yellow heart with question mark in front on white circle in front of blue circle, dashed line goes between the white and blue"
feel chrome.png,cytochrome-sea,feel,image of a blue dog holding a pink heart on its chest
feel petri 1.png,Petri,feel,"three faces next to each other, with one looking left, one looking right, and one looking forwards. the face on the left is sad, the one on the right is happy, and the one in the middle is neutral. it's colored yellow, with black lineart."
feel petri 3.png,Petri,feel,"three faces next to each other, with one looking left, one looking right, and one looking forwards. the face on the left is sad, the one on the right is happy, and the one in the middle is neutral. the face on the left has brown skin and short purple hair with silver face piercings. the one in the middle has brown skin, shaved hair, an eye droop, and a septum piercing. the one on the right has pale skin, is wearing a blue veil with two tails, and freckles."
i feel neon 3.png,"Neon, adapted from froggygolem",I feel,"A drawing of a faceless person with pure white skin holding a heart that is broken into four segments, top left blue, top right red, bottom left green, and bottom right yellow."
feel petri 2.png,Petri,feel,"three faces next to each other, with one looking left, one looking right, and one looking forwards. the face on the left is sad, the one on the right is happy, and the one in the middle is neutral. it's colored yellow, with brown lineart."
feel dusty.png,Dusty,feel,"Four faces, one red angry face, one yellow happy face, one blue sad face, and one gray neutral face."
adore bunnsemojis.png,bunnsemojis,adore,A pink face has an open mouth smile while having brighter pink heart eyes with a shine on them.
i feel neon 1.png,"Neon, adapted from froggygolem",I feel,"A drawing of a faceless person with blue skin holding a heart that is broken into four segments, top left blue, top right red, bottom left green, and bottom right yellow."
i feel neon 2.png,"Neon, adapted from froggygolem",I feel,"A drawing of a faceless person with yellow skin holding a heart that is broken into four segments, top left blue, top right red, bottom left green, and bottom right yellow."
admiring.png,Blackholemojis,admiring,"two figures pictured from the shoulders up, viewed from the side. The one on the right is cupping the one on the left’s jaw, and looking at them with wide eyes and a smile. There are blue stars, dots, and exclamation points surrounding them. The person on the left has a somewhat surprised but neutral face."
Afraid.png,StellarSymbols,afraid,an emoji afraid face
affection.png,Neon,affection,"One person hugging another tightly and giving them a kiss on the cheek. The other wraps their arm around the first’s shoulders, and pushes back against their face playfully with one hand."
angry crows violet.png,Crows,angry,A drawing of a purple emoji-person with and angry expression
afraid of change chrome.png,cytochrome-sea,afraid of change,"a blue dog looks afraid at a red delta, the greek symbol for change"
amazed krow.png,Krow,amazed,"an emoji yellow face with a white open mouth, stars for eyes, and a small star coming from their head"
angry enraged plum 1.png,Plum,angry / enraged,A very angry emoji with a cartoonishly red/flushed face. They glare off to the right with their eyes narrowed and teeth grit.
amazed crows gold.png,Crows,amazed,An emoji yellow person with an amazed expression.
angry m.png,M,angry,"a round red face with a frown, orange eyes, and open dark red mouth."
angry enraged plum 2.png,Plum,angry / enraged,A very angry yellow emoji. They glare off to the right with their eyes narrowed and teeth grit.
bluescreen plum.png,Plum,bluescreen,"A drawing of a yellow, emoji-like face with a very cartoonish blank, confused expression. Their thoughts are represented by a thought bubble filled with a recreation of a computer’s fatal error screen, with the whole thing colored royal blue and a heading reading “ERROR” in the center above some white scribbles standing in for text. Three red question marks appear above the face’s forehead, partially obscuring their thought bubble."
anxiety ot.png,Ottertime,anxiety,"A drawing of a cartoony dark magenta rabbit with a distressed, petrified expression. A bunch of tiny pink and purple scalloped lines surround the rabbit in a circle, giving the impression that it’s in the middle of a cloud. The rabbit’s eyes are drawn as white dots and it has floppy ears and a white tail."
anticipatory grief m.png,M,anticipatory grief,"an arrow, slowly turning from yellow to black, points towards a clock. below, a yellow figure kneels in grass in front of a grave, crying and covering their face."
blue zone plum 1.png,Plum,blue zone,"A drawing of a blue square with three blue emoji-like faces and a single raincloud in front of it, representing the blue zone. One face is a pale, desaturated blue and looks very tired or drained. One is turquoise and crying, upset. One is a darker indigo, and looks bored, cupping their face with their hand and frowning. Some glowy decorate lines are to the left of this. Above everything is a light grey shape in the top left corner with a symbol representing the zones of regulation as a whole, which is a red, yellow, green, and blue rainbow with corresponding faces below, clarifying that the symbol is relating to the zones of regulation. To the right of this is a green heart with symbols of a recharging battery and two people hugging in front of it, showcasing ways to regulate while in the blue zone. A few more glowy lines emphasize the heart"
apathetic rayin.png,Rayin,apathetic,"A yellow face with orange blush and sparkling brown eyes showing a blank, apathetic expression."
ashamed chrome.png,cytochrome-sea,ashamed,a yellow hand pointing to the right on top of a spiky red and yellow shape next to a red dog looking embarrassed.
bored fever.png,Bear,bored,a yellow-orange person with a red nose and a bored expression
big emotions chrome.png,cytochrome-sea,big emotions,"a blue dog holds strings to three very large balloons, one of them is red with an angry face, one of them is blue with a sad face and one of them is yellow with a happy face."
bored.png,M,bored,"a person with light skin, glasses, brown hair in a ponytail, and a green tshirt. they sit with their eyes shut, leaning against one hand. in front of them is an orange circle with three dots in it"
boredom.png,M,boredom,"a person with light skin, glasses, brown hair in a ponytail, and a green tshirt. they sit with their eyes shut, leaning against one hand. in front of them is a blue circle with three dots in it"
