Image URL,Credit,Caption,Alt text
so petri 1.png,Petri,so,"a drawing of a light blue circle, with a large pink sideways S over top of it, with the middle of the S intersecting the centre of the circle."
so petri 2.png,Petri,so,"a drawing of a white circle, with a large black sideways S underneath it, with the middle of the S intersecting the centre of the circle."
so petri 3.png,Petri,so,"a drawing of a white circle, with a large black sideways S over top of it, with the middle of the S intersecting the centre of the circle."
so petri 4.png,Petri,so,"a drawing of a light green circle, with a large green sideways S over top of it, with the middle of the S intersecting the centre of the circle."
so petri 5.png,Petri,so,"a drawing of a light green circle, with a large green sideways S underneath it, with the middle of the S intersecting the centre of the circle."
so petri 6.png,Petri,so,"a drawing of a light blue circle, with a large pink sideways S underneath it, with the middle of the S intersecting the centre of the circle."
so petri 7.png,Petri,so,"a drawing of a pink circle, with a large blue sideways S underneath it, with the middle of the S intersecting the centre of the circle."
so petri 8.png,Petri,so,"a drawing of a pink circle, with a large blue sideways S over top of it, with the middle of the S intersecting the centre of the circle."
so petri 9.png,Petri,so,"a drawing of a light blue circle, with a large pink sideways S over top of it, with the middle of the S intersecting the centre of the circle. the lines are thick."
so petri 10.png,Petri,so,"a drawing of a white circle, with a large black sideways S underneath it, with the middle of the S intersecting the centre of the circle. the lines are thick."
so petri 11.png,Petri,so,"a drawing of a white circle, with a large black sideways S over top of it, with the middle of the S intersecting the centre of the circle. the lines are thick."
so petri 12.png,Petri,so,"a drawing of a light green circle, with a large green sideways S under it, with the middle of the S intersecting the centre of the circle. the lines are thick."
so petri 13.png,Petri,so,"a drawing of a light green circle, with a large green sideways S over top of it, with the middle of the S intersecting the centre of the circle. the lines are thick."
so petri 14.png,Petri,so,"a drawing of a light blue circle, with a large pink sideways S underneath it, with the middle of the S intersecting the centre of the circle. the lines are thick."
so petri 15.png,Petri,so,"a drawing of a pink circle, with a large blue sideways S underneath it, with the middle of the S intersecting the centre of the circle. the lines are thick."
so petri 16.png,Petri,so,"a drawing of a pink circle, with a large blue sideways S on top of it, with the middle of the S intersecting the centre of the circle. the lines are thick."
