Image URL,Credit,Caption,Alt text
at koda.png,Koda,@,an at symbol in teal with a darker outline.
semicolon koda.png,Koda,;,a semicolon in teal with a darker outline.
hyphen koda.png,Koda,-,a hyphen symbol in teal with a darker outline.
colon koda.png,Koda,:,a colon symbol in teal with a darker outline.
asterisk koda.png,Koda,*,an asterisk in teal with a darker outline.
hashtag koda.png,Koda,#,a hashtag or pound symbol in teal with a darker outline.
up arrow koda.png,Koda,^,an up arrow symbol in teal with a darker outline.
period koda.png,Koda,.,a period in teal with a darker outline
comma koda.png,Koda,",",an apostrophe in teal with a darker outline
apostrophe koda.png,Koda,’,an apostrophe in teal with a darker outline
exclamation mark koda.png,Koda,!,an exclamation mark in teal with a darker outline
ampersand koda.png,Koda,&,an ampersand in teal with a darker outline
question mark koda.png,Koda,?,a question mark in teal with a darker outline
tilde light blue mikey.png,Mikey,~ (light blue),a light blue tilde.
tilde blue mikey.png,Mikey,~ (blue),a blue tilde.
tilde orange mikey.png,Mikey,~ (orange),an orange tilde.
ampersand m.png,M,ampersand,a blue ampersand that looks like the Latin word 'et'.
at.png,Blackholemojis,at,an at symbol.
ampersand.png,Blackholemojis,ampersand,an ampersand.
asterisk.png,Blackholemojis,asterisk,an asterisk.
comma 2 pheonix.png,Pheonix,comma,a large comma outlined in black. The inside of the comma grades from blue to green.
comma 1 pheonix.png,Pheonix,comma,a large comma outlined in black with black scribbles on either side. the inside of the comma is a gradient from blue to green.
bold text end wolf.png,Wolf,bold text end,"A black squiggle to the left, indicating text, and a large, bolded, blue exclamation mark with red emphasis marks above and below."
emphasis end wolf.png,Wolf,emphasis end,"A black squiggle to the left, indicating text, and a large blue exclamation mark with red emphasis marks above and below to the right."
em dash.png,M,em dash (—),a blue em dash.
bold text start wolf.png,Wolf,bold text start,"A large, bolded, blue exclamation mark with yellow emphasis marks above and below, and a black squiggle to the right, indicating text."
bracket3.png,Blackholemojis,open square bracket,an open square bracket.
equals.png,Blackholemojis,equals,an equals sign.
bracket2.png,Blackholemojis,close bracket,a closed round bracket.
dash.png,Blackholemojis,dash,a dash.
exclamation mark pheonix 1.png,Pheonix,exclamation mark,"an exclamation mark with a black outline and an interior that grades from purple to yellow, sits behind a black scribble."
comma.png,Blackholemojis,comma,a comma.
percent.png,Blackholemojis,percent,a percent sign.
italics start wolf.png,Wolf,italics start,"A large, italicized, blue exclamation mark with yellow emphasis marks above and below, a green curve to the left indicating the tilt, and a black squiggle to the right, indicating text."
emphasis start wolf.png,Wolf,emphasis start,"A large blue exclamation mark with yellow emphasis marks above and below, with a black squiggle to the right, indicating text."
period 1 pheonix.png,Pheonix,period,a circle with a black outline and purple to orange gradient with a black scribble in front of it.
italics end wolf.png,Wolf,italics end,"A black squiggle to the left, indicating text, and a large, italicized, blue exclamation mark with red emphasis marks above and below, and a green curve to the left of the exclamation mark, indicating the tilt."
en dash.png,M,en dash (-),a blue en dash.
question mark pheonix 2.png,Pheonix,question mark,a question mark outlined in black with a blue to green gradient.
bracket1.png,Blackholemojis,open bracket,an open round bracket.
exclamation mark pheonix 2.png,Pheonix,exclamation mark,an exclamation mark with a black outline and an interior that grades from purple to yellow
slash.png,Blackholemojis,slash,a forward slash.
ampersand.png,Blackholemojis,ampersand,an ampersand.
full stop.png,Blackholemojis,full stop,a full stop.
tilde.png,M,tilde,a blue tilde.
plus.png,Blackholemojis,plus,a plus symbol.
period 2 pheonix.png,Pheonix,period,a circle with a black outline and purple to orange gradient.
question mark pink dusty.png,Dusty,question mark,a pink question mark with black outline.
question mark pheonix 1.png,Pheonix,question mark,a question mark outlined in black with a blue to green gradient with a black scribble in front of it.
question mark.png,Blackholemojis,question mark,a question mark.
question mark plum.png,Plum,question mark,"A hand-drawn teal question mark done in block lettering style. It has some subtle, textured shading, and a uniform pale-blue outline on the outside."
question mark red dusty.png,Dusty,question mark,a red question mark with black outline.
question mark green dusty.png,Dusty,question mark,a green question mark with black outline.
question mark gray dusty.png,Dusty,question mark,a gray question mark with black outline.
question mark orange dusty.png,Dusty,question mark,an orange question mark with black outline.
question mark blue dusty.png,Dusty,question mark,a blue question mark with black outline.
question mark white dusty.png,Dusty,question mark,a white question mark with gray outline.
question mark yellow dusty.png,Dusty,question mark,a yellow question mark with black outline.
question mark purple dusty.png,Dusty,question mark,a purple question mark with black outline.
sarcmark m 1.png,M,SarcMark,"a bright blue SarcMark, a punctuation mark that looks like a wavy exclamation mark and is designed to denote sarcasm, with a black outline."
umlaut rae.png,Rae,umlaut,a pale yellow O with a very dark brown umlaut over it.
sarcmark m 2.png,M,SarcMark,"a solid black SarcMark, a punctuation mark that looks like a wavy exclamation mark and is designed to denote sarcasm."
