Image URL,Credit,Caption,Alt text
positions ee.png,Eldritch-Emojis,positions,"a red up arrow, orange down arrow, yellow right arrow, and a green left arrow."
above2.png,Petri,above,A drawing of a pink line with a filled-in circle above it.
above3.png,Petri,above,A drawing of a pink line with an eye above it.
aboard pheonix.png,Pheonix,aboard,a blue arrow travels up then curves to point straight down at a platform. Next to the arrow on the platform is a green figure.
above stellar.png,StellarSymbols,above,A red horizontal line with a red square above it.
above pheonix.png,Pheonix,above,"A blue ball sits above a table, a pinkish arrow points to it."
above1.png,Petri,above,"A drawing of a pink line, which has a filled-in circle above it and a hollow circle beneath it."
against pheonix 1.png,Pheonix,against,An image with dark line art shows a long round purple shape leaning against a long round green shape. A blue arrow points at the space they touch. There are a few emphasis lines and some sparkles around the tip of the arrow nestled into the angle the shapes create.
along pheonix 1.png,Pheonix,along,"a curvy dark purple arrow sits next to a line of organic shapes reminiscent of a stone path. Half of the shapes are purple, the other half are blue."
across pheonix 1.png,Pheonix,across,"an image with dark line art shows a gradient, blue to purple, curved arrow pointing over an organic shape. The shape is rounded, long, and a dark blue color, but slightly lighter at one end. In the background is a slight green shade centered behind where the arrow travels across the shape."
against pheonix 2.png,Pheonix,against,An image with bright line art shows a long round purple shape leaning against a long round green shape. A blue arrow points at the space they touch. There are a few emphasis lines and some sparkles around the tip of the arrow nestled into the angle the shapes create.
along pheonix 2.png,Pheonix,along,a curvy dark purple arrow sits next to a line of organic shapes reminiscent of a stone path. The shapes consist of various desaturated hues.
across pheonix 2.png,Pheonix,across,"an image with light line art shows a gradient, blue to purple, curved arrow pointing over an organic shape. The shape is rounded, long, and a blue to dark blue gradient color."
against talksense.png,TalkSense,against,a basketball bouncing against a brick wall
along pheonix 3.png,Pheonix,along,"a curvy off white arrow sits next to a line of organic shapes reminiscent of a stone path. Half of the shapes are purple, the other half are blue."
across talksense.png,TalkSense,across,A basketball rolling across a bridge.
around pheonix.png,Pheonix,around,A purple arrow travels around a grey circle to point at its end.
along pheonix 4.png,Pheonix,along,a curvy or white arrow sits next to a line of organic shapes reminiscent of a stone path. The shapes consist of various dark hues.
among pheonix.png,Pheonix,among,a blue circle sits in the center of a collection of pink circles. A purple arrow points down at the blue circle.
backwards dusty 3.png,Dusty,backwards,"A fat yellow person walking with an arrow behind them, pointing behind them."
among talksense.png,TalkSense,among,a basketball in the middle of a group of soccer balls
backwards dusty 1.png,Dusty,backwards,"A thin yellow person walking with an arrow behind them, pointing behind them."
backwards dusty 4.png,Dusty,backwards,"A fat yellow person with a red AAC tablet on a shoulder strap walking with an arrow behind them, pointing behind them."
around m.png,M,around,"a tree with a blue line wrapping around it, like a circle but doubling over slightly at the bottom left"
backwards dusty 2.png,Dusty,backwards,"A thin yellow person with a red AAC tablet on a shoulder strap walking with an arrow behind them, pointing behind them."
behind_arrows.png,Petri,behind,A drawing of a green rectangle with a large pink circle behind it. There are dark pink arrows pointing to where the circle is visible.
aside dusty 1.png,Dusty,aside,"A yellow person with their hands on a red box, stacked on a table. There is a red arrow that starts from the box and moves to the side, then turns to point down at the table."
apart stellar.png,StellarSymbols,apart,two red puzzle pieces not joined together
behind rayin.png,Rayin,behind,a red rectangle with a darker red outline. there’s a yellow person with brown eyes and a green shirt peaking out from behind it to the right
aside dusty 2.png,Dusty,aside,"A yellow hand sweeping several black dots away from a larger group of black dots, with a red arrow over the top of the hand, pointing in the direction of the smaller group."
behind.png,Petri,behind,A drawing of a green rectangle with a large pink circle behind it.
below pheonix.png,Pheonix,below,"a blue circle sits under a table, a slightly curved pink arrow points at it from the side."
away pheonix.png,Pheonix,away,"An arrow travels in an arc to points at a small purple cube. The arrow starts wide and becomes narrow, it also has a blue to green gradient. This gives the effect of the arrow being near but then traveling away to point at a purple cube off in the distance"
behind pheonix 3.png,Pheonix,behind,An image with light line art shows a green circle sitting in front of a blue circle cutting of its corner. A curved blue arrow points from the green arrow around to the blue circle.
below_eye.png,Petri,below,A drawing of a pink line with an eye below it.
back fg.png,froggygolem,back,a dark blue arrow pointing left inside a blue circle.
behind pheonix 4.png,Pheonix,behind,An image with light line art shows a green circle sitting in front of a purple circle cutting of its corner. A curved purple arrow points from the green arrow around to the blue circle.
beneath pheonix.png,Pheonix,beneath,"a blue circle sits under a table, a purple arrow, also beneath the table, points at it from above."
back pheonix 1.png,Pheonix,back,"an image with dark line art shows a purple cube with an arrow near its base. It travels front to back on a slight diagonal, and narrows as it moves back."
below_2.png,Petri,below,A drawing of a pink line with a filled-in circle below it.
bottom matrix.png,Matrix,bottom,a dark pink arrow pointing at the bottom of a light pink rectangle
back pheonix 2.png,Pheonix,back,"an image with light line art shows a purple cube with an arrow near its base. It travels front to back on a slight diagonal, and narrows as it moves back."
beside pheonix.png,Pheonix,beside,A purple circle with a line beneath it has a blue arrow coming from it pointing to a second line beside the other.
Cardinal Directions Ani.png,Ani,Cardinal Directions,"A drawing of the face of a compass. The face of the compass has four large red spikes protruding from a blue circle as well as four smaller lighter red spikes each positioned between the large spikes. Each of the large spikes has a letter above it the letters are movinge clockwise N for north, E for East, S for South, and W for west"
behind pheonix 1.png,Pheonix,behind,An image with dark line art shows a green circle sitting in front of a blue circle cutting of its corner. A curved blue arrow points from the green arrow around to the blue circle.
between pheonix.png,Pheonix,between,"a light grey circle and a dark grey circle sit above dark grey lines. Between them is a purple line and a blue arrow pointing down at it, the arrow is a T shape with a curved top. The horizontal curve sits by each of the circles."
close pheonix.png,Pheonix,close,"two large purple cubes sit near each other, 2 black arrows sit above them and point towards each other."
behind pheonix 2.png,Pheonix,behind,An image with dark line art shows a green circle sitting in front of a purple circle cutting of its corner. A curved purple arrow points from the green arrow around to the blue circle.
beyond pheonix 1.png,Pheonix,beyond,"An image with dark line art shows a slate colored mountain with a curved arrow grading from pink to yellow pointing past the mountain. The arrow is outlined in the slate color with an additional white outline around that. There are brown sparkles scattered around the image, which is contained in a brown circle. There is a subtle purple color nestled between the arrow and the mountain, and a slight blue tint in the background below the arrow."
down dusty.png,Dusty,down,A red arrow pointing down.
below stellar.png,StellarSymbols,below,A red horizontal line with a red square below it.
beyond pheonix 2.png,Pheonix,beyond,"An image with light line art shows a slate colored mountain with a curved arrow grading from orange to purple pointing past the mountain. The arrow has a black outline around the first light one. There are sparkles scattered around the image, which is contained in a brown circle. There is a subtle purple color nestled between the arrow and the mountain, and a slight blue tint in the background below the arrow."
forward pheonix 1.png,Pheonix,forward,an image with dark line art shows a big blue arrow with a wide base.Around the base are 4 green rectangles standing upright.
below_1.png,Petri,below,"A drawing of a pink line, which has a hollow circle above it and a filled-in circle beneath it."
cardinal directions pheonix 1.png,Pheonix,cardinal directions,"a grey compass rose with a black outline, above it is a light blue circle, below an orange one, and both have black outlines. To the left is an Image representing a sunset, and to the right a sunrise."
forward pheonix 2.png,Pheonix,forward,an image with light line art shows a big blue arrow with a wide base.Around the base are 4 green rectangles standing upright.
beyond talksense.png,TalkSense,beyond,a basketball behind a hill
cardinal directions pheonix 2.png,Pheonix,cardinal directions,"a grey compass rose, above it is a light blue circle, below an orange one, and both have black outlines. To the left is an Image representing a sunset, and to the right a sunrise. All elements in the image are outlined in white."
here fg.png,froggygolem,here,a red you are here marker on a big dark red X
bottom rayin.png,Rayin,bottom,3 yellow squares lined up vertically with darker outlines. there’s a purple arrow on the left pointing right to the last square with a darker purple outline
corner rae.png,Rae,corner,a white square with a red corner. An arrow points to the corner
here rayin.png,Rayin,here,A nondescript yellow person dressed in a green shirt and blue pants. to the right is a green oval with a downward-pointing purple arrow over top of it.
close stellar.png,StellarSymbols,close,"two red squares close to each other, with three small black emphasis lines above them"
down stellar.png,StellarSymbols,down,an orange down arrow
in avery and pheoni.png,Avery and Pheonix,in,"a dark brown box has a red circle in it, a blue arrow curves over the side of the box to point at the circle."
down cc.png,CC,down,a green arrow pointing downwards
East Ani.png,Ani,East,"A drawing of the face of a compass. The face of the compass has four large red spikes protruding from a blue circle as well as four smaller lighter red spikes each positioned between the large spikes. Each of the large spikes has a letter above it. The letters are moving clockwise N for north, E for East, S for South, and W for west. There is a large neon red arrow pointing at the E."
left stellar.png,StellarSymbols,left,an orange left arrow
Down-froggygolem_.png,froggygolem,down,brown tapered arrow pointing down
far stellar.png,StellarSymbols,far,"two red squares far from each other, with a black line above them showing the distance"
middle rayin.png,Rayin,middle,3 yellow squares lined up vertically with darker outlines. there’s a blue arrow on the left pointing right to the second square with a darker blue outline
east pheonix.png,Pheonix,East,a grey compass rose with the east direction red with an arrow at the end. Beside that direction is a yellow sun above the horizon line and a blue arrow pointing up.
far matrix.png,MATRIX,far,two light pink circles with a long dark pink arrow between them
next rayin.png,AyiEmojis,Next,"ID: a pink square with a darker pink outline on the left, and another pink square next to it on the right but slightly lower. there’s a teal arrow with a darker teal outline going from the left square to the right square"
external neon.png,Neon,external,A yellow ball above a big red square with a dark red arrow pointing to it.
from stellar.png,StellarSymbols,from,an orange arrow pointing down from a location marker
next_to_circle.png,Petri,next to,A drawing of a large pink circle next to a small blue square.
far pheonix.png,Pheonix,far,"two small purple cubes sit away from each other, a double sided arrow points to them."
front rayin.png,Rayin,front,a big red square with a darker red outline and a yellow person standing infront of it. they’re wearing a green shirt and have brown eyes. there is a purple arrow pointing to them
off rayin.png,Rayin,off,"a grey line with a darker grey outline on the left, and a green square with a darker green outline on the right. there’s a blue arrow with a darker blue outline starting at the grey line and pointing up and to the right to the green square"
here.png,M,here,"a green arrow pointing at a dark dot or circle, which is on grass."
in dusty.png,Dusty,in,"A brown line curves up and down to make an enclosed area, a blue arrow curves into the shape."
out avery and pheonix.png,Avery and Pheonix,out,"a brown box has a red circle sitting next to it, a blue arrow starts in the box and curves outside the box to point at the red circle."
here levi.png,Levi,here,"on the bottom right is a big oval that is red, on the top left is a small white oval, on the right  there is a yellow arrow pointing down at the red oval."
into pheonix.png,Pheonix,into,"A brown line curves up and down to make an enclosed area, a blue arrow curves into the shape."
out rayin.png,Rayin,out,a grey squared U shape with a darker grey outline on the left and a green square with a darker green outline on the right. there’s a blue arrow with a darker blue outline starting inside the U shape and pointing to the right to the green square
in rayin.png,Rayin,in,a green square with a darker green outline inside a grey squared U shape with a darker grey outline. there’s a blue arrow with a darker blue outline pointing to the green square
left cc.png,CC,left,an orange arrow pointing to the left
out dusty.png,Dusty,out,A gray square with an arcing arrow going out.
in fg.png,froggygolem,in,red arrow points to a small brown blob inside a partial brown circle.
left 2 stellar.png,StellarSymbols,left,"A yellow hand making an 'l' shape, with a small blaack arrow pointing to the left."
right 2 stellar.png,StellarSymbols,right,"A yellow hand making a backwards 'l' shape, with a small blaack arrow pointing to the right."
internal neon.png,Neon,internal,"A big red square with a yellow ball inside it, there is a dark red arrow pointing towards the yellow ball."
near matrix.png,MATRIX,near,two light pink circles with a short dark pink arrow between them
right cc.png,CC,right,a magenta arrow pointing to the right
left pheonix.png,Pheonix,left,"a blue circle sits at the left side of the screen, 2 small blue arrows point to it from above and below. Inside the circle is a green triangle pointing left. This triangle makes up the end of an arrow that starts off of the circle on the right side of the screen."
next_to_eye.png,Petri,next to,A drawing of a large pink circle next to a small blue square. The circle has a drawing of an eye on it.
right stellar.png,StellarSymbols,right,an orange right arrow
on rayin.png,Rayin,on,a green square with a darker green outline ontop of a grey line with a darker grey outline. there’s a blue arrow with a darker blue outline pointing to the green square
north pheonix.png,Pheonix,North,a grey compass rose with the north direction red with an arrow at the end. Above the north direction is an ice blue circle
there rayin.png,Rayin,there,A nondescript yellow person dressed in a green shirt and blue pants. to the upper far left is an orange oval with a downward-pointing blue arrow over top of it.
out fg.png,froggygolem,out,a blue arrow points out from inside a partial blue circle up to a small blue blob.
