Image URL,Credit,Caption,Alt text
demiverbal vixen.png,Vixen,demiverbal,"A cartoon cat with large, round eyes is shown. The cat's mouth is open slightly. A speech bubble above the cat's head contains a clock icon pointing downwards and a red triangle and a blue square. In the cat's thought bubble, a red triangle and a blue square are visible."
disorganised speech dusty.png,Dusty,disorganized speech,"A simplified drawing of a person thinking of circles, a triangle, and a square, with many different shapes in different colors in the speech bubble."
demiverbal wolf.png,Wolf,demiverbal,"An abstract red person with a speech bubble with a three gray dashes line across it, going from the upper left to lower right."
echolalia dusty.png,Dusty,echolalia,"A simplified drawing of a person hearing a green triangle, and then repeating it in a speech bubble."
echolalia vixen.png,Vixen,echolalia,"A blue bat with big eyes and a wide grin, the is a red speech bubble being spoken, and the bat is repeating their phrase over with blue speech bubbles."
demivox ot.png,Ottertime,demivox,"A gray person with an and sign on their body. They have a thought bubble which contains a tan triangle, two gray circles, and a dark gray square, and they also have a speech bubble which contains a partial ellipsis and a dark gray square and a tan triangle. Under this speech bubble is a clock with arrows surrounding it, indicating a permanent state."
expensive speech.png,M & StellarSymbols,expensive speech,A speech bubble with two piles of gold coins beneath it. the speech bubble tail points to the left.
hyperverbal wolf.png,Wolf,hyperverbal,An abstract red person with four overlapping speech bubbles.
demivox wolf.png,Wolf,demivox,"An abstract red person with a speech bubble with a three gray dashes line across it, going from the upper left to lower right, and the plural rings underneath."
expensive speech 2.png,M & StellarSymbols,expensive speech,A speech bubble with two piles of gold coins beneath it. the speech bubble tail points to the right.
hyper verbal rae.png,Rae,hyper verbal,a multicolored stripy speech bubble.
disorganised speech chrome.png,chrome,disorganised speech,a blue dog opening its mouth by a speech bubble. the speech bubble is filled with yellow red blue and green scribbles
fullvox ot.png,Ottertime,fullvox,"A gray person with an and sign on their body. They have a thought bubble which contains a tan triangle, two gray circles, and a dark gray square, and they also have a speech bubble which only contains the exact same symbols as the thought bubble. Under this speech bubble is a clock with arrows surrounding it, indicating a permanent state."
hypervox ot.png,Ottertime,hypervox,"A gray person with an and sign on their body. They have a thought bubble which contains a tan triangle, two gray circles, and a dark gray square, and they also have a speech bubble which only contains two tan triangles, three gray circles, and a dark gray square. Under this speech bubble is a clock with arrows surrounding it, indicating a permanent state."
expensive speech dusty.png,Dusty,expensive speech,"A simplified drawing of a sweating person thinking of a green triangle, red square, and blue circle, with the same symbols in the speech bubble, and a dollar sign beneath it."
fullvox wolf.png,Wolf,fullvox,An abstract red person with a speech bubble and the plural rings underneath
hypervox wolf.png,Wolf,hypervox,"An abstract red person with four overlapping speech bubbles and the plural rings underneath, partially overlapping the lowest speech bubble."
hyperverbal dusty.png,Dusty,hyperverbal,"A simplified drawing of a person thinking of circles, a triangle, and a square, with many more of each symbol in the same order in the speech bubble."
fully verbal wolf.png,Wolf,fully verbal,An abstract red person with a speech bubble.
i can't talk gp.png,Gillipop,I can't talk,"an emoji-yellow person stylized without eyes speaking a blank speech bubble and pointing to themself, next to them is a red x"
hyperverbal vixen.png,Vixen,hyperverbal,"A cartoon cat with large, round eyes is shown. The cat's mouth is open slightly. A speech bubble above the cat's head contains a cluster of various shapes, including triangles, squares, and circles in red, blue, and yellow. In the cat's thought bubble, a red triangle and a blue square are visible."
i can talk gp.png,Gillipop,I can talk,"an emoji-yellow person stylized without eyes speaking a blank speech bubble and pointing to themself, next to them is a green check mark"
insufficient speech dusty.png,Dusty,insufficent speech,"A simplified drawing of a person thinking of three blue circles and a red square, with only two blue circles in a speech bubble."
i can't talk casually gp.png,Gillipop,I can't talk casually,"an emoji-yellow person stylized without eyes wearing a light blue hoodie speaking a blank speech bubble and pointing to themself, next to them is a red x"
i'm selectively mute koda.png,Koda,I'm selectively mute,"a yellow person on the right pointing to themselves with a big red button with a grey base, on the button is a volume symbol with an X coming out of it in grey"
intermittent speech fractals.png,Fractals,intermittent speech,A drawing of a speech bubble and a series of differently sized and spaces blue rectangles below. In the speech bubble are blue squiggles representing words.
insufficient speech fractals.png,Fractals,insufficient speech,A drawing of a speech bubble and measurement lines on the left. Blue fills up to the second of seven measurement lines. In the speech bubble are blue squiggles representing words.
