Image URL,Credit,Caption,Alt text
black folder thick petri.png,Petri,[symbol template] black folder (thick lines),A hollow black folder with thick lines.
blue folder alena semi.png,Alena Semi,[symbol template] blue folder,A blue folder with gradients from lighter blue at the top to darker blue at the bottom.
anti stance template ot.png,Ottertime,[symbol template] anti [stance],a grey thought bubble with a red X in front of it
black folder thin petri.png,Petri,[symbol template] black folder (thin lines),A hollow black folder with thin lines.
brown folder thick petri.png,Petri,[symbol template] brown folder (thick lines),A hollow brown folder with thick lines.
confusion template.png,Plum,[symbol template] confusion,"Dark purple lineart of a round, emoji-like face nervously looking up at their own empty thought bubble that is floating above them. Three question marks (?) are above them. The face has only eyes and a mouth, with two diagonal lines between the eyes almost implying a nose, but not properly defining one. Their eyebrows are knit together and downturned in concern, and their mouth is a wobbly frown. A few sweat droplets run down the side of their face. The lineart varies in thickness throughout, and gives the appearance of brush- or chisel-tip marker."
can i see template pheonix 1.png,Pheonix,[symbol template] can I see,An image with dark line art shows a grey green eye with a purple arrow below it curving to point at an empty space. Above is a yellow question mark.
brown folder thin petri.png,Petri,[symbol template] brown folder (thin lines),A hollow brown folder with thin lines.
crayon template dd.png,DoctorZero,[symbol template] crayon,An outline drawing of a crayon with no coloring in it.
carton drink neon.png,Neon,[symbol template] carton drink,The black outline of an unlabeled milk carton.
can i see template pheonix 2.png,Pheonix,[symbol template] can I see,An image with light line art shows a grey green eye with a purple arrow below it curving to point at an empty space. Above is a blue question mark.
crop top plum.png,Plum,[symbol template] crop top,lineart of crop top.
carton drink base neon 2.png,Neon,[symbol template] carton drink,The blank outline of a drink carton
conditioning long straight plum.png,Plum,[symbol template] conditioning long straight hair,"lineart of a figure conditioning long, straight hair."
dog whistle template.png,Ottertime,[symbol template] dogwhistle,"a tan dog with brown spots blowing a whistle, which has a spiky blank speech bubble coming out of it"
color petri.png,Petrichor,[symbol template] color,lineart of paint spilling out of a silver tube.
doesn't always template pheonix 1.png,Pheonix,[symbol template] doesn't always,"A red doesn’t equals sign sits above a purple arrow, the purple arrow curves and points down at a clock with a blue rim. The rim is in the shape of an arrow.  The left side of the image is noticeably empty."
Flag Template.png,StellarSymbols,[symbol template] flag,lineart of a slightly warped rectangle like a waving flag.
cube.png,M,[symbol template] cube,lineart of a cube.
doesn't always template pheonix 1.png,Pheonix,[symbol template] doesn't always,To the right of a blank area sits a red doesn’t equals sign. Below it is a purple arrow that curves and points down at a second blank area. To the left of this blank area is a clock with a blue rim. The rim is in the shape of an arrow.
folding cane plum.png,Plum,[symbol template] folding cane,lineart of a folding cane.
don't call me template gp.png,Gillipop,[symbol template] don't call me,an emoji-yellow upset face and an empty speech bubble with a red x on it
don't touch m.png,Plum,[symbol template] don't touch,to the left is a yellow hand with a red 'X' below it.
green folder thick petri.png,Petri,[symbol template] green folder (thick lines),A hollow green folder with thick lines.
Folder Template.png,StelarSymbols,[symbol template] folder,lineart of a closed manila folder. there is a single white piece of paper slightly visible over the edge
fidget slug plum.png,Plum,[symbol template] fidget slug,lineart of a fidget slug.
green folder thin petri.png,Petri,[symbol template] green folder (thin lines),A hollow green folder with thin lines.
fragment.png,M,[symbol template] fragment / shard,lineart of a fragment or shard of something like pottery.
heart template plum.png,Plum,[symbol template] heart,A transparent dark purple line drawing of a heart shape.
hug and kiss lips lady.png,Lady,[symbol template] hug and kiss on lips,"lineart of two figures hugging, kissing each other with their eyes closed."
hug lady.png,Lady,[symbol template] hug,lineart of a hug.
hug and kiss forehead lady.png,Lady,[symbol template] hug and kiss on forehead,"lineart of two figures hugging, the left one is kissing the right one on the forehead, while the one on the right is smiling."
is not the goal template pheonix 3.png,Petri,[symbol template] is not the goal,"A large white 2D mound shape outlined in black has a big red X overlapping with it on the left side, and a checkered flag with a red emphasis shape behind it is mounted above it."
i have template crows.png,Crows,[symbol template] I have,An emoji-yellow person pointing to themselves with an arrow also pointing to them.
is not funny template ot.png,Ottertime,[symbol template] is not funny,"a black arrow with a red X on top leading from a transparent space to s yellow face that is laughing, as seen by the three blue triangles near their mouth"
is not the goal template pheonix 4.png,Petri,[symbol template] is not the goal,"A large white 2D mound shape outlined in a grey gradient with a big red X overlapping with it on the left side, There is a checkered flag with a white outline echoing the black one, and a red emphasis shape behind it, mounted above the circle"
is not the goal template pheonix 1.png,Pheonix,[symbol template] is not the goal,"A large white circle outlined in black has a big red X overlapping with it on the bottom left, and a checkered flag with a red emphasis shape behind it is mounted above it."
is the goal template pheonix 3.png,Pheonix,[symbol template] is the goal,A large white circle outlined in black has a checkered flag mounted above it with a yellow emphasis shape behind it.
is the goal template pheonix 1.png,Pheonix,[symbol template] is the goal,A large 2D white mound outlined in black has a checkered flag mounted above it with a yellow emphasis shape behind it.
is not the goal template pheonix 2.png,Pheonix,[symbol template] is not the goal,"A large white circle outlined in a grey gradient with a big red X overlapping with it on the bottom left. There is a checkered flag with a white outline echoing the black one, and a red emphasis shape behind it, mounted above the circle"
is the goal template pheonix 4.png,Pheonix,[symbol template] is the goal,A large white circle outlined in a grey gradient has a checkered flag mounted above it with a yellow emphasis shape behind it. The flag has a white outline echoing the black one.
is the goal template pheonix 2.png,Pheonix,[symbol template] is the goal,A large 2D white mound outlined in a grey gradient has a checkered flag mounted above it with a yellow emphasis shape behind it. The flag has a white outline echoing the black one.
is not evil wolf.png,Wolf,[symbol template] is not evil,"A blank space and a purple circle with horns and a pointed tail, representing a demon, with a does not equal sign between them."
know outline m.png,M,[symbol template] know,a black outline of a hand with the forefinger tapping the forehead of a smug face.
lanyard template m.png,M,[symbol template] lanyard,black lineart of a lanyard with a horizonal card clipped onto the end.
not always pheonix template 1.png,Pheonix,[symbol template] not always,"A red X sits at the top of the image, a purple arrow curves down to point at a blank space, next to the blank space is a clock with a blue rim. The rim is also a circular arrow."
language 2.png,CC,[symbol template] language,lineart of a speech bubble above a rectangle where a flag can go.
PronounT-object-froggygolem.png,froggygolem,[symbol template] object pronoun,line art of head and shoulders shape above horizontal rectangle
orange folder thick petri.png,Petri,[symbol template] orange folder (thick lines),A hollow orange folder with thick lines.
not always pheonix template 2.png,Pheonix,[symbol template] not always,"A red X sits at the top of the image, a purple arrow curves down to point at a clock with a blue rim. The rim is also a circular arrow. Next to the clock is a blank space."
PronounT-reflexiveplural-froggygolem.png,froggygolem,[symbol template] plural reflexive pronoun,line art of head and shoulders shape with three small lumps below.
orange folder thin petri.png,Petri,[symbol template] orange folder (thin lines),A hollow orange folder with thin lines.
pink folder thick petri.png,Petri,[symbol template] pink folder (thick lines),A hollow pink folder with thick lines.
PronounT-possessive-determiner-froggygolem.png,froggygolem,[symbol template] possessive adjective pronoun/possessive determiner,line art of head and shoulders shape with arms holding a square to chest.
ozh'esta template m.png,M,[symbol template] ozh'esta / Vulcan kiss,"lineart of two hands, each belonging to a different person, with the tips of the two longest fingers of each hand pressing against each other in a Vulcan kiss."
pink folder thin petri.png,Petri,[symbol template] pink folder (thin lines),A hollow pink folder with thin lines.
PronounT-possessive-froggygolem.png,froggygolem,[symbol template] possessive pronoun,head and shoulders shape with one arm reach out to grab a trapezoid shape below.
purple folder alena semi.png,Alena Semi,[symbol template] purple folder,A purple folder with shadows and highlights
PronounT-subject-froggygolem.png,froggygolem,[symbol template] subject pronoun,line art of head and shoulders shape above small dot
purple folder thick petri.png,Petri,[symbol template] purple folder (thick lines),A hollow purple folder with thick lines.
pro stance template ot.png,Ottertime,[symbol template] pro [stance],a grey thought bubble with a green checkmark in front of it
type template.png,M,[symbol template] type,two outline hands typing on a keyboard.
purple folder thin petri.png,Petri,[symbol template] purple folder (thin lines),A hollow purple folder with thin lines.
red folder thick petri.png,Petri,[symbol template] red folder (thick lines),A hollow red folder with thick lines.
white folder thick petri.png,Petri,[symbol template] white folder (thick lines),A hollow white folder with thick lines.
PronounT-Reflexive-froggygolem.png,froggygolem,[symbol template] reflexive pronoun,line art of head and shoulders shape with large circle over chest.
red folder thin petri.png,Petri,[symbol template] red folder (thin lines),A hollow red folder with thin lines.
white folder thin petri.png,Petri,[symbol template] white folder (thin lines),A hollow white folder with thin lines.
rosary template m.png,M,[symbol template] rosary,"transparent black lineart of a standard rosary, curled to fit in the image, with a blank medallion and cross pendant"
yellow folder thick petri.png,Petri,[symbol template] yellow folder (thick lines),A hollow yellow folder with thick lines.
yellow folder thin petri.png,Petri,[symbol template] yellow folder (thin lines),A hollow yellow folder with thin lines.
