Image URL,Credit,Caption,Alt text
anthropology dusty.png,Dusty,anthropology,"Three purple figures standing on a green country shape holding a purple, white, and blue flag with a star on it, in a frame with a green beaker in the corner."
sociology dusty.png,Dusty,sociology,"Five orange figures in a semicircle, two with speech bubbles, who share one large thought bubble in a frame with a green beaker in the corner."
social sciences dusty.png,Dusty,social sciences,"Three circles, one with shaking hands, the other with the Mexican, Canadian, and United States flags, and one with two people on either side of a border, with a green beaker in the corner."
culture ee.png,Eldritch-Emojis (adapted from Esrah),culture,"an emoji with a blue and green globe circle in the top left corner with four white speech bubbles with a thin dark outline around them. the speech bubbles, clockwise from the top left corner, contain a red heart, a blue asterisk, a brown hand, and a grey and white mountain peak. in the bottom right corner is an orange cross with a warm brown outline."
/description/Matrilineal.png,Petri,matrilineal,"A drawing of a simplified family tree showing a small person with a male symbol on them, a large person with a female symbol on them, and a line between them leading to an unmarked person."
cultural christianity ee.png,Eldritch-Emojis,cultural Christianity,"an emoji with a blue and green globe circle in the top left corner with four white speech bubbles with a thin dark outline around them. the speech bubbles, clockwise from the top left corner, contain a red heart, a blue asterisk, a brown hand, and a grey and white mountain peak. in the bottom right corner is an orange cross with a warm brown outline."
ethnography esrah.png,Esrah,ethnography,"an interview between two people, pictured from the waist up. One takes notes on a clipboard, while another speaks. In the speech bubble is a red heart, a mountain, a hand, and a blue flower. The ethnographer is a Black person with short hair, wearing a tan cardigan. The interviewee is a Brown person with long hair in a bun, wearing a reddish-orange shirt"
social construct petri 2.png,Petri,social construct,A drawing of a speech bubble with multiple tails leading to the edge of the drawing. Inside the speech bubble are three pink boxes in a pile with a metallic-shaded hammer next to them
/description/patrilineal.png,Petri,patrilineal,"A drawing of a simplified family tree showing a large person with a male symbol on them, a small person with a female symbol on them, and a line between them leading to an unmarked person."
inquisitive observation.png,M,inquisitive observation,"two people smiling and each holding a pink broom. the person on the left is purple with a pink sash, and the person on the right is yellow with a camera around their neck. the yellow person's broom is a bit smaller."
stereotype vixen.png,Vixen,stereotype,"a pale yellow figure, a yellow figure, and a dark yellow figure. above them is a white thought cloud with a blue eye in the center. on the left in the cloud is a purple triangle, and a purple arrow points from the cloud to the pale yellow figure. on the right in the cloud is a green square,and a green arrow points from the cloud to the dark yellow figure."
social construct petri 1.png,Petri,social construct,A drawing of a speech bubble with multiple tails leading to the edge of the drawing. Inside the speech bubble are three pink boxes in a pile with a hammer next to them.
pop culture ot.png,Ottertime,pop culture,a tilted magazine page. The top left panel is purple with a blue flower inside. The top right panel is blue and has three gold stars inside. The bottom page is pink and has bright pink hearts inside.
thick description 1.png,M,thick description,simple yellow figure with speech bubble. Purple arrow goes from their head and above their head behind them to speech bubble. Speech bubble has line in it.
thick description 2.png,M,thick description,simple yellow figure with speech bubble. Purple arrow goes from their head and above their head behind them to speech bubble.
