Image URL,Credit,Caption,Alt text
genetics talksense.png,TalkSense,genetics,"A diagonal blue DNA double helix, with the letters X and Y in black"
common ancestor.png,Ani,common ancestor,A drawing of a phylogenetic tree with circles around the spots where branches diverge.
cytosine.png,Ani,cytosine,"a drawing of the nucleobase Cytosine. It is made up of light blue lines, numbers, and letters."
adenine.png,Ani,adenine,"A drawing of the nucleobase Adenine. It is made up of bright pink lines, numbers, and letters."
genetic chimera m.png,M,genetic chimera,a pink strand of DNA on the left and a cyan strand of DNA on the right. In the middle is a humanoid figure with a fuzzy yellow outline. The figure is partly dark pink and partly dark cyan.
dna.png,Ani,DNA,"A strand of DNA. The helix is dark blue and the nucleobases are multicolored. some are dark blue, some are light blue, others are bright pink and some are a purple red color"
clade.png,Ani,clade,a phylogenetic tree. One of the splits in the tree on the top has a box surrounding the spot of the split and everything that comes after it.
guanine.png,Ani,guanine,"A drawing of the nucleobase Guanine. The drawing is made up of dark purple lines, letters, and numbers."
genetic chimerism m.png,M,genetic chimerism,a pink strand of DNA on the left and a cyan strand of DNA on the right. In the middle is a humanoid figure which is partly dark pink and partly dark cyan.
human chimera wolf.png,Wolf,human chimera,two separate DNA strands with arrows pointing towards a purple abstract person's head
monotypic species.png,Ani,monotypic species,a large circle that is filled with smaller yellow circles
genetic dumpster fire vixen.png,Vixen,genetic dumpster fire,"a green dumpster on fire, with bright orange and yellow flames. Inside the flames are several colorful DNA helix symbols, floating amidst the fire."
mutation.png,Ani,mutation,Two almost identical DNA strands with an arrow in between them pointing for the one on the left to the one on the right. The DNA strand on the right is slightly different than the left one with one of its Nucleobases being orange.
parent.png,Ani,parent,"A set of three rectangles, two of the rectangles are positioned above the third one, the two upper rectangles each have an arrow pointing at the lower rectangle. The left upper rectangle has a circle around it."
horizontal gene transfer.png,Ani,horizontal gene transfer,"A set of four rectangles, two rectangles are positioned above the other two. Each of the rectangles have DNA in the but the lower right one has two strands of DNA The other rectangles all have arrows pointing towards the rectangle with two DNAs One DNA matches the rectangles above him which have the same DNA and the second DNA is the same as the rectangle in the lower left. There is a circle around the lower two rectangles."
offspring.png,Ani,offspring,"A set of three rectangles, two of the rectangles are positioned above the third rectangle. The rectangle on the bottom has a circle around it and the two upper rectangles each have an arrow pointing from them to the lower rectangle."
rna.png,Ani,RNA,"A drawing of RNA. the helix is dark blue, and the nucleobases are different colors. There are dark blue, light blue nucleobases, there is singular bright pink one and a tan one"
phylogenetic tree.png,Ani,phylogenetic tree,a drawing of a phylogenetic three with three splits in it. The first split it separates into two groups and each groups splits once more
polytypic species.png,Ani,polytypic species,"A large circle that has many smaller yellow circles in it, as well as a dark grey circle that has smaller green circles in it"
uracil.png,Ani,uracil,"A drawing of the nucleobase Uracil. The drawing is made up of greyish-purple lines, letters, and numbers."
vertical gene transfer.png,Ani,vertical gene transfer,A set of three rectangles each of the rectangles goes had some DNA inside of it. There are two rectangles positioned above the third one. Each of the two upper rectangles has an arrow pointing from it towards the lower rectangle to represent their DNA going into the lower rectangle
thymine.png,Ani,thymine,"A drawing of the nucleobase Thymine. The drawing is made up of dark blue lines, letters, and numbers."
