Image URL,Credit,Caption,Alt text
5e m.png,M,5E,A red interlocking numeral '5' and letter 'e'.
Adventure_1.png,Petri,adventure,"A drawing of a person wearing armour and holding a sword at the start of a path, which leads to hills and mountains in front of a blue sky"
abjuration dusty.png,Dusty,"Abjuration (Magic Type, D&D)",A Psi symbol with curling edges and two lines through the stem.
aasimar dnd legless rat.png,legless rat,aasimar (DND),"darkskinned aasimar with purple eyes and white curly hair to their shoulders. they have large white feathered wings. they are wearing a plain white robe, and a purple gem on a necklace"
artillerist subclass dusty.png,Dusty,artillerist subclass,A white cartoon cannon with a wagon wheel and a brown outline.
abjuration dusty 1.png,Dusty,Abjuration (D&D Wizard Subclass),"A white Abjuration symbol from Dungeons and Dragons, with a blue outline."
action dusty dnd.png,Dusty,action,A large red circle in the foreground and a small white circle in the background.
attack dusty.png,Dusty,attack,A white circle with a spikey red shape in the middle.
advantage dusty.png,Dusty,advantage,"Two twenty sided die, with a higher green one, and a lower white one."
alchemist subclass dusty.png,Dusty,alchemist subclass,A round white potion bottle with brown contents and a brown outline.
battle smith subclass dusty.png,Dusty,battle smith subclass,A white anvil with a brown outline.
Adventure_2.png,Petri,adventure,"A drawing of a person wearing armour and holding a sword at the start of a path, which leads to hills and mountains"
armorer subclass dusty.png,Dusty,armorer subclass,A shield with a brown gear in the middle and a brown outline.
blood hunter dusty.png,Dusty,blood hunter,A black drop symbol with a dagger inside with a red outline.
barbarian dusty.png,Dusty,barbarian,A black battle axe with an orange outline.
artificer dusty.png,Dusty,artificer,"A black gear with a wrench inside, and a light brown outline."
Campaign_1.png,Petri,campaign,A drawing of a die next to a sheet of paper. Above them is a clock with a black arrow pointing right.
bonus action dusty.png,Dusty,bonus action,A small red circle in the background and a large white circle in the foreground.
bard dusty.png,Dusty,bard,A black lute with a purple outline.
chaotic neutral.png,M,chaotic neutral,a blue figure holding a red molotov cocktail.
chaotic evil.png,M,chaotic evil,a blue figure with red horns holding a red molotov cocktail.
Campaign_2.png,Petri,campaign,A drawing of a die next to a sheet of paper. Above them is a clock with a green arrow pointing right.
cha dusty.png,Dusty,charisma / CHA,A black and white drawing of an eagle head with a d20 in front of it.
Character_3.png,Petri,character,A drawing of a pencil writing something on paper in front of a blue bust of a person.
chaotic good.png,M,chaotic good,a blue figure with a halo holding a red molotov cocktail.
class dusty.png,Dusty,class,"drawing of a white figure with their arm out, and a red circle on their chest."
cleric dusty.png,Dusty,cleric,A black mace with a spiked halo and a light gray outline.
Character_2.png,Petri,character,A drawing of a pencil writing something on paper in front of a yellow bust of a person.
conjuration dusty.png,Dusty,"Conjuration (Magic Type, D&D)","A magic symbol shaped like a V with an arc connecting the sides, and a curling line through the lower half."
D4 pandoras box.png,pandora's box,D4,A dark purple pyramid shape with a 4 on one side.
Character_1.png,Petri,character,A drawing of a pencil writing something on paper in front of a green bust of a person.
conjuration dusty 2.png,Dusty,conjuration (D&D Wizard Subclass),"A white conjuration symbol from Dungeons and Dragons, with a blue outline."
D8 pandoras box.png,pandora's box,D8,A dark purple 3 dimensional diamond with an 8 on one side.
con dusty.png,Dusty,constitution / CON,A black and white drawing of a bear head with a d20 in front of it.
D2 pandoras box.png,pandora's box,D2,A dark purple circle with a 2 on it.
D20 pandoras box.png,pandora’s box,D20,"A dark purple icosahedron, which is a sort of sphere with 20 flat faces, with a 20 on one side."
d6 leaf.png,Leaf,D6,"a purple cube, the top face has the number six, and the other two that are visible have a five and a four"
D6 pandoras box.png,pandora's box,D6,A dark purple cube shape with a 6 on one side.
dex dusty.png,Dusty,dexterity / DEX,A black and white drawing of a cat head with a d20 in front of it.
D10 pandoras box.png,pandora's box,D10,"A dark purple pentagonal trapezohedron, which is a 10 sided 3D diamond sort of shape,  with a 10 on one side."
D12 pandoras box.png,pandora's box,D12,"A dark purple dodecahedron, which is a sort of sphere made up of 12 flat faces, with a 12 on one faces"
disadvantage dusty.png,Dusty,disadvantage,"Two twenty sided die, with a lower red one, and a higher white one."
D100 pandoras box.png,pandora’s box,D100,"A dark purple pentagonal trapezohedron, which is a 10 sided 3D diamond sort of shape,  with a 100 on one side."
death save dusty.png,Dusty,death save,A black and white skull with a red d20 in the corner.
red dragon.png,Petri & M,dragon,"A drawing of a red dragon with wings, light yellow horns, and green eyes."
/Objects/dice.png,M,dice,A set of standard tabletop role-playing dice in different colours.
Dragon_2.png,Petri,dragon,"A drawing of a green dragon with wings, light green horns, and red eyes."
dungeon.png,Petri,dungeon,A drawing of a gray staircase descending into a gray corridor. There are two lit torches on the walls and a skull sitting on the floor.
divination dusty.png,Dusty,"Divination (Magic Type, D&D)",A magic symbol shaped like a curved checkmark with two arcs coming off of it.
druid dusty.png,Dusty,druid,A black sickle with vines growing from it and a bright green outline.
halfling m.png,M,halfling,"a short, smiling person with light brown skin, and dark curly brown hair on their head and feet. they wear short, cut-off green trousers with suspenders, a light yellow shirt with embroidered hems, and are holding an apple."
divination dusty 2.png,Dusty,Divination (D&D Wizard Subclass),"A white divination symbol from Dungeons and Dragons, with a blue outline."
dwarf dnd legless rat.png,legless rat,dwarf (D&D),"An oval with horizontal and vertical line through it, and smaller spikes on the outer edges."
illusion dusty.png,Dusty,"Illusion (Magic Type, D&D)",A stylized eye with a curling upper eyelid and lashes along the bottom lid.
Dragon_1.png,Petri,dragon,"A drawing of a green dragon with wings, light green horns, and red eyes. It's surrounded by a black charcoal texture."
evocation dusty.png,Dusty,"Evocation (Magic Type, D&D)","An oval with horizontal and vertical line through it, and smaller spikes on the outer edges."
int dusty.png,Dusty,intelligence / INT,A black and white drawing of a fox head with a d20 in front of it.
enchantment dusty.png,Dusty,"Enchantment (Magic Type, D&D)",A magic symbol with a cross and a curling loop coming out of it.
fighter dusty.png,Dusty,fighter,"A black shield with a sword behind it, and a brown outline."
lawful neutral.png,M,lawful neutral,a blue figure holding a purple book with a green check mark.
xp.png,Rae,experience points,a rectangle that’s mostly filled with green. Green text under it says “XP”.
initiative dusty.png,Dusty,initiative,"A running figure with a shield and speed lines, and a d20 in the corner."
necromancy dusty.png,Dusty,"Necromancy (Magic Type, D&D)",A magic symbol in the shape of a horseshoe with curling ends.
hp.png,Rae,health points / hit points,"a rectangle that’s mostly filled with red. it has three hearts under it. Two of the hearts are filled in red, while one is black to show the player has lost a life."
lawful good.png,M,lawful good,a blue figure with a halo holding a purple book with a green check mark.
neutral evil.png,M,neutral evil,a blue figure with red horns.
lawful evil.png,M,lawful evil,a blue figure with red horns holding a purple book with a green check mark.
monk dusty.png,Dusty,monk,A black clenched fist with a light blue outline.
pact of the fathomless dusty.png,Dusty,Pact of the Fathomless,"A purple eye in a half circle of dark blue water, outlined in purple."
melee attack dusty.png,Dusty,melee attack,"A white circle with a spikey red shape in the middle, and two close points with a line connecting them."
off hand attack dusty.png,Dusty,off hand attack,A white circle with a spikey red shape and two hands inside it.
pact of the great old one dusty.png,Dusty,Pact of the Great Old One,"A purple eye in the middle of a black circle, outlined with purple."
neutral good.png,M,neutral good,a blue figure with a halo.
owlbear m.png,M,owlbear,A brown owlbear.
pact of the undying dusty.png,Dusty,Pact of the Undying,"A purple eye on the temple of a grinning white skull, outlined in purple."
pact of the archfey dusty.png,Dusty,Pact of the Archfey,"A purple eye framed by white fairy wings, outlined in purple."
pact of the celestial dusty.png,Dusty,Pact of the Celestial,"A purple eye with white feathered wings above it, outlined in purple."
paladin dusty.png,Dusty,paladin,A black helmet with wings and a yellow outline.
pact of the fiend dusty.png,Dusty,Pact of the Fiend,"A purple eye with bat wings and horns above it, outlined in purple."
pact of the genie dusty.png,Dusty,Pact of the Genie,"A purple eye with the four elements around it, as a spiral, a flame, a water drop, and a rock, outlined in purple."
reaction dusty.png,Dusty,reaction,"A white circle with a black arrow pointing to it, and a red arrow pointing away from it."
pact of the hexblade dusty.png,Dusty,Pact of the Hexblade,"A purple eye in front of an ornate white blade, outlined with purple."
pact of the undead dusty.png,Dusty,Pact of the Undead,"A purple eye below an hourglass turned on its side, outlined with purple."
second attack dusty.png,Dusty,second attack,A white circle with a spikey red shape and the number two in the middle.
ranged attack dusty.png,Dusty,ranged attack,A white circle with a spikey red shape in the middle and two points far apart with a line between them.
ranger dusty.png,Dusty,ranger,A black paw print with curved streaks above it and an emerald outline.
stats m.png,M,stats,"a black and white D20 shape with four horizontal bars behind it. the bars are partly filled with color, each bar a different color, and partly white."
rogue dusty.png,Dusty,rogue,A black dagger with a domino mask over it and a gray outline
save dusty.png,Dusty,save,A hand reaching for an exclamation point with a red d20 in the corner.
sub class dusty.png,Dusty,sub-class,"drawing of a white figure with their arm out, and a red circle on their hand."
skill check dusty.png,Dusty,skill check,"A black figure pushing a large rock up a slope, with a d20 in the corner."
sorcerer dusty.png,Dusty,sorcerer,A black flame shape with a hollow center and a light red outline.
transmutation dusty.png,Dusty,"Transmutation (Magic Type, D&D)","A magic symbol similar to a pi symbol, with a curling right end."
str dusty.png,Dusty,strength / STR,A black and white drawing of a bull head with a d20 in front of it.
tiefling m.png,M,tiefling,A featureless red face with pointed ears and two curled horns.
true neutral.png,M,true neutral,a blue figure.
warlock dusty.png,Dusty,warlock,A black eye with claws coming out of the top and bottom and a purple outline.
wis dusty.png,Dusty,wisdom / WIS,A black and white drawing of an owl head with a d20 in front of it.
