Image URL,Credit,Caption,Alt text
/description/darker.png,Ani,darker,A series of blue circles They go from dark blue on the left to light blue on the right. Above them are two arrows originating from the lightest circle one arrow points to the darkest circle and the second points to the middle circle
/description/bumpy koda.png,Koda,bumpy,"a baby blue rectangle with 4 big bumps, and a desaturated blue line above it mimicking the bumps"
/description/bright pheonix.png,Pheonix,bright,A glowing orange circle with a spiral surrounded by lines and dots inside it. The circle is outlined in black and has black lines radiating around it. Behind the glow and the radiating lines are squiggly white lines creating a circle.
/description/furry koda.png,Koda,furry,a brown rectangle with multiple dark brown squiggles inside. there is a choppy dark brown squiggly line above it.
coarse m.png,M,coarse,A clustered group of five irregular shapes all about a finger width apart from each other. Shapes have parts that curve inwards and parts that jut out in no clear pattern. They are tan with thick black outlines.
/description/crumbly koda.png,Koda,crumbly,a brown rectangle falling apart near the bottom
/description/hard fg.png,froggygolem,hard,light brown hand shaped blob holds dark brown blob on top of tilted light brown plane. A few straight motion lines are on each side.
/description/cold levi.png,Levi,cold,"a light blue snowflake, with light blue shaky lines around it, indicating cold."
/description/dry pheonix.png,Pheonix,dry,dry purple cube with a slight tan gradient in some areas. Above it is a sun.
/description/heavy.png,Neon,heavy,A grey mental anvil surrounded by a light grey border.
/description/crispy m.png,M,crispy,"a long, wavy shape with pointed ends. it's a gradient between amber and dark brown."
/description/fluffy koda.png,Koda,fluffy,a white rectangle with bumps on the top and bottom and outlined in grey
loud dusty.png,Dusty,loud,A minimalist speaker with four thick red lines coming from it.
/description/hard koda.png,Koda,hard,"a grey rectangle outlined in black, there’s a thick black line above it"
/description/icy pheonix.png,Pheonix,icy,a purple cube with ice covering the top and an ice cube hovering above it.
quiet dusty.png,Dusty,quiet,"A minimalist speaker with four small, blue wiggly lines coming from it."
/description/hot levi.png,Levi,hot,"a  yellow sun with red lines above it, indicating heat."
/description/lighter.png,Ani,lighter,A series of blue circles They go from dark blue on the left to light blue on the right and have two arrows above them. The arrows originate form the darkest circle with one pointing to the lightest circle and one pointing to the middle circle
/description/slimy.png,M,slimy,a light green 'drippy' shape.
/description/light.png,Neon,light,An orange feather with dark brown stripes surrounded by a light grey border
/description/rough koda.png,Koda,rough,an orange rectangle with very small spikes slightly facing the left. above it is a darker orange line mimicking the same pattern
/description/soft neon.png,Neon,soft,A cartoon style yellow hand holding a block of blue foam.
/description/loud fg.png,froggygolem,loud,a brown speaker shape in bottom left corner with jagged brown lines coming out of it.
/description/scaly koda.png,Koda,scaly,"a darker blue rectangle covered in scales, there’s a dark blue line above it that looks like upside down bumps"
/description/soft koda.png,Koda,soft,a pink rectangle w tiny bumps slightly facing to the left on top. above it is a darker pink line mimicking it
noisy dusty.png,Dusty,noisy,"A minimalist speaker with many orange straight, zig zag, and curving lines as well as stars coming from it."
/description/squishy neon.png,Neon,squishy,a cartoon style hand holding a block of blue foam with small arrows around it indicating that it is squishy.
/description/spiky koda.png,Koda,spiky,"a red rectangle with tall spikes, above it is a sort of “zig zag” dark red line"
/description/spiky.png,M,spiky,a red sphere with lots of spikes on it.
/description/wet pheonix.png,Pheonix,wet,a purple cube with water dripping all over it and a water droplet hovering above it
/description/sounds like.png,M,sounds like,"a yellow ear next to a green, wavy 'almost equals' sign"
/description/vibrating ot.png,Ottertime,vibrating,"a blue brick surrounded by dark grey squiggly lines, representing vibrations"
