Image URL,Credit,Caption,Alt text
absence seizure.png,M,absence seizure,"a featureless, emoji yellow person with a 'full stop' dot on their head, electric zigzags coming from their upper head, and a stopwatch to the right of the person. there is a red arrow above the stopwatch, indicating time is moving forward."
Aggressive Disease Rae.png,Rae,Aggressive Disease,a cartoony green spikey germ with an angry face in the center and red lines above it.
advance directive chrome.png,cytochrome-sea,advance directive,image of 2 white pieces of paper with a blue shield on it. in the corner are two red skip arrows.
back injury tonto.png,Tonto,back injury,View from behind of a humanoid with grayish skin tone. The spinal area including the neck has been colored red. An overlayed arrow points to the midcenter of the backbone / spinal cord.  Adjacent to the arrow's base is a yellow triangle with an exclamation point inside.
anemia tonto.png,Tonto,anemia,"3 blood drops , to the left next to them there is a green arrow pointing downwards & above it there are 5 red blood cells , indicating low red blood cells in the blood"
aids awareness levi.png,Levi,AIDS awareness,a red awareness ribbon.
bacteria rae.png,Rae,bacteria,a green and teal bacterium with a wiggly flagella and little hairlike projections.
bad hygiene vixen.png,Vixen,bad hygiene,"a grey toothbrush and a teal tube of toothpaste with a white tooth picture on it, with a grey cap. next to it A red arrow points down."
antibacterial rae.png,Rae,antibacterial,"a green and teal bacterium with a wiggly flagella and little hairlike projections, crossed out by a red x"
bandaid aerron.png,Aerron,bandaid,A flat-colored cartoon-y tan bandaid with a lighter cotton based piece in the center.
blood collection tube gold ani.png,Ani,Blood Collection Tube (Gold),A gold topped blood collection tube. The tube is cylindrical with a gold plastic cap and a transparent body.
bacteremia rae.png,Rae,bacteremia,a bacterium in a dark red blood vessel-like space.
leg blood rush meabh.png,Méabh,blood rush (leg),A drawing of a ms paint style leg. from the toes up there is a purple-pink gradient that gradually becomes gray at the top.
blood collection tube light blue ani.png,Ani,Blood Collection Tube (Light Blue),A light blue topped blood collection tube. The tube is cylindrical with a light blue plastic cap and a transparent body
bandaid rover.png,Rover,bandaid,a bandaid.
blood collection tube dark green ani.png,Ani,Blood Collection Tube (Dark Green),A dark green topped blood collection tube. The tube is cylindrical with a dark green plastic cap and a transparent body
blood collection tube navy blue ani.png,Ani,Blood Collection (Navy Blue),A navy blue topped blood collection tube. The tube is cylindrical with a navy blue plastic cap and a transparent body
blister m.png,M,blister,"An oval with a gradient: it is dark pink at the edges, and pale yellow in the centre. at the bottom, between the dark pink and the yellow it is lighter pink."
blood collection tube lavender ani.png,Ani,Blood Collection Tube (Lavender),A lavender topped blood collection tube. The tube is cylindrical with a lavender plastic cap and a transparent body.
blood collection tube pink ani.png,Ani,Blood Collection (Pink),A pink topped blood collection tube. The tube is cylindrical with a pink plastic cap and a transparent body
blood collection tube gray ani.png,Ani,Blood Collection Tube (Grey),A grey topped blood collection tube. The tube is cylindrical with a grey plastic cap and a transparent body
blood collection tube marbled ani.png,Ani,Blood Collection (Marbled),A marbled black and orange topped blood collection tube. The tube is cylindrical with a black and orange marbled plastic cap and a transparent body
blood culture bottle ani.png,Ani,Blood Culture Bottle,"Twi blood culture bottle typically which have a wider, rounded base that taper slightly toward the top, forming a narrow cylindrical neck. The bottle on the left has a grey cap and the bottle on the right has a white cap"
blood collection tube light green ani.png,Ani,Blood Collection (Light Green),A light green topped blood collection tube. The tube is cylindrical with a light green plastic cap and a transparent body
blood collection tube navy blue red stripe ani.png,Ani,Blood Collection Tube (Navy Blue with Red Stripe),A navy blue topped blood collection tube. The tube is cylindrical with a navy blue plastic cap and a transparent body. The body of the collection tube has a white label on it with a red line on it
blood type a neg.png,M,blood type A-,a red droplet with white 'A-' on it
blood collection tube navy blue lav stripe Ani.png,Ani,Blood Collection Tube (Navy Blue with Lavender Stripe),A navy blue topped blood collection tube. The tube is cylindrical with a navy blue plastic cap and a transparent body. The body of the collection tube has a white label on it with a lavender line on it
blood collection tube red variant ani.png,Ani,Blood Collection Tube (Red variant),A red topped blood collection tube. The tube is cylindrical with a bright red plastic cap and a transparent body
blood type o pos.png,M,blood type O+,a red droplet with white 'O+' on it
blood collection tube red ani.png,Ani,Blood Collection Tube (Red),A red topped blood collection tube. The tube is cylindrical with a bright red plastic cap and an opaque body
blood type o neg.png,M,blood type O-,a red droplet with white 'O-' on it
breast cancer creature's creations 1.png,Creature's creations,breast cancer,Pink breast cancer ribbon
blood culture bottle variant ani.png,Ani,Blood Culture Bottles (Variant),"Two blood culture bottle have wider, rounded base that taper slightly toward the top, forming a narrow cylindrical neck. On the bottles are labels the bottle on the left is labeled as O two the symbol for oxygen the bottle on the right has the same symbol for oxygen on it with a large red X over it"
bowel incontinence dusty.png,Dusty,bowel incontinence,The small and large intestines made to look they are wearing a diaper.
breast cancer creature's creations 2.png,Creature's creations,breast cancer,Pink breast cancer ribbon next to a gene symbol.
arm blood rush meabh.png,Méabh,blood rush (arm),A drawing of a ms paint style arm. from the fingers up there is a purple-pink gradient that gradually becomes gray at the top.
bradycardia esrah.png,Esrah,bradycardia,"a slow heart rhythm pictured above a turtle walking with dots behind it, indicating it’s slow."
bruise.png,Rae,bruise,"a light skinned arm with a purple, blue, and greenish bruise near the elbow."
blood type a pos.png,M,blood type A+,a red droplet with white 'A+' on it
broken bone.png,Rae,broken bone,an off white bone with a jagged gap between the two halves of it. There are red emphasis or pain lines around the break.
bug bite koda.png,Koda,bug bite,a tan square with a red spot and a bug on it
blood type.png,Esrah,blood type,"a red droplet with a plus on one side and a minus on one side, and in each corner is written A, B, O, and AB."
bruises bruising 2.png,Neon,bruises / bruising,A drawing of a blue and white toned leg with bruises on it.
bug bite vixen.png,Vixen,bug bite,"a digital illustration of a dog's paw in yellow. It is drawn in a cartoon style with grey claws. An exclamation mark is added to the image, and a red arrow points to a small circular bite mark on the paw."
bruises bruising 1.png,Neon,bruises / bruising,A drawing of a yellow toned leg with bruises on it.
can't pee 2.png,Rae,can't pee,a yellow droplet crossed out with a red X
burn scar.png,Blackholemojis,burn scar,a limb with a burn scar
can't pee 1.png,Rae,can't pee,a yellow droplet crossed out with a red X. there is a frowny face below it
choke plum 1.png,Plum,choke,"A drawing of a simplified, cartoony pair of lungs, with a generic grey object lodged in the trachea. Spiky red lines emphasize the object."
cardiac arrest wolf.png,Wolf,cardiac arrest,"A pink heart with a yellow lightning bolt overlapping the upper right portion behind a gray square with four vertical bars, alluding to jail."
deficiency esrah.png,Esrah,deficiency,"a grey container with a rounded bottom, partially filled with red liquid. There is a red exclamation point next to it."
choke plum 2.png,Plum,choke,"A closeup drawing of a simplified, cartoony pair of lungs, with a generic grey object lodged in the trachea. Spiky red lines emphasize the object"
CHEK2 genetic mutation creature's creations.png,Creature's creations,CHEK2 genetic mutation,Blue gene symbol with lighting bolt over it
dental surgery.png,Rae,dental surgery,a tooth next to a scapel.
cyst vincent.png,Vincent,cyst,A white pocket of liquid underneath brown skin.
concussions are serious m.png,M,concussions are serious,a red spiky impact shape where a yellow circle bounces off a yellow head with a pink brain in it. above is a red triangle with a yellow exclamation mark in it.
diagnosis petri.png,Petri,diagnosis,A drawing of a clipboard in front of a light gray stethoscope.
Dizzy Vixen.png,Vixen,dizzy,A humanoid calico cat with green spiral eyes and an uncomfortable face. There are small blue firework shapes around its head and a gold-yellow lined halo around its (righthand) ear. Little yellow stars surround this halo to make it look like a cartoon-y representation of being dizzy and seeing stars. Has its paw to its chest.
counselor bh.png,Blackholemojis,counselor,"a person wearing a brown cardigan and white shirt, and holding a clipboard and a pen."
doctor psychiatrist bh 1.png,Blackholemojis,doctor / psychiatrist,"a person with a white coat and purple tie and shirt, with an orange pill bottle and a blue Rx symbol next to them."
diagnosed bh.png,Blackholemojis,diagnosed,"a person with a blue rectangle over their head, showing a Red Cross, a small picture of them, and bullet points with writing."
craving salt.png,Gillipop,craving salt,the twemoji thought bubble emoji (💭) with the twemoji salt shaker emoji (🧂) in it
doctor psychiatrist bh 2.png,Blackholemojis,doctor / psychiatrist,a person with a white coat and purple tie and shirt
diagnosed petri.png,Petri,diagnosed,A drawing of a clipboard in front of a stethoscope. In the top left corner is a green checkmark with a black outline.
dental filling koda.png,Koda,dental filling,a white tooth with a slightly yellowy beige outline and a grey spot in the center of the top of the tooth
don't touch me you're sick koda.png,Koda,don't touch me you're sick,"a hand reaching out to touch a red no symbol 🚫, with a green blob on the person's hand"
eczema 2.png,Vixen,eczema,a peach/tan patch to resemble skin with pink and red spots and blotches.
diagnostician vinter.png,Vinter,diagnostician,a simplified yellow character wearing a collared shirt with the red cross healthcare symbol. next to the character is a clipboard with a paper with scribbles on it resembling a patient chart.
eczema 1.png,Vixen,eczema,a brown patch to resemble skin with pink and red spots and blotches.
eeg dusty.png,Dusty,EEG (electroencephalogram),"A featureless gray head in profile with sensors on its head, the wires from them leading to a screen with three jagged red lines on it."
dizzy siamese vixen.png,Vixen,dizzy,A humanoid chocolate-point siamese cat with blue spiral eyes and an uncomfortable face. There
emg dusty.png,Dusty,EMG (electromyography),A gray hand with sensors on it and wires leading from them to a screen with a jagged red line on it. An electrical stimulator is pressed against the wrist of the hand.
fever.png,Neon,fever,"A basic yellow skinned emoji with its eyes closed and red cheeks, on its head is a reusable ice pack and its forehead a red glow to signify a fever."
doctor.png,Petri,doctor,"a featureless, emoji yellow person standing with one hand holding a clipboard and the other in their pocket. they’re wearing a doctor’s coat with a red cross on it."
