Image URL,Credit,Caption,Alt text
aktion t4.png,M,Aktion t4 / Krankenmorder,"a whitewashed, 2d-seeming building with a brown roof. It has no door. On the building is a manual wheelchair. On the wheelchair is a wite blanket, like a shroud, and on that is a piece of paper with two lines and an 'X' on it, representing the initial faked death certificates. From the building is a large industrial chimney, and from the chimney is black smoke. Soot is making everything around the chimney stained black."
anxiety attack chrome.png,Chrome,anxiety attack,(image of a blue dog crying and looking anxious surrounded by a spiky orange bubble with red and yellow scribbles on it
assassination inh 1.png,InsertNameHere,assassination,"a grey figure wearing a black tie, a featureless yellow figure behind them pointing a handgun at them"
bury.png,TalkSense,bury,"a casket with a cross on it, next to a rectangular hole in the ground."
burn self creature's creations.png,Creature's creations,burn self,A yellow person holding a lighter to their arm. The spot near the lighter is red and burnt.
assassination inh 2.png,InsertNameHere,assassination,"a grey figure, a featureless yellow figure behind them pointing a handgun at them"
casket.png,Neon,casket,"A dark brown, wooden, open casket with white interior and white pillow."
bury ani.png,Ani,bury,A simple drawing of a wooden casket next to a hole in the ground. The hole is just a brown rectangle with a border of green squiggles to represent grass around it. There is an arrow pointing from the casket to the hole.
assassination inh 3.png,InsertNameHere,assassination,"a blue figure wearing a black tie, a featureless yellow figure behind them wearing a hoodie mask and backpack pointing a handgun at them"
dead death crows 1.png,Crows,dead / death,A drawing of a tombstone
cremation talksense.png,TalkSense,cremation,"a brown coffin, with a black cross on it, in flames."
dead death crows 3.png,Crows,dead / death,A drawing of a tombstone with a cross on it
dead death crows 4.png,Crows,dead / death,A simplified person with Xs in place of their eyes
cremation m.png,M,cremation,a brown coffin shape with an orange flame above it.
death creature's creations.png,Creature's creations,death,A gray person with X's for eyes. A gravestone to the righ. RIP is engraved on the gravestone
dead death crows 5.png,Crows,dead / death,A cartoon skull.
dead death crows 2.png,Crows,dead / death,A drawing of a tombstone with a skull on it
meltdown.png,M,meltdown,an emoji yellow face with an open mouth and upset expression. there is a shaking pair of hands and a pair of hands squeezing an anatomical heart. there are two bright yellow clouds near their head representing the nuclear origins of the term. there is a big red scribble in the background
die dead rayin.png,Rayin,die / dead,A person wearing a blue-green shirt lying on the ground with X's for eyes
drowning.png,Ani,drowning,"An upside down scuba diver in an underwater cave. There is a black and red skull over the scuba divers face. The divers suit is pink, their gear is black and their gloves are blue. The cave is made of stone that is various shades of tan and gray"
exhumation.png,Ani,exhumation,A drawing of a coffin next to a hole there is an arrow point out of the hole towards to coffin. The coffin is simple and made out of light brown wood. The hole is just a brown rectangle with some green grass around the edges.
extermination camp aok.png,aok-aac,extermination camp,"a crematorium from auschwitz in shades of grey. there is a blue magen david with a red x over it on the left and a red, green, and blue romani wheel with a red x over it."
homicidalIdeation.png,Midi,homocidal ideation,A blue figure with a sad face thinking of a bloodied knife
homicidalIdeation2.png,Midi,homocidal ideation,A blue figure with an angry face thinking of a bloodied knife
genocide ottertime.png,OtterTime,genocide,"three pairs of people, one of each being smaller. One pair is blue, one pair is green, and one pair is teal. The teal pair has a red circle around them and an red arrow points to the circle. At the end of the line, there is a red drawing of fire, gun, and bomb, showing that the teal pair of people were victims of genocide"
i'm not comfortable with suicide.png,Petri,I'm not comfortable with suicide,"a drawing of a plain yellow person looking uncomfortable, with their shoulders raised, their mouth in a squiggly line, and a sweat droplet on their head. next to them is a pink square containing a noose with a green arrow pointing to it."
i hate myself plum.png,Plum,I hate myself,"A drawing of a very simplistic, featureless yellow person with a faint star shape on their face, representing “myself”. An arrow goes from them, through an emoji with a flushed face, angrily frowning and crying while giving a thumbs down, to represent “hate”, and then back to the person."
hanging.png,Ani,hanging,A very simple drawing of a person hanging from a noose
