Image URL,Credit,Caption,Alt text
aquatic science dusty.png,Dusty,aquatic science,"Seaweed, a coastline, and a clownfish in a frame with a green beaker in the corner."
astronomy dusty.png,Dusty,astronomy,"A simplified drawing of K2-18b, a dark blue planet with a light horizon and red clouds, with a background of stars, in a frame with a green beaker in the corner."
aeronautics dusty.png,Dusty,aeronautics,A blue and white jet plane in a frame with a green beaker in the corner.
archeology dusty.png,Dusty,archeology,"An ancient Denarius, a copper coin  with a man's head on it, embedded in a rock in a frame with a green beaker in the corner."
decomposition Ani.png,Ani,decomposition,"two pairs of circles, one pair is one each side of an arrow, One the left side of the arrow is a red and blue circle connected by a line. On the right side of the arrow is the same circles but they are no longer connected by a line."
agronomy dusty.png,Dusty,agronomy,"A stalk of corn, a pumpkin, and an apple tree in a frame with a green beaker in the corner."
biology vixen.png,Vixen,biology,"a various selection of bacteria in colours of green and blue, and three red blood cell"
Double Replacement Ani.png,Ani,Double Replacement,Four pairs of circles with some addition symbols and an arrow in the middle of each set of circles. On the left of the arrow is a teal circle and a pink circle that are connected by a line there is an addition symbol next to them on the other side of the addition symbol is a blue circle and a maroon circle the blue and maroon circle are connected by a line. Next is the arrow point at two. Two more pairs of circles. The first pair to the right of the arrow is the maroon and pink circle they are now connected and there is another addition symbol next to them on the other side of the addition symbol is the teal and the blue circle which are now connected
aquatic sciences dusty.png,Dusty,aquatic sciences,"Three circles, one split into water and a salt shaker and water without, the other with an orca, and one with seaweed in sand, with a green beaker in the corner"
chemistry dusty.png,Dusty,chemistry,A beaker filled with a light blue fluid in a frame with a green beaker in the corner.
earth sciences dusty.png,Dusty,earth sciences,"Three circles, one with a raining cloud, the other with a rock with orange banding, and one with a simplified diagram of the layers of the earth, with a green beaker in the corner"
botany dusty.png,Dusty,botany,"A pink flower in three development stages, from bud to bloom, in a frame with a green beaker in the corner."
control group.png,Esrah,control group,"two daisies in cups of water. One has purple dye in the water and the other does not, and a light blue arrow is pointing to the non-dyed daisy to show it’s the control group."
experimental group.png,Esrah,experimental group,"two daisies in cups of water. One has purple dye in the water and the other does not, and a purple arrow is pointing to it to show that it’s the experimental group."
